InstrumentName, Canary-DN-1,,,,,,
StartTime, 2020-08-01 00:00:00,,,,,,
EndTime, 2020-08-31 23:59:59,,,,,,
Date,IH,IT,P,TVOC,TVOC_Cal,WD,WS
08/05/2020 15:24:01.000000,32.06,79.36,842.98,0.426,,180.0,0.0
08/05/2020 15:25:02.000000,32.04,79.38,842.95,0.447,,180.0,0.0
08/05/2020 15:26:00.000000,32.04,79.38,842.94,0.424,,180.0,0.0
08/05/2020 15:27:02.000000,32.02,79.38,842.93,0.403,,180.0,0.0
08/05/2020 15:28:01.000000,32.01,79.39,842.92,0.43,,180.0,0.0
08/05/2020 15:29:03.000000,32.01,79.41,843.05,0.419,,180.0,0.0
08/05/2020 15:30:01.000000,32.02,79.41,843.03,0.409,,180.0,0.0
08/05/2020 15:31:02.000000,32.01,79.43,843.03,0.408,,180.0,0.0
08/05/2020 15:32:02.000000,32.0,79.43,843.03,0.407,,180.0,0.0
08/05/2020 15:33:00.000000,31.98,79.43,843.04,0.41,,180.0,0.0
08/05/2020 15:34:02.000000,31.96,79.43,843.01,0.422,,180.0,0.0
08/05/2020 15:35:00.000000,31.92,79.45,842.94,0.425,,180.0,0.0
08/05/2020 15:36:01.000000,31.93,79.41,842.94,0.411,,180.0,0.0
08/05/2020 15:37:01.000000,31.94,79.43,842.95,0.414,,180.0,0.0
08/05/2020 15:38:01.000000,31.94,79.41,842.94,0.414,,180.0,0.0
08/05/2020 15:39:00.000000,31.93,79.39,842.91,0.411,,180.0,0.0
08/05/2020 15:40:02.000000,31.91,79.39,842.88,0.405,,180.0,0.0
08/05/2020 15:41:01.000000,31.91,79.39,842.91,0.41,,180.0,0.0
08/05/2020 15:42:01.000000,31.89,79.43,842.9,0.403,,180.0,0.0
08/05/2020 15:43:02.000000,31.85,79.43,842.86,0.407,,180.0,0.0
08/05/2020 15:44:02.000000,31.84,79.43,842.86,0.405,,180.0,0.0
08/05/2020 15:45:02.000000,31.82,79.43,842.84,0.397,,180.0,0.0
08/05/2020 15:46:00.000000,31.79,79.45,842.78,0.405,,180.0,0.0
08/05/2020 15:47:02.000000,31.78,79.45,842.79,0.407,,180.0,0.0
08/05/2020 15:48:01.000000,31.79,79.47,842.84,0.399,,180.0,0.0
08/05/2020 15:49:01.000000,31.79,79.47,842.77,0.411,,180.0,0.0
08/05/2020 15:50:02.000000,31.78,79.48,842.75,0.405,,180.0,0.0
08/05/2020 15:51:00.000000,31.77,79.48,842.82,0.401,,48.1,0.0
08/05/2020 15:52:01.000000,31.75,79.48,842.81,0.399,,180.0,0.0
08/05/2020 15:53:02.000000,31.73,79.48,842.71,0.401,,180.0,0.0
08/05/2020 15:54:02.000000,31.72,79.48,842.71,0.394,,180.0,0.0
08/05/2020 15:55:00.000000,31.74,79.48,842.74,0.411,,180.0,0.0
08/05/2020 15:56:02.000000,31.74,79.48,842.74,0.364,,180.0,0.0
08/05/2020 15:57:01.000000,31.73,79.48,842.72,0.374,,180.0,0.0
08/05/2020 15:58:02.000000,31.73,79.5,842.7,0.357,,180.0,0.0
08/05/2020 15:59:01.000000,31.73,79.5,842.72,0.364,,180.0,0.0
08/05/2020 16:00:02.000000,31.7,79.54,842.71,0.386,,180.0,0.0
08/05/2020 16:01:01.000000,31.57,79.66,842.74,0.383,,180.0,0.0
08/05/2020 16:02:00.000000,31.49,79.72,842.75,0.435,,180.0,0.0
08/05/2020 16:03:00.000000,31.48,79.74,842.86,0.394,,180.0,0.0
08/05/2020 16:04:02.000000,31.5,79.72,842.86,0.37,,180.0,0.0
08/05/2020 16:05:03.000000,31.51,79.7,842.88,0.356,,180.0,0.0
08/05/2020 16:06:00.000000,31.52,79.7,842.86,0.423,,45.7,0.0
08/05/2020 16:07:01.000000,31.5,79.68,842.87,0.423,,180.0,0.0
08/05/2020 16:08:01.000000,31.5,79.66,842.87,0.366,,180.0,0.0
08/05/2020 16:09:02.000000,31.49,79.65,842.75,0.353,,180.0,0.0
08/05/2020 16:10:01.000000,31.45,79.66,842.71,0.354,,180.0,0.0
08/05/2020 16:11:01.000000,31.44,79.66,842.72,0.381,,180.0,0.0
08/05/2020 16:12:00.000000,31.44,79.66,842.72,0.398,,180.0,0.0
08/05/2020 16:13:01.000000,31.44,79.65,842.7,0.367,,180.0,0.0
08/05/2020 16:14:02.000000,31.44,79.65,842.72,0.337,,180.0,0.0
08/05/2020 16:15:01.000000,31.4,79.63,842.7,0.352,,180.0,0.0
08/05/2020 16:20:00.000000,31.49,79.5,842.82,0.409,,180.0,0.0
08/05/2020 16:21:02.000000,31.37,79.66,842.87,0.346,,180.0,0.0
08/05/2020 16:22:01.000000,31.35,79.7,842.89,0.362,,180.0,0.0
08/05/2020 16:23:01.000000,31.33,79.74,842.91,0.388,,180.0,0.0
08/05/2020 16:24:02.000000,31.33,79.72,842.91,0.378,,180.0,0.0
08/05/2020 16:25:02.000000,31.33,79.72,842.93,0.357,,46.5,0.0
08/05/2020 16:26:01.000000,31.33,79.7,842.83,0.412,,180.0,0.0
08/05/2020 16:27:02.000000,31.32,79.7,842.81,0.372,,180.0,0.0
08/05/2020 16:28:01.000000,31.35,79.72,842.85,0.386,,180.0,0.0
08/05/2020 16:29:01.000000,31.35,79.72,842.78,0.403,,180.0,0.0
08/05/2020 16:30:01.000000,31.3,79.77,842.78,0.407,,180.0,0.0
08/05/2020 16:31:02.000000,31.27,79.81,842.78,0.366,,180.0,0.0
08/05/2020 16:32:02.000000,31.26,79.83,842.78,0.379,,180.0,0.0
08/05/2020 16:33:02.000000,31.24,79.81,842.75,0.386,,180.0,0.0
08/05/2020 16:34:01.000000,31.24,79.81,842.81,0.377,,180.0,0.0
08/05/2020 16:35:01.000000,31.2,79.81,842.91,0.349,,180.0,0.0
08/05/2020 16:36:02.000000,31.24,79.83,842.78,0.367,,180.0,0.0
