InstrumentName, NJH,
StartTime, 2019-10-01 00:00:00,
EndTime, 2019-10-31 23:59:59,
Date,PM2.5 - Local Conditions,PM2.5 Total Atmospheric
10/01/2019 00:00:00.000000,,6.602674
10/01/2019 00:01:00.000000,,7.134029
10/01/2019 00:02:00.000000,,6.416746
10/01/2019 00:03:00.000000,,6.52545
10/01/2019 00:04:00.000000,,6.862985
10/01/2019 00:05:00.000000,,7.596329
10/01/2019 00:06:00.000000,,6.540452
10/01/2019 00:07:00.000000,,7.451723
10/01/2019 00:08:00.000000,,7.158249
10/01/2019 00:09:00.000000,,6.798657
10/01/2019 00:10:00.000000,,6.004723
10/01/2019 00:11:00.000000,,9.211991
10/01/2019 00:12:00.000000,,6.819661
10/01/2019 00:13:00.000000,,7.248423
10/01/2019 00:14:00.000000,,6.697323
10/01/2019 00:15:00.000000,,6.516659
10/01/2019 00:16:00.000000,,6.615045
10/01/2019 00:17:00.000000,,6.190599
10/01/2019 00:18:00.000000,,6.037993
10/01/2019 00:19:00.000000,,6.103689
10/01/2019 00:20:00.000000,,5.437726
10/01/2019 00:21:00.000000,,5.783473
10/01/2019 00:22:00.000000,,5.927815
10/01/2019 00:23:00.000000,,6.310095
10/01/2019 00:24:00.000000,,5.575593
10/01/2019 00:25:00.000000,,6.285301
10/01/2019 00:26:00.000000,,5.635709
10/01/2019 00:27:00.000000,,5.396771
10/01/2019 00:28:00.000000,,6.2803
10/01/2019 00:29:00.000000,,6.477283
10/01/2019 00:30:00.000000,,6.158172
10/01/2019 00:31:00.000000,,6.180913
10/01/2019 00:32:00.000000,,6.24303
10/01/2019 00:33:00.000000,,5.959873
10/01/2019 00:34:00.000000,,6.632364
10/01/2019 00:35:00.000000,,6.376317
10/01/2019 00:36:00.000000,,6.198601
10/01/2019 00:37:00.000000,,5.899546
10/01/2019 00:38:00.000000,,5.339023
10/01/2019 00:39:00.000000,,6.220499
10/01/2019 00:40:00.000000,,6.13401
10/01/2019 00:41:00.000000,,5.693614
10/01/2019 00:42:00.000000,,5.502158
10/01/2019 00:43:00.000000,,5.030915
10/01/2019 00:44:00.000000,,5.977718
10/01/2019 00:45:00.000000,,5.593491
10/01/2019 00:46:00.000000,,6.757018
10/01/2019 00:47:00.000000,,5.832008
10/01/2019 00:48:00.000000,,5.785841
10/01/2019 00:49:00.000000,,5.260851
10/01/2019 00:50:00.000000,,6.046468
10/01/2019 00:51:00.000000,,6.209971
10/01/2019 00:52:00.000000,,6.109532
10/01/2019 00:53:00.000000,,6.168701
10/01/2019 00:54:00.000000,,5.913549
10/01/2019 00:55:00.000000,,5.981877
10/01/2019 00:56:00.000000,,6.224132
10/01/2019 00:57:00.000000,,5.588121
10/01/2019 00:58:00.000000,,6.056943
10/01/2019 00:59:00.000000,,6.294618
10/01/2019 01:00:00.000000,,5.982877
10/01/2019 01:01:00.000000,,5.691824
10/01/2019 01:02:00.000000,,5.406983
10/01/2019 01:03:00.000000,,6.025253
10/01/2019 01:04:00.000000,,6.388267
10/01/2019 01:05:00.000000,,6.184861
10/01/2019 01:06:00.000000,,5.868172
10/01/2019 01:07:00.000000,,6.190915
10/01/2019 01:08:00.000000,,6.060575
10/01/2019 01:09:00.000000,,5.753151
10/01/2019 01:10:00.000000,,5.963084
10/01/2019 01:11:00.000000,,5.910917
10/01/2019 01:12:00.000000,,6.056628
10/01/2019 01:13:00.000000,,6.192073
10/01/2019 01:14:00.000000,,6.415324
10/01/2019 01:15:00.000000,,5.679243
10/01/2019 01:16:00.000000,,5.842325
10/01/2019 01:17:00.000000,,6.500656
10/01/2019 01:18:00.000000,,5.471837
10/01/2019 01:19:00.000000,,5.514634
10/01/2019 01:20:00.000000,,6.039151
10/01/2019 01:21:00.000000,,6.021095
10/01/2019 01:22:00.000000,,5.512371
10/01/2019 01:23:00.000000,,6.01662
10/01/2019 01:24:00.000000,,4.995856
10/01/2019 01:25:00.000000,,6.329625
10/01/2019 01:26:00.000000,,6.100951
10/01/2019 01:27:00.000000,,7.036332
10/01/2019 01:28:00.000000,,6.17986
10/01/2019 01:29:00.000000,,5.735306
10/01/2019 01:30:00.000000,,5.81611
10/01/2019 01:31:00.000000,,5.981298
10/01/2019 01:32:00.000000,,5.802844
10/01/2019 01:33:00.000000,,6.072104
10/01/2019 01:34:00.000000,,5.580488
10/01/2019 01:35:00.000000,,6.246294
10/01/2019 01:36:00.000000,,6.460227
10/01/2019 01:37:00.000000,,6.061944
10/01/2019 01:38:00.000000,,6.143591
10/01/2019 01:39:00.000000,,5.729884
10/01/2019 01:40:00.000000,,6.877724
10/01/2019 01:41:00.000000,,6.629363
10/01/2019 01:42:00.000000,,6.172649
10/01/2019 01:43:00.000000,,6.422062
10/01/2019 01:44:00.000000,,6.401111
10/01/2019 01:45:00.000000,,6.236397
10/01/2019 01:46:00.000000,,6.27872
10/01/2019 01:47:00.000000,,6.113322
10/01/2019 01:48:00.000000,,5.642921
10/01/2019 01:49:00.000000,,6.517448
10/01/2019 01:50:00.000000,,6.311042
10/01/2019 01:51:00.000000,,6.588777
10/01/2019 01:52:00.000000,,6.343311
10/01/2019 01:53:00.000000,,6.53103
10/01/2019 01:54:00.000000,,6.234081
10/01/2019 01:55:00.000000,,5.678401
10/01/2019 01:56:00.000000,,6.043099
10/01/2019 01:57:00.000000,,6.201022
10/01/2019 01:58:00.000000,,6.221184
10/01/2019 01:59:00.000000,,6.182966
10/01/2019 02:00:00.000000,,6.1946
10/01/2019 02:01:00.000000,,5.943587
10/01/2019 02:02:00.000000,,6.629995
10/01/2019 02:03:00.000000,,6.048573
10/01/2019 02:04:00.000000,,6.798447
10/01/2019 02:05:00.000000,,6.215762
10/01/2019 02:06:00.000000,,6.343943
10/01/2019 02:07:00.000000,,6.845718
10/01/2019 02:08:00.000000,,6.309621
10/01/2019 02:09:00.000000,,6.983322
10/01/2019 02:10:00.000000,,6.889463
10/01/2019 02:11:00.000000,,6.270035
10/01/2019 02:12:00.000000,,6.310516
10/01/2019 02:13:00.000000,,6.466755
10/01/2019 02:14:00.000000,,6.252347
10/01/2019 02:15:00.000000,,6.217709
10/01/2019 02:16:00.000000,,6.640418
10/01/2019 02:17:00.000000,,6.530608
10/01/2019 02:18:00.000000,,6.620888
10/01/2019 02:19:00.000000,,6.537873
10/01/2019 02:20:00.000000,,6.900097
10/01/2019 02:21:00.000000,,6.458279
10/01/2019 02:22:00.000000,,6.23208
10/01/2019 02:23:00.000000,,6.314359
10/01/2019 02:24:00.000000,,6.202286
10/01/2019 02:25:00.000000,,6.450962
10/01/2019 02:26:00.000000,,5.761521
10/01/2019 02:27:00.000000,,6.139116
10/01/2019 02:28:00.000000,,6.369211
10/01/2019 02:29:00.000000,,6.400953
10/01/2019 02:30:00.000000,,5.776892
10/01/2019 02:31:00.000000,,6.667686
10/01/2019 02:32:00.000000,,6.685795
10/01/2019 02:33:00.000000,,5.942659
10/01/2019 02:34:00.000000,,5.732147
10/01/2019 02:35:00.000000,,5.841746
10/01/2019 02:36:00.000000,,6.188809
10/01/2019 02:37:00.000000,,6.311095
10/01/2019 02:38:00.000000,,6.369105
10/01/2019 02:39:00.000000,,5.742097
10/01/2019 02:40:00.000000,,5.714513
10/01/2019 02:41:00.000000,,5.927288
10/01/2019 02:42:00.000000,,6.328835
10/01/2019 02:43:00.000000,,6.239608
10/01/2019 02:44:00.000000,,6.283353
10/01/2019 02:45:00.000000,,5.784789
10/01/2019 02:46:00.000000,,6.280563
10/01/2019 02:47:00.000000,,5.648606
10/01/2019 02:48:00.000000,,5.712039
10/01/2019 02:49:00.000000,,5.925604
10/01/2019 02:50:00.000000,,5.480891
10/01/2019 02:51:00.000000,,6.109005
10/01/2019 02:52:00.000000,,6.031886
10/01/2019 02:53:00.000000,,5.547903
10/01/2019 02:54:00.000000,,5.691193
10/01/2019 02:55:00.000000,,6.399163
10/01/2019 02:56:00.000000,,6.156119
10/01/2019 02:57:00.000000,,6.37379
10/01/2019 02:58:00.000000,,6.439223
10/01/2019 02:59:00.000000,,5.644184
10/01/2019 03:00:00.000000,,5.967295
10/01/2019 03:01:00.000000,,5.919823
10/01/2019 03:02:00.000000,,5.399034
10/01/2019 03:03:00.000000,,6.351944
10/01/2019 03:04:00.000000,,5.89923
10/01/2019 03:05:00.000000,,6.104899
10/01/2019 03:06:00.000000,,5.875226
10/01/2019 03:07:00.000000,,6.046994
10/01/2019 03:08:00.000000,,5.653449
10/01/2019 03:09:00.000000,,5.982403
10/01/2019 03:10:00.000000,,5.722725
10/01/2019 03:11:00.000000,,5.701616
10/01/2019 03:12:00.000000,,6.158278
10/01/2019 03:13:00.000000,,5.174099
10/01/2019 03:14:00.000000,,6.049837
10/01/2019 03:15:00.000000,,5.93071
10/01/2019 03:16:00.000000,,5.418459
10/01/2019 03:17:00.000000,,5.529321
10/01/2019 03:18:00.000000,,5.611652
10/01/2019 03:19:00.000000,,5.954556
10/01/2019 03:20:00.000000,,6.074947
10/01/2019 03:21:00.000000,,6.094213
10/01/2019 03:22:00.000000,,5.850432
10/01/2019 03:23:00.000000,,5.550167
10/01/2019 03:24:00.000000,,5.426829
10/01/2019 03:25:00.000000,,5.664082
10/01/2019 03:26:00.000000,,5.436883
10/01/2019 03:27:00.000000,,5.468521
10/01/2019 03:28:00.000000,,5.234373
10/01/2019 03:29:00.000000,,5.64371
10/01/2019 03:30:00.000000,,5.570065
10/01/2019 03:31:00.000000,,5.403351
10/01/2019 03:32:00.000000,,5.69214
10/01/2019 03:33:00.000000,,4.96943
10/01/2019 03:34:00.000000,,4.809138
10/01/2019 03:35:00.000000,,5.328864
10/01/2019 03:36:00.000000,,5.526794
10/01/2019 03:37:00.000000,,5.430461
10/01/2019 03:38:00.000000,,5.140724
10/01/2019 03:39:00.000000,,5.314124
10/01/2019 03:40:00.000000,,5.085188
10/01/2019 03:41:00.000000,,5.353131
10/01/2019 03:42:00.000000,,5.038969
10/01/2019 03:43:00.000000,,5.723778
10/01/2019 03:44:00.000000,,5.6734
10/01/2019 03:45:00.000000,,5.541323
10/01/2019 03:46:00.000000,,5.724567
10/01/2019 03:47:00.000000,,5.300069
10/01/2019 03:48:00.000000,,5.408141
10/01/2019 03:49:00.000000,,5.918602
10/01/2019 03:50:00.000000,,5.764627
10/01/2019 03:51:00.000000,,5.636867
10/01/2019 03:52:00.000000,,5.835114
10/01/2019 03:53:00.000000,,5.967875
10/01/2019 03:54:00.000000,,5.692351
10/01/2019 03:55:00.000000,,5.394086
10/01/2019 03:56:00.000000,,5.102507
10/01/2019 03:57:00.000000,,5.683086
10/01/2019 03:58:00.000000,,5.280223
10/01/2019 03:59:00.000000,,5.549693
10/01/2019 04:00:00.000000,,5.782367
10/01/2019 04:01:00.000000,,6.176702
10/01/2019 04:02:00.000000,,6.466544
10/01/2019 04:03:00.000000,,5.942396
10/01/2019 04:04:00.000000,,6.048836
10/01/2019 04:05:00.000000,,6.315569
10/01/2019 04:06:00.000000,,6.865301
10/01/2019 04:07:00.000000,,6.134957
10/01/2019 04:08:00.000000,,6.190652
10/01/2019 04:09:00.000000,,6.299987
10/01/2019 04:10:00.000000,,6.128851
10/01/2019 04:11:00.000000,,6.501235
10/01/2019 04:12:00.000000,,6.558192
10/01/2019 04:13:00.000000,,5.83943
10/01/2019 04:14:00.000000,,5.712407
10/01/2019 04:15:00.000000,,5.826902
10/01/2019 04:16:00.000000,,5.650922
10/01/2019 04:17:00.000000,,5.880069
10/01/2019 04:18:00.000000,,5.787052
10/01/2019 04:19:00.000000,,5.673663
10/01/2019 04:20:00.000000,,5.5299
10/01/2019 04:21:00.000000,,6.024306
10/01/2019 04:22:00.000000,,6.038045
10/01/2019 04:23:00.000000,,6.401796
10/01/2019 04:24:00.000000,,5.849327
10/01/2019 04:25:00.000000,,6.127746
10/01/2019 04:26:00.000000,,6.333783
10/01/2019 04:27:00.000000,,6.814292
10/01/2019 04:28:00.000000,,6.573985
10/01/2019 04:29:00.000000,,6.324624
10/01/2019 04:30:00.000000,,6.575353
10/01/2019 04:31:00.000000,,6.138695
10/01/2019 04:32:00.000000,,6.116059
10/01/2019 04:33:00.000000,,5.529479
10/01/2019 04:34:00.000000,,6.344627
10/01/2019 04:35:00.000000,,5.550641
10/01/2019 04:36:00.000000,,5.929657
10/01/2019 04:37:00.000000,,5.80853
10/01/2019 04:38:00.000000,,5.958504
10/01/2019 04:39:00.000000,,5.789842
10/01/2019 04:40:00.000000,,5.675242
10/01/2019 04:41:00.000000,,6.160383
10/01/2019 04:42:00.000000,,6.112743
10/01/2019 04:43:00.000000,,5.594122
10/01/2019 04:44:00.000000,,5.436883
10/01/2019 04:45:00.000000,,5.677506
10/01/2019 04:46:00.000000,,5.765522
10/01/2019 04:47:00.000000,,5.87391
10/01/2019 04:48:00.000000,,5.742465
10/01/2019 04:49:00.000000,,5.707775
10/01/2019 04:50:00.000000,,6.179018
10/01/2019 04:51:00.000000,,5.719145
10/01/2019 04:52:00.000000,,5.591174
10/01/2019 04:53:00.000000,,5.987404
10/01/2019 04:54:00.000000,,6.022463
