InstrumentName, Swansea (DEH) B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:01:17.606666,6.5,47.0,50.0
04/01/2018 00:05:17.100000,6.18,48.0,49.0
04/01/2018 00:07:58.223333,6.92,48.0,49.0
04/01/2018 00:10:37.133333,7.38,48.0,48.0
04/01/2018 00:14:37.013333,6.68,48.0,48.0
04/01/2018 00:17:17.226666,7.92,49.0,48.0
04/01/2018 00:19:57.203333,6.79,49.0,48.0
04/01/2018 00:22:37.036666,6.17,49.0,48.0
04/01/2018 00:26:38.030000,6.92,49.0,48.0
04/01/2018 00:29:17.520000,9.0,50.0,47.0
04/01/2018 00:31:57.116666,7.0,51.0,47.0
04/01/2018 00:34:37.066666,7.79,52.0,47.0
04/01/2018 00:38:37.056666,7.61,52.0,46.0
04/01/2018 00:41:17.223333,5.55,52.0,46.0
04/01/2018 00:43:57.440000,9.27,53.0,46.0
04/01/2018 00:46:37.356666,6.3,53.0,46.0
04/01/2018 00:50:37.106666,6.95,53.0,46.0
04/01/2018 00:53:17.330000,8.69,52.0,45.0
04/01/2018 00:55:57.330000,9.38,53.0,44.0
04/01/2018 00:58:37.116666,9.54,53.0,43.0
04/01/2018 01:02:37.050000,8.61,53.0,43.0
04/01/2018 01:05:17.320000,9.13,53.0,43.0
04/01/2018 01:07:57.116666,9.21,54.0,43.0
04/01/2018 01:10:36.973333,8.74,54.0,42.0
04/01/2018 01:14:37.290000,10.83,54.0,42.0
04/01/2018 01:17:17.260000,11.74,55.0,41.0
04/01/2018 01:19:57.223333,10.92,55.0,40.0
04/01/2018 01:22:37.103333,12.26,55.0,41.0
04/01/2018 01:26:37.140000,10.87,56.0,39.0
04/01/2018 01:29:17.453333,9.76,56.0,39.0
04/01/2018 01:31:57.286666,11.29,56.0,39.0
04/01/2018 01:34:37.003333,11.05,56.0,38.0
04/01/2018 01:38:37.216666,9.11,56.0,38.0
04/01/2018 01:41:17.440000,10.39,57.0,38.0
04/01/2018 01:43:57.136666,8.29,57.0,39.0
04/01/2018 01:46:38.396666,10.48,57.0,38.0
04/01/2018 01:50:37.320000,9.0,57.0,38.0
04/01/2018 01:53:17.096666,10.59,57.0,37.0
04/01/2018 01:55:57.576666,9.83,58.0,38.0
04/01/2018 01:58:37.063333,8.53,58.0,38.0
04/01/2018 02:02:37.536666,10.22,58.0,38.0
04/01/2018 02:05:17.176666,9.27,58.0,38.0
04/01/2018 02:07:57.713333,10.16,58.0,38.0
