InstrumentName, Wash Park West B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:01:30.090000,5.7,29.0,61.0
04/01/2018 00:05:30.063333,5.79,29.0,61.0
04/01/2018 00:08:10.096666,5.17,29.0,61.0
04/01/2018 00:10:50.183333,4.81,30.0,61.0
04/01/2018 00:13:30.143333,6.1,30.0,61.0
04/01/2018 00:17:30.070000,6.12,30.0,60.0
04/01/2018 00:20:10.196666,5.59,30.0,60.0
04/01/2018 00:22:50.133333,5.86,30.0,60.0
04/01/2018 00:25:30.080000,5.95,30.0,59.0
04/01/2018 00:29:30.336666,6.07,31.0,59.0
04/01/2018 00:32:10.076666,6.33,31.0,59.0
04/01/2018 00:34:50.096666,5.55,31.0,59.0
04/01/2018 00:37:30.096666,5.46,31.0,59.0
04/01/2018 00:41:30.073333,5.6,31.0,59.0
04/01/2018 00:44:10.413333,6.0,31.0,58.0
04/01/2018 00:46:50.473333,6.14,31.0,58.0
04/01/2018 00:49:30.826666,5.74,31.0,58.0
04/01/2018 00:53:30.196666,5.9,31.0,58.0
04/01/2018 00:56:10.206666,5.7,31.0,58.0
04/01/2018 00:58:50.113333,5.93,32.0,58.0
04/01/2018 01:01:30.646666,6.44,31.0,58.0
04/01/2018 01:05:30.186666,5.71,31.0,58.0
04/01/2018 01:08:10.146666,6.59,31.0,58.0
04/01/2018 01:10:50.183333,5.71,31.0,58.0
04/01/2018 01:13:30.096666,6.0,31.0,58.0
04/01/2018 01:17:30.096666,7.09,31.0,58.0
04/01/2018 01:20:10.116666,6.09,31.0,57.0
04/01/2018 01:22:50.120000,6.88,31.0,57.0
04/01/2018 01:25:30.126666,8.21,31.0,57.0
04/01/2018 01:29:30.116666,7.42,31.0,57.0
04/01/2018 01:32:10.816666,7.79,31.0,57.0
04/01/2018 01:34:50.160000,8.76,31.0,56.0
04/01/2018 01:37:30.253333,9.58,31.0,56.0
04/01/2018 01:41:30.276666,8.98,31.0,56.0
04/01/2018 01:44:10.123333,9.64,31.0,55.0
04/01/2018 01:46:50.140000,9.79,31.0,55.0
04/01/2018 01:49:30.863333,9.14,30.0,54.0
04/01/2018 01:53:30.846666,10.63,31.0,52.0
04/01/2018 01:56:10.140000,9.84,32.0,51.0
04/01/2018 01:58:50.146666,9.78,33.0,51.0
04/01/2018 02:01:30.146666,9.33,34.0,50.0
04/01/2018 02:05:30.146666,9.05,35.0,49.0
04/01/2018 02:08:10.183333,9.69,36.0,49.0
04/01/2018 02:10:50.386666,9.69,36.0,48.0
