InstrumentName, Thornton,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 04:53:14.280000,29.66,49.0,39.0
04/01/2018 04:55:54.230000,30.93,49.0,36.0
04/01/2018 04:58:34.470000,28.87,50.0,37.0
04/01/2018 05:02:34.203333,30.46,49.0,38.0
04/01/2018 05:05:14.610000,29.75,49.0,38.0
04/01/2018 05:07:54.260000,31.57,48.0,38.0
04/01/2018 05:10:34.196666,31.8,48.0,38.0
04/01/2018 05:14:34.280000,28.88,48.0,38.0
04/01/2018 05:17:15.536666,29.61,47.0,38.0
04/01/2018 05:19:54.206666,32.49,47.0,38.0
04/01/2018 05:22:34.220000,29.5,47.0,38.0
04/01/2018 05:26:34.216666,30.78,47.0,38.0
04/01/2018 05:29:14.243333,31.51,46.0,38.0
04/01/2018 05:31:54.243333,32.56,47.0,38.0
04/01/2018 05:34:34.283333,31.15,47.0,38.0
04/01/2018 05:38:34.836666,33.3,47.0,37.0
04/01/2018 05:41:14.220000,31.95,47.0,38.0
04/01/2018 05:43:55.646666,31.95,47.0,38.0
04/01/2018 05:46:34.230000,30.46,46.0,38.0
04/01/2018 05:50:34.223333,32.2,47.0,36.0
04/01/2018 05:53:14.280000,31.41,47.0,38.0
04/01/2018 05:55:54.373333,32.65,46.0,36.0
04/01/2018 05:58:34.463333,30.2,48.0,37.0
04/01/2018 06:02:34.216666,33.71,47.0,37.0
04/01/2018 06:05:14.300000,30.85,47.0,37.0
04/01/2018 06:07:54.306666,30.15,46.0,37.0
04/01/2018 06:10:34.280000,31.72,46.0,37.0
04/01/2018 06:14:34.230000,32.14,46.0,36.0
04/01/2018 06:17:14.236666,34.65,47.0,37.0
04/01/2018 06:19:54.236666,32.26,47.0,37.0
04/01/2018 06:22:34.863333,29.57,47.0,37.0
04/01/2018 06:26:35.826666,30.78,47.0,37.0
04/01/2018 06:29:14.446666,30.35,47.0,37.0
04/01/2018 06:31:54.516666,31.95,47.0,37.0
04/01/2018 06:34:34.533333,30.71,47.0,37.0
04/01/2018 06:38:34.526666,30.41,47.0,37.0
04/01/2018 06:41:14.360000,29.55,46.0,37.0
04/01/2018 06:43:54.756666,31.66,47.0,37.0
04/01/2018 06:46:34.253333,29.41,46.0,37.0
04/01/2018 06:50:34.393333,30.88,47.0,36.0
04/01/2018 06:53:14.236666,31.18,48.0,36.0
04/01/2018 06:55:54.290000,31.22,47.0,37.0
04/01/2018 06:58:34.260000,33.46,48.0,37.0
04/01/2018 07:02:34.476666,30.68,47.0,37.0
04/01/2018 07:05:14.246666,31.71,48.0,36.0
04/01/2018 07:07:54.336666,30.21,47.0,37.0
04/01/2018 07:10:34.263333,32.39,47.0,37.0
04/01/2018 07:14:34.426666,32.93,47.0,37.0
04/01/2018 07:17:14.280000,31.38,47.0,36.0
04/01/2018 07:19:54.253333,31.33,48.0,36.0
04/01/2018 07:22:34.370000,32.3,48.0,36.0
04/01/2018 07:26:34.303333,31.08,48.0,36.0
04/01/2018 07:29:14.270000,31.52,48.0,36.0
04/01/2018 07:31:54.270000,30.15,49.0,36.0
04/01/2018 07:34:34.256666,30.35,48.0,37.0
04/01/2018 07:38:34.320000,32.0,48.0,37.0
04/01/2018 07:41:14.273333,31.15,48.0,36.0
04/01/2018 07:43:54.783333,31.76,48.0,37.0
04/01/2018 07:46:34.273333,29.67,47.0,36.0
04/01/2018 07:50:34.266666,31.76,48.0,37.0
04/01/2018 07:53:14.266666,30.56,48.0,37.0
04/01/2018 07:55:54.306666,31.3,48.0,36.0
04/01/2018 07:58:34.293333,29.76,48.0,36.0
04/01/2018 08:02:34.353333,29.29,47.0,36.0
04/01/2018 08:05:14.283333,30.8,48.0,37.0
04/01/2018 08:07:54.380000,28.98,48.0,36.0
04/01/2018 08:10:34.286666,30.29,48.0,37.0
04/01/2018 08:14:34.280000,30.39,48.0,37.0
04/01/2018 08:17:14.343333,31.5,48.0,37.0
04/01/2018 08:19:54.270000,30.67,48.0,36.0
04/01/2018 08:22:34.296666,29.7,49.0,36.0
04/01/2018 08:26:34.346666,29.69,48.0,36.0
04/01/2018 08:29:14.746666,29.7,48.0,36.0
04/01/2018 08:31:54.333333,32.51,49.0,36.0
04/01/2018 08:34:34.883333,29.85,49.0,36.0
04/01/2018 08:38:34.393333,28.65,49.0,36.0
04/01/2018 08:41:14.286666,30.92,49.0,37.0
04/01/2018 08:43:54.710000,29.76,48.0,37.0
04/01/2018 08:46:34.286666,30.29,48.0,36.0
04/01/2018 08:50:34.283333,32.25,50.0,36.0
04/01/2018 08:53:14.936666,30.0,50.0,36.0
04/01/2018 08:55:54.333333,30.19,50.0,36.0
04/01/2018 08:58:34.423333,29.33,50.0,36.0
04/01/2018 09:02:34.316666,30.05,49.0,36.0
04/01/2018 09:05:14.293333,30.68,50.0,37.0
04/01/2018 09:07:54.303333,29.95,48.0,37.0
04/01/2018 09:10:34.510000,31.46,49.0,35.0
04/01/2018 09:14:34.300000,30.26,49.0,36.0
04/01/2018 09:17:14.310000,32.24,51.0,36.0
04/01/2018 09:19:54.306666,30.5,50.0,36.0
04/01/2018 09:22:34.600000,30.95,50.0,36.0
04/01/2018 09:26:34.353333,31.51,50.0,36.0
04/01/2018 09:29:14.300000,29.95,50.0,37.0
04/01/2018 09:31:54.376666,33.66,49.0,36.0
04/01/2018 09:34:34.366666,32.39,50.0,37.0
04/01/2018 09:38:34.363333,31.43,51.0,37.0
04/01/2018 09:41:14.386666,31.18,50.0,36.0
