InstrumentName, Swansea (DEH),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 05:37:41.346666,10.1,59.0,32.0
04/01/2018 05:41:41.376666,9.7,59.0,33.0
04/01/2018 05:44:21.300000,10.7,59.0,32.0
04/01/2018 05:47:01.226666,10.97,60.0,32.0
04/01/2018 05:49:41.256666,10.67,59.0,34.0
04/01/2018 05:53:41.213333,11.7,59.0,33.0
04/01/2018 05:56:21.563333,11.58,59.0,33.0
04/01/2018 05:59:01.346666,10.59,59.0,32.0
04/01/2018 06:01:41.690000,9.85,59.0,32.0
04/01/2018 06:05:41.606666,11.19,60.0,32.0
04/01/2018 06:08:21.246666,11.05,59.0,33.0
04/01/2018 06:11:01.906666,11.0,59.0,32.0
04/01/2018 06:13:41.400000,11.16,59.0,32.0
04/01/2018 06:17:41.523333,10.13,60.0,32.0
04/01/2018 06:20:21.320000,10.92,60.0,32.0
04/01/2018 06:23:01.436666,10.53,60.0,32.0
04/01/2018 06:25:41.716666,10.72,60.0,32.0
04/01/2018 06:29:41.253333,11.03,60.0,32.0
04/01/2018 06:32:21.646666,10.97,60.0,32.0
04/01/2018 06:35:01.766666,11.49,60.0,32.0
04/01/2018 06:37:42.170000,10.37,60.0,31.0
04/01/2018 06:41:41.346666,12.65,61.0,32.0
04/01/2018 06:44:21.570000,9.89,60.0,32.0
04/01/2018 06:47:01.293333,11.5,60.0,32.0
04/01/2018 06:49:41.480000,11.14,60.0,32.0
04/01/2018 06:53:41.696666,10.76,60.0,32.0
04/01/2018 06:56:21.403333,11.21,59.0,33.0
04/01/2018 06:59:01.543333,10.48,59.0,33.0
04/01/2018 07:01:41.306666,13.31,59.0,33.0
04/01/2018 07:05:41.343333,12.91,59.0,31.0
04/01/2018 07:08:21.300000,11.51,60.0,31.0
04/01/2018 07:11:01.453333,11.42,60.0,33.0
04/01/2018 07:13:41.356666,12.0,60.0,32.0
04/01/2018 07:17:41.273333,10.63,59.0,32.0
04/01/2018 07:20:21.596666,10.54,60.0,32.0
04/01/2018 07:23:01.503333,12.51,60.0,32.0
04/01/2018 07:25:41.426666,11.0,60.0,33.0
04/01/2018 07:28:21.386666,10.78,60.0,33.0
04/01/2018 07:32:21.466666,10.03,58.0,33.0
04/01/2018 07:35:01.573333,10.83,59.0,33.0
04/01/2018 07:37:41.380000,11.0,58.0,33.0
04/01/2018 07:41:41.576666,11.49,58.0,33.0
04/01/2018 07:44:21.986666,10.89,58.0,33.0
04/01/2018 07:47:01.706666,10.32,58.0,32.0
04/01/2018 07:49:41.103333,11.35,59.0,33.0
04/01/2018 07:53:40.836666,10.54,59.0,32.0
04/01/2018 07:56:21.136666,10.6,59.0,34.0
04/01/2018 07:59:01.536666,10.62,58.0,33.0
04/01/2018 08:01:41.273333,11.03,59.0,33.0
04/01/2018 08:05:41.300000,10.97,59.0,33.0
04/01/2018 08:08:21.696666,10.57,59.0,33.0
04/01/2018 08:11:01.200000,9.46,59.0,34.0
04/01/2018 08:13:42.010000,10.68,58.0,33.0
04/01/2018 08:17:41.416666,9.22,58.0,34.0
04/01/2018 08:20:21.390000,11.19,58.0,33.0
04/01/2018 08:23:01.320000,10.95,58.0,33.0
04/01/2018 08:25:41.800000,10.42,59.0,34.0
04/01/2018 08:29:41.543333,10.84,58.0,34.0
04/01/2018 08:32:21.336666,9.62,58.0,33.0
04/01/2018 08:35:01.566666,10.54,58.0,34.0
04/01/2018 08:37:41.596666,10.22,58.0,34.0
04/01/2018 08:41:41.856666,10.56,58.0,34.0
04/01/2018 08:44:21.520000,9.78,58.0,36.0
04/01/2018 08:47:01.026666,10.79,56.0,34.0
04/01/2018 08:49:41.893333,10.02,57.0,33.0
04/01/2018 08:53:41.010000,9.23,58.0,34.0
04/01/2018 08:56:21.446666,10.9,58.0,34.0
04/01/2018 08:59:01.110000,9.32,58.0,35.0
04/01/2018 09:01:41.463333,11.0,58.0,34.0
04/01/2018 09:05:41.356666,9.65,58.0,34.0
04/01/2018 09:08:21.236666,9.74,57.0,35.0
04/01/2018 09:11:01.403333,9.28,57.0,35.0
04/01/2018 09:13:41.340000,10.4,57.0,34.0
04/01/2018 09:17:41.050000,10.03,57.0,35.0
04/01/2018 09:20:21.156666,10.19,57.0,35.0
04/01/2018 09:23:01.303333,9.13,57.0,34.0
04/01/2018 09:25:41.250000,10.23,58.0,34.0
04/01/2018 09:29:41.040000,9.47,58.0,34.0
04/01/2018 09:32:21.396666,10.33,59.0,34.0
04/01/2018 09:35:01.246666,10.13,59.0,35.0
04/01/2018 09:37:41.880000,9.18,58.0,35.0
04/01/2018 09:41:41.373333,12.31,58.0,34.0
04/01/2018 09:44:21.170000,10.76,58.0,36.0
04/01/2018 09:47:01.540000,11.7,58.0,34.0
04/01/2018 09:49:41.443333,11.33,58.0,35.0
04/01/2018 09:53:41.810000,12.33,58.0,34.0
04/01/2018 09:56:21.223333,9.59,59.0,35.0
04/01/2018 09:59:01.566666,10.38,58.0,34.0
04/01/2018 10:01:41.046666,12.21,59.0,35.0
04/01/2018 10:05:41.146666,11.45,59.0,35.0
04/01/2018 10:08:21.176666,13.1,59.0,34.0
04/01/2018 10:11:01.156666,10.81,60.0,34.0
04/01/2018 10:13:41.596666,11.51,60.0,35.0
04/01/2018 10:17:41.356666,11.27,60.0,34.0
04/01/2018 10:20:21.803333,12.72,61.0,34.0
04/01/2018 10:23:01.110000,11.16,61.0,34.0
04/01/2018 10:25:41.236666,12.58,61.0,34.0
