InstrumentName, Construction Dust Monitor (A) [Sensor B],,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
04/03/2018 17:14:34.000000,1.33,2.67,2.67
04/03/2018 17:17:14.000000,0.24,0.61,0.61
04/03/2018 17:19:54.000000,0.12,0.49,0.32
04/03/2018 17:22:34.000000,0.36,0.74,0.57
04/03/2018 17:26:34.000000,0.33,0.91,0.91
04/03/2018 17:29:14.000000,0.07,0.2,0.07
04/03/2018 17:31:54.000000,0.08,0.3,0.3
04/03/2018 17:34:34.000000,0.07,0.07,0.07
04/03/2018 17:38:34.000000,0.32,0.39,0.27
04/03/2018 17:41:14.000000,0.68,0.68,0.68
04/03/2018 17:43:54.000000,0.02,0.19,0.1
04/03/2018 17:46:35.000000,0.24,0.29,0.29
04/03/2018 17:50:34.000000,0.02,0.24,0.21
04/03/2018 17:53:14.000000,0.29,0.48,0.48
04/03/2018 17:55:54.000000,0.29,0.21,0.21
04/03/2018 17:58:34.000000,0.57,0.12,0.12
04/03/2018 18:02:34.000000,0.19,0.31,0.21
04/03/2018 18:05:14.000000,0.19,0.53,0.44
04/03/2018 18:07:54.000000,0.03,0.8,0.1
04/03/2018 18:10:34.000000,0.07,0.34,0.34
04/03/2018 18:14:34.000000,0.07,0.26,0.26
04/03/2018 18:17:14.000000,0.07,0.27,0.33
04/03/2018 18:19:54.000000,0.07,0.24,0.33
04/03/2018 18:22:34.000000,0.07,0.42,0.35
04/03/2018 18:26:34.000000,0.12,0.67,0.6
04/03/2018 18:29:14.000000,0.19,0.3,0.14
04/03/2018 18:31:54.000000,0.07,0.55,0.55
04/03/2018 18:34:34.000000,0.28,0.58,0.58
04/03/2018 18:38:34.000000,0.44,0.44,0.44
04/03/2018 18:41:14.000000,0.21,0.48,0.48
04/03/2018 18:43:54.000000,0.4,0.64,0.62
04/03/2018 18:46:34.000000,0.1,0.69,0.5
                
