InstrumentName, Lake Arbot,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:02:14.013333,5.5,32.0,58.0
04/01/2018 00:04:54.046666,5.02,31.0,58.0
04/01/2018 00:07:34.133333,5.29,32.0,57.0
04/01/2018 00:11:33.973333,6.0,32.0,56.0
04/01/2018 00:14:14.026666,5.67,32.0,56.0
04/01/2018 00:16:53.980000,6.07,32.0,56.0
04/01/2018 00:19:33.986666,5.67,32.0,56.0
04/01/2018 00:23:34.110000,6.12,33.0,55.0
04/01/2018 00:26:13.966666,6.95,33.0,55.0
04/01/2018 00:28:54.023333,6.32,33.0,55.0
04/01/2018 00:31:34.000000,6.71,33.0,55.0
04/01/2018 00:35:34.063333,8.33,33.0,54.0
04/01/2018 00:38:14.560000,8.86,32.0,54.0
04/01/2018 00:40:54.036666,8.88,32.0,53.0
04/01/2018 00:43:34.113333,9.0,33.0,53.0
04/01/2018 00:47:33.976666,10.79,33.0,52.0
04/01/2018 00:50:14.080000,9.69,33.0,52.0
04/01/2018 00:52:54.013333,9.93,34.0,51.0
04/01/2018 00:55:34.043333,9.31,34.0,51.0
04/01/2018 00:59:34.060000,11.05,34.0,50.0
04/01/2018 01:02:14.050000,10.02,35.0,50.0
04/01/2018 01:04:54.366666,10.37,35.0,50.0
04/01/2018 01:07:34.326666,10.15,35.0,49.0
04/01/2018 01:11:34.110000,10.73,35.0,49.0
04/01/2018 01:14:14.013333,11.31,36.0,49.0
04/01/2018 01:16:54.046666,10.81,36.0,49.0
04/01/2018 01:19:34.076666,10.24,36.0,48.0
04/01/2018 01:23:34.036666,9.95,36.0,48.0
04/01/2018 01:26:14.116666,11.29,36.0,48.0
04/01/2018 01:28:54.023333,10.1,36.0,48.0
04/01/2018 01:31:34.713333,10.88,36.0,47.0
04/01/2018 01:35:34.053333,10.54,36.0,47.0
04/01/2018 01:38:14.076666,10.73,37.0,47.0
04/01/2018 01:40:54.043333,11.6,37.0,47.0
04/01/2018 01:43:34.043333,11.1,37.0,47.0
04/01/2018 01:47:34.066666,10.98,37.0,46.0
04/01/2018 01:50:14.046666,11.05,37.0,46.0
04/01/2018 01:52:54.083333,10.37,37.0,46.0
04/01/2018 01:55:34.036666,11.05,37.0,46.0
04/01/2018 01:59:34.190000,11.17,37.0,46.0
04/01/2018 02:02:14.060000,10.9,37.0,46.0
04/01/2018 02:04:54.120000,9.95,37.0,46.0
04/01/2018 02:07:34.086666,9.6,37.0,46.0
04/01/2018 02:11:34.143333,10.33,37.0,46.0
