InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/17/2018 04:04:35.916666,2.51,16.0,74.0
04/17/2018 04:08:35.920000,1.24,16.0,74.0
04/17/2018 04:11:16.040000,2.19,16.0,74.0
04/17/2018 04:13:55.953333,1.58,16.0,74.0
04/17/2018 04:16:35.950000,2.69,16.0,74.0
04/17/2018 04:20:35.980000,1.49,15.0,74.0
04/17/2018 04:23:16.270000,2.07,15.0,74.0
04/17/2018 04:25:55.963333,1.19,15.0,74.0
04/17/2018 04:28:35.946666,1.64,15.0,74.0
04/17/2018 04:32:35.973333,1.57,15.0,74.0
04/17/2018 04:35:15.946666,1.45,15.0,73.0
04/17/2018 04:37:55.986666,1.72,15.0,73.0
04/17/2018 04:40:35.970000,1.43,15.0,74.0
04/17/2018 04:44:35.966666,2.05,14.0,74.0
04/17/2018 04:47:15.980000,1.28,14.0,73.0
04/17/2018 04:49:55.990000,1.38,13.0,74.0
04/17/2018 04:52:35.970000,1.79,13.0,74.0
04/17/2018 04:56:36.020000,1.26,13.0,74.0
04/17/2018 04:59:16.043333,0.76,13.0,74.0
04/17/2018 05:01:56.050000,1.2,13.0,74.0
04/17/2018 05:04:35.983333,1.02,13.0,74.0
04/17/2018 05:08:36.010000,1.29,13.0,74.0
04/17/2018 05:11:16.086666,0.95,12.0,74.0
04/17/2018 05:13:56.003333,1.58,13.0,74.0
04/17/2018 05:16:36.010000,0.7,12.0,74.0
04/17/2018 05:19:16.013333,2.14,12.0,74.0
04/17/2018 05:23:16.013333,1.55,12.0,74.0
04/17/2018 05:25:56.006666,2.07,13.0,74.0
04/17/2018 05:28:36.126666,1.12,13.0,73.0
04/17/2018 05:31:16.060000,1.65,13.0,73.0
04/17/2018 05:35:16.040000,1.3,14.0,72.0
04/17/2018 05:37:56.073333,1.93,14.0,72.0
04/17/2018 05:40:36.080000,1.62,13.0,72.0
04/17/2018 05:43:16.046666,1.65,13.0,72.0
04/17/2018 05:47:16.066666,1.65,13.0,73.0
04/17/2018 05:49:56.086666,1.79,14.0,72.0
04/17/2018 05:52:36.066666,1.36,14.0,72.0
04/17/2018 05:55:16.053333,1.33,13.0,72.0
04/17/2018 05:59:16.090000,0.85,13.0,72.0
04/17/2018 06:01:56.056666,1.71,13.0,72.0
04/17/2018 06:04:36.270000,1.69,13.0,72.0
04/17/2018 06:08:36.110000,1.84,12.0,72.0
04/17/2018 06:11:16.130000,2.14,12.0,72.0
04/17/2018 06:13:56.073333,1.77,12.0,72.0
04/17/2018 06:16:36.086666,1.66,12.0,72.0
04/17/2018 06:20:36.090000,1.86,12.0,73.0
04/17/2018 06:23:16.143333,1.93,12.0,72.0
04/17/2018 06:25:56.203333,1.15,12.0,73.0
04/17/2018 06:28:36.220000,1.65,12.0,72.0
04/17/2018 06:32:36.110000,0.82,12.0,72.0
04/17/2018 06:35:16.106666,1.91,12.0,72.0
04/17/2018 06:37:56.123333,1.47,11.0,72.0
04/17/2018 06:40:36.110000,1.62,11.0,72.0
04/17/2018 06:44:36.116666,1.4,11.0,72.0
04/17/2018 06:47:16.133333,1.45,11.0,72.0
04/17/2018 06:49:56.126666,1.7,11.0,72.0
04/17/2018 06:52:36.173333,1.68,11.0,72.0
04/17/2018 06:56:36.186666,1.55,11.0,72.0
04/17/2018 06:59:16.136666,1.83,11.0,72.0
04/17/2018 07:01:56.200000,0.98,11.0,72.0
04/17/2018 07:04:36.346666,1.4,11.0,72.0
04/17/2018 07:08:36.190000,1.88,11.0,72.0
04/17/2018 07:11:16.153333,0.98,11.0,72.0
04/17/2018 07:13:56.170000,1.58,11.0,72.0
04/17/2018 07:16:36.163333,2.0,11.0,72.0
04/17/2018 07:20:36.170000,2.07,11.0,71.0
04/17/2018 07:23:16.200000,2.19,11.0,72.0
04/17/2018 07:25:56.240000,1.12,11.0,71.0
04/17/2018 07:28:36.173333,1.42,11.0,71.0
04/17/2018 07:32:36.190000,1.56,11.0,71.0
04/17/2018 07:35:16.256666,1.47,11.0,71.0
04/17/2018 07:37:56.226666,1.59,11.0,71.0
04/17/2018 07:40:36.180000,2.0,11.0,71.0
04/17/2018 07:44:36.186666,1.4,11.0,71.0
04/17/2018 07:47:16.256666,1.57,11.0,71.0
04/17/2018 07:49:56.196666,1.29,11.0,71.0
04/17/2018 07:52:36.203333,1.47,11.0,71.0
04/17/2018 07:55:16.213333,1.47,11.0,71.0
04/17/2018 07:59:16.210000,2.7,11.0,71.0
04/17/2018 08:01:56.336666,1.74,11.0,71.0
04/17/2018 08:04:36.243333,1.44,11.0,71.0
04/17/2018 08:08:36.313333,1.77,11.0,71.0
04/17/2018 08:11:16.223333,1.3,11.0,71.0
04/17/2018 08:13:56.290000,1.38,11.0,71.0
04/17/2018 08:16:36.243333,1.78,11.0,71.0
04/17/2018 08:19:16.230000,2.76,11.0,71.0
04/17/2018 08:23:16.343333,2.02,11.0,70.0
04/17/2018 08:25:56.276666,2.37,11.0,71.0
04/17/2018 08:28:36.250000,1.98,11.0,70.0
04/17/2018 08:31:16.256666,1.11,11.0,71.0
04/17/2018 08:35:16.263333,1.57,11.0,71.0
04/17/2018 08:37:56.343333,1.28,12.0,71.0
04/17/2018 08:40:36.253333,1.5,12.0,71.0
04/17/2018 08:43:16.270000,1.49,12.0,71.0
04/17/2018 08:47:16.353333,1.58,12.0,70.0
04/17/2018 08:49:56.273333,1.07,12.0,70.0
04/17/2018 08:52:36.266666,1.83,12.0,70.0
04/17/2018 08:56:36.386666,1.35,12.0,70.0
04/17/2018 08:59:16.290000,1.91,12.0,70.0
04/17/2018 09:01:56.330000,1.5,12.0,70.0
04/17/2018 09:04:36.306666,1.63,12.0,70.0
04/17/2018 09:08:36.293333,1.21,12.0,70.0
04/17/2018 09:11:16.406666,1.54,12.0,70.0
04/17/2018 09:13:56.386666,1.8,13.0,70.0
04/17/2018 09:16:36.473333,1.84,13.0,70.0
04/17/2018 09:20:36.300000,0.91,13.0,70.0
04/17/2018 09:23:16.316666,1.6,13.0,70.0
04/17/2018 09:25:56.333333,1.72,13.0,70.0
04/17/2018 09:28:36.313333,1.43,13.0,70.0
04/17/2018 09:32:36.323333,1.4,13.0,70.0
04/17/2018 09:35:16.336666,1.54,13.0,70.0
04/17/2018 09:37:56.330000,2.23,13.0,70.0
04/17/2018 09:40:36.346666,2.59,13.0,70.0
04/17/2018 09:44:36.413333,1.02,14.0,70.0
04/17/2018 09:47:16.333333,1.31,14.0,70.0
04/17/2018 09:49:56.340000,1.69,14.0,70.0
04/17/2018 09:52:36.350000,1.58,14.0,70.0
04/17/2018 09:56:36.490000,1.89,14.0,70.0
04/17/2018 09:59:16.353333,1.51,14.0,70.0
04/17/2018 10:01:56.350000,1.81,14.0,69.0
04/17/2018 10:04:36.356666,1.76,15.0,69.0
04/17/2018 10:08:36.403333,1.91,15.0,69.0
04/17/2018 10:11:16.486666,1.54,15.0,69.0
04/17/2018 10:13:56.523333,1.28,15.0,69.0
04/17/2018 10:16:36.776666,1.66,15.0,69.0
04/17/2018 10:20:36.413333,1.5,15.0,69.0
04/17/2018 10:23:16.446666,1.45,15.0,69.0
04/17/2018 10:25:56.386666,2.26,15.0,69.0
04/17/2018 10:28:36.393333,0.91,15.0,69.0
04/17/2018 10:31:16.393333,1.93,15.0,68.0
04/17/2018 10:33:56.410000,0.95,15.0,68.0
04/17/2018 10:37:56.436666,1.33,15.0,68.0
04/17/2018 10:40:36.396666,1.26,15.0,68.0
04/17/2018 10:43:16.493333,1.45,15.0,68.0
04/17/2018 10:47:16.426666,1.17,15.0,68.0
04/17/2018 10:49:56.536666,1.57,15.0,68.0
