InstrumentName, Thornton B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:01:53.033333,153.13,44.0,48.0
04/01/2018 00:04:33.006666,172.08,43.0,49.0
04/01/2018 00:08:32.966666,180.58,43.0,48.0
04/01/2018 00:11:12.900000,115.62,43.0,48.0
04/01/2018 00:13:53.173333,68.6,44.0,47.0
04/01/2018 00:16:32.920000,61.31,44.0,46.0
04/01/2018 00:20:32.883333,47.39,46.0,45.0
04/01/2018 00:23:13.030000,49.43,46.0,44.0
04/01/2018 00:25:53.076666,56.04,47.0,44.0
04/01/2018 00:28:32.963333,57.7,47.0,43.0
04/01/2018 00:32:32.920000,100.91,49.0,43.0
04/01/2018 00:35:12.873333,97.2,49.0,43.0
04/01/2018 00:37:52.913333,97.32,49.0,44.0
04/01/2018 00:40:33.046666,95.68,49.0,43.0
04/01/2018 00:44:33.106666,49.83,50.0,42.0
04/01/2018 00:47:12.946666,51.62,50.0,41.0
04/01/2018 00:49:53.016666,81.83,51.0,41.0
04/01/2018 00:52:32.870000,58.21,51.0,41.0
04/01/2018 00:56:32.953333,57.83,51.0,41.0
04/01/2018 00:59:13.626666,62.66,51.0,40.0
04/01/2018 01:01:53.540000,61.35,52.0,39.0
04/01/2018 01:04:32.933333,71.21,52.0,40.0
04/01/2018 01:08:32.923333,122.46,52.0,39.0
04/01/2018 01:11:13.716666,177.42,52.0,39.0
04/01/2018 01:13:52.903333,169.1,53.0,39.0
04/01/2018 01:16:33.540000,125.37,53.0,38.0
04/01/2018 01:20:32.893333,51.13,53.0,39.0
04/01/2018 01:23:12.963333,55.28,53.0,39.0
04/01/2018 01:25:52.906666,60.77,53.0,38.0
04/01/2018 01:28:33.046666,62.06,53.0,38.0
04/01/2018 01:32:32.903333,59.96,53.0,39.0
04/01/2018 01:35:12.873333,60.64,54.0,38.0
04/01/2018 01:37:52.926666,58.57,54.0,37.0
04/01/2018 01:40:32.960000,59.04,54.0,37.0
04/01/2018 01:44:33.676666,72.74,55.0,36.0
04/01/2018 01:47:13.580000,65.83,55.0,37.0
04/01/2018 01:49:53.030000,63.4,55.0,37.0
04/01/2018 01:52:33.026666,61.96,54.0,37.0
04/01/2018 01:56:33.036666,62.13,55.0,37.0
04/01/2018 01:59:12.930000,62.6,55.0,37.0
04/01/2018 02:01:52.913333,61.64,55.0,38.0
04/01/2018 02:04:32.933333,63.91,55.0,38.0
04/01/2018 02:08:33.020000,62.81,55.0,37.0
04/01/2018 02:11:12.933333,63.62,55.0,38.0
