InstrumentName, Lake Arbot B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:02:43.946666,5.23,32.0,58.0
04/01/2018 00:05:23.976666,5.47,31.0,57.0
04/01/2018 00:08:04.206666,5.3,32.0,57.0
04/01/2018 00:10:44.063333,5.05,32.0,57.0
04/01/2018 00:14:43.950000,4.95,32.0,56.0
04/01/2018 00:17:23.946666,5.48,32.0,56.0
04/01/2018 00:20:04.206666,6.0,32.0,56.0
04/01/2018 00:22:44.100000,5.95,32.0,56.0
04/01/2018 00:26:43.936666,6.43,33.0,55.0
04/01/2018 00:29:24.083333,6.17,33.0,55.0
04/01/2018 00:32:04.000000,6.93,33.0,55.0
04/01/2018 00:34:43.953333,9.14,33.0,54.0
04/01/2018 00:38:43.956666,8.67,32.0,54.0
04/01/2018 00:41:23.956666,9.23,32.0,53.0
04/01/2018 00:44:03.960000,8.81,33.0,52.0
04/01/2018 00:46:43.963333,8.72,33.0,52.0
04/01/2018 00:50:44.063333,9.38,33.0,51.0
04/01/2018 00:53:24.050000,10.82,34.0,51.0
04/01/2018 00:56:03.990000,9.52,34.0,51.0
04/01/2018 00:58:44.046666,9.48,34.0,50.0
04/01/2018 01:02:44.066666,9.98,35.0,50.0
04/01/2018 01:05:24.746666,10.38,35.0,50.0
04/01/2018 01:08:03.986666,9.79,35.0,50.0
04/01/2018 01:10:43.996666,10.0,35.0,49.0
04/01/2018 01:14:44.173333,10.35,35.0,49.0
04/01/2018 01:17:24.100000,10.14,36.0,48.0
04/01/2018 01:20:04.046666,9.36,36.0,48.0
04/01/2018 01:22:44.030000,10.07,36.0,48.0
04/01/2018 01:26:44.063333,10.88,36.0,48.0
04/01/2018 01:29:24.003333,10.12,36.0,47.0
04/01/2018 01:32:04.103333,10.36,36.0,47.0
04/01/2018 01:34:44.033333,10.91,37.0,47.0
04/01/2018 01:38:44.120000,11.1,36.0,47.0
04/01/2018 01:41:24.016666,10.19,36.0,47.0
04/01/2018 01:44:04.026666,10.88,37.0,47.0
04/01/2018 01:46:44.040000,10.75,37.0,46.0
04/01/2018 01:50:44.033333,10.5,37.0,46.0
04/01/2018 01:53:24.110000,9.81,37.0,46.0
04/01/2018 01:56:04.113333,11.47,37.0,46.0
04/01/2018 01:58:44.133333,10.07,37.0,46.0
04/01/2018 02:02:44.046666,9.71,37.0,46.0
04/01/2018 02:05:24.046666,11.44,37.0,46.0
04/01/2018 02:08:04.050000,9.56,37.0,46.0
