InstrumentName, West Denver PA-II,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:01:37.783333,6.67,31.0,62.0
04/01/2018 00:05:38.226666,6.45,31.0,61.0
04/01/2018 00:08:17.783333,7.05,32.0,61.0
04/01/2018 00:10:58.386666,7.09,32.0,61.0
04/01/2018 00:13:37.776666,7.4,32.0,61.0
04/01/2018 00:17:38.376666,7.05,32.0,60.0
04/01/2018 00:20:17.783333,7.74,32.0,60.0
04/01/2018 00:22:57.846666,7.02,33.0,60.0
04/01/2018 00:25:37.863333,7.44,33.0,59.0
04/01/2018 00:29:38.366666,7.15,33.0,59.0
04/01/2018 00:32:17.840000,7.51,34.0,58.0
04/01/2018 00:34:58.016666,7.37,34.0,58.0
04/01/2018 00:37:37.810000,7.95,35.0,58.0
04/01/2018 00:41:37.823333,7.4,35.0,58.0
04/01/2018 00:44:17.906666,7.26,35.0,57.0
04/01/2018 00:46:57.820000,6.91,35.0,57.0
04/01/2018 00:49:37.796666,7.1,35.0,57.0
04/01/2018 00:53:37.786666,8.0,35.0,57.0
04/01/2018 00:56:18.020000,8.12,35.0,56.0
04/01/2018 00:58:58.246666,7.81,35.0,56.0
04/01/2018 01:01:38.823333,10.44,35.0,56.0
04/01/2018 01:05:38.796666,9.61,35.0,55.0
04/01/2018 01:08:17.846666,10.63,35.0,55.0
04/01/2018 01:10:57.913333,10.38,35.0,55.0
04/01/2018 01:13:37.786666,9.24,35.0,55.0
04/01/2018 01:17:38.183333,10.0,35.0,54.0
04/01/2018 01:20:17.840000,9.98,35.0,54.0
04/01/2018 01:22:57.813333,9.95,36.0,54.0
04/01/2018 01:25:37.883333,10.84,36.0,53.0
04/01/2018 01:29:37.816666,11.52,36.0,53.0
04/01/2018 01:32:17.826666,11.15,36.0,52.0
04/01/2018 01:34:57.863333,10.55,36.0,52.0
04/01/2018 01:37:37.910000,11.21,36.0,52.0
04/01/2018 01:41:37.783333,11.5,36.0,52.0
04/01/2018 01:44:17.900000,11.69,36.0,51.0
04/01/2018 01:46:58.353333,10.29,37.0,51.0
04/01/2018 01:49:37.840000,11.05,37.0,50.0
04/01/2018 01:53:37.820000,10.24,37.0,50.0
04/01/2018 01:56:17.966666,10.64,37.0,50.0
04/01/2018 01:58:57.903333,10.05,37.0,50.0
04/01/2018 02:01:37.786666,10.56,38.0,50.0
04/01/2018 02:05:38.540000,10.9,37.0,50.0
04/01/2018 02:08:17.840000,11.02,37.0,50.0
