InstrumentName, APCD B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:02:44.136666,10.98,50.0,47.0
04/01/2018 00:05:24.510000,8.51,50.0,47.0
04/01/2018 00:08:04.116666,8.56,50.0,47.0
04/01/2018 00:10:44.216666,6.51,49.0,47.0
04/01/2018 00:14:44.350000,7.5,50.0,46.0
04/01/2018 00:17:24.200000,8.33,51.0,46.0
04/01/2018 00:20:04.836666,8.93,53.0,46.0
04/01/2018 00:22:44.426666,8.83,53.0,46.0
04/01/2018 00:26:44.340000,8.93,52.0,45.0
04/01/2018 00:29:24.566666,10.2,53.0,45.0
04/01/2018 00:32:04.693333,9.22,53.0,45.0
04/01/2018 00:34:45.976666,8.51,54.0,45.0
04/01/2018 00:37:24.180000,9.45,53.0,45.0
04/01/2018 00:41:24.256666,9.0,53.0,45.0
04/01/2018 00:44:05.233333,8.41,53.0,45.0
04/01/2018 00:46:44.376666,10.0,53.0,45.0
04/01/2018 00:49:24.536666,9.61,53.0,44.0
04/01/2018 00:53:24.423333,8.82,53.0,44.0
04/01/2018 00:56:04.183333,10.0,52.0,44.0
04/01/2018 00:58:44.506666,10.14,51.0,44.0
04/01/2018 01:02:44.523333,9.9,52.0,43.0
04/01/2018 01:05:24.243333,11.12,51.0,43.0
04/01/2018 01:08:04.263333,13.18,52.0,43.0
04/01/2018 01:10:44.116666,10.63,52.0,43.0
04/01/2018 01:13:24.696666,11.51,52.0,42.0
04/01/2018 01:17:24.206666,13.03,53.0,41.0
04/01/2018 01:20:04.156666,12.02,53.0,41.0
04/01/2018 01:22:44.093333,12.61,54.0,41.0
04/01/2018 01:25:24.480000,12.65,54.0,40.0
04/01/2018 01:29:24.323333,14.0,56.0,38.0
04/01/2018 01:32:04.303333,13.83,57.0,38.0
04/01/2018 01:34:44.506666,12.1,57.0,38.0
04/01/2018 01:38:44.333333,13.6,57.0,38.0
04/01/2018 01:41:24.326666,13.37,57.0,38.0
04/01/2018 01:44:04.343333,12.98,57.0,38.0
04/01/2018 01:46:44.286666,12.95,57.0,37.0
04/01/2018 01:49:24.396666,13.45,57.0,38.0
04/01/2018 01:53:24.303333,14.0,58.0,37.0
04/01/2018 01:56:04.196666,11.49,58.0,38.0
04/01/2018 01:58:44.136666,11.53,57.0,38.0
04/01/2018 02:02:44.233333,11.17,57.0,37.0
04/01/2018 02:05:24.120000,12.13,57.0,37.0
04/01/2018 02:08:04.580000,13.29,58.0,36.0
04/01/2018 02:10:44.340000,12.9,59.0,36.0
