InstrumentName, Adams County Building
StartTime, 2018-04-01 00:00:00
EndTime, 2018-04-30 23:59:59
Date,PM2.5
04/01/2018 00:00:00.000000,6.3
04/01/2018 01:00:00.000000,7.0
04/01/2018 02:00:00.000000,7.3
04/01/2018 03:00:00.000000,6.8
04/01/2018 04:00:00.000000,6.7
04/01/2018 05:00:00.000000,7.1
04/01/2018 06:00:00.000000,7.3
04/01/2018 07:00:00.000000,7.4
04/01/2018 08:00:00.000000,7.4
04/01/2018 09:00:00.000000,7.7
04/01/2018 10:00:00.000000,7.8
04/01/2018 11:00:00.000000,8.3
04/01/2018 12:00:00.000000,9.4
04/01/2018 13:00:00.000000,10.8
04/01/2018 14:00:00.000000,12.7
04/01/2018 15:00:00.000000,13.6
04/01/2018 16:00:00.000000,14.3
04/01/2018 17:00:00.000000,13.5
04/01/2018 18:00:00.000000,12.2
04/01/2018 19:00:00.000000,12.1
04/01/2018 20:00:00.000000,12.6
04/01/2018 21:00:00.000000,12.1
04/01/2018 22:00:00.000000,11.2
04/01/2018 23:00:00.000000,9.4
04/02/2018 00:00:00.000000,7.7
04/02/2018 01:00:00.000000,7.7
04/02/2018 11:00:00.000000,16.2
04/02/2018 12:00:00.000000,22.2
04/02/2018 13:00:00.000000,27.5
04/02/2018 14:00:00.000000,28.1
04/02/2018 15:00:00.000000,29.5
04/02/2018 16:00:00.000000,28.8
04/02/2018 17:00:00.000000,22.3
04/02/2018 18:00:00.000000,14.7
04/02/2018 19:00:00.000000,15.1
04/02/2018 20:00:00.000000,14.7
04/02/2018 21:00:00.000000,15.6
04/02/2018 22:00:00.000000,15.7
04/02/2018 23:00:00.000000,16.8
04/03/2018 00:00:00.000000,11.9
04/03/2018 01:00:00.000000,8.6
04/03/2018 02:00:00.000000,6.9
04/03/2018 03:00:00.000000,6.0
04/03/2018 04:00:00.000000,5.1
04/03/2018 05:00:00.000000,6.4
04/03/2018 06:00:00.000000,4.7
04/03/2018 07:00:00.000000,3.4
04/03/2018 08:00:00.000000,3.4
04/03/2018 09:00:00.000000,5.3
04/03/2018 10:00:00.000000,7.7
04/03/2018 11:00:00.000000,8.6
04/03/2018 12:00:00.000000,7.0
04/03/2018 13:00:00.000000,7.2
04/03/2018 14:00:00.000000,6.4
04/03/2018 15:00:00.000000,5.1
04/03/2018 16:00:00.000000,4.1
04/03/2018 17:00:00.000000,3.7
04/03/2018 18:00:00.000000,3.3
04/03/2018 19:00:00.000000,3.2
04/03/2018 20:00:00.000000,3.6
04/03/2018 21:00:00.000000,3.6
04/04/2018 10:00:00.000000,6.9
