InstrumentName, CAMP,,,,,,,
StartTime, 2022-01-01 00:00:00,,,,,,,
EndTime, 2022-01-31 23:59:59,,,,,,,
Date,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Wind Direction,Wind Speed
01/01/2022 03:10:00.000000,0.294298,13.6635,19.433838,0.009975,13.835714,11.766667,36.854306,2.1462399999999997
01/01/2022 03:11:00.000000,0.280469,14.226,19.417908,0.009225,11.866667,11.4,22.213858,4.722382
01/01/2022 03:12:00.000000,0.278611,19.00325,19.348145,0.008825,14.545,13.06,11.518676,5.993439
01/01/2022 03:13:00.000000,0.270457,16.697,19.410767,0.008925,13.93,11.95,43.01401,3.828979
01/01/2022 03:14:00.000000,0.268772,13.433,19.313812,0.00925,15.481395,12.006977,43.455056,6.336914
01/01/2022 03:15:00.000000,0.26269,10.0255,19.319855,0.0108,16.314634,11.05122,41.170772,5.34082
01/01/2022 03:16:00.000000,0.241374,10.6775,19.116058,0.012725,15.866667,10.823077,32.623599,6.290375
01/01/2022 03:17:00.000000,0.222105,10.3145,19.030365,0.01435,17.2,11.907692,30.873011,5.700623
01/01/2022 03:18:00.000000,0.194191,9.8485,18.930115,0.01575,15.495122,11.668293,38.261978,6.490875
01/01/2022 03:19:00.000000,0.178846,9.38125,18.833984,0.015975,16.058974,11.45641,36.08503,6.565186
01/01/2022 03:20:00.000000,0.173876,8.92025,18.716156,0.016375,15.045946,10.94054,34.655818,7.284943
01/01/2022 03:21:00.000000,0.169132,8.58625,18.672211,0.016425,11.318919,10.108108,30.609019,6.278625
01/01/2022 03:22:00.000000,0.19517,8.1925,18.663696,0.01605,10.116279,9.25814,43.879108,5.785767
01/01/2022 03:23:00.000000,0.223822,7.812,18.699677,0.01535,11.633333,11.0,41.178216,3.893066
01/01/2022 03:24:00.000000,0.20504,7.83875,18.810913,0.0146,29.340541,22.1,42.945784,3.357483
01/01/2022 03:25:00.000000,0.196397,8.24375,18.77301,0.014,42.417073,30.2,41.635583,4.127746999999999
01/01/2022 03:26:00.000000,0.21724,8.94925,18.749664,0.01365,23.137209,20.983721,51.088774,4.847198000000001
01/01/2022 03:27:00.000000,0.276624,9.47575,18.704071,0.01345,20.217949,16.6,26.241852,4.181
01/01/2022 03:28:00.000000,0.264301,9.5995,18.579102,0.01475,15.431579,10.881579,30.447608,6.322876
01/01/2022 03:29:00.000000,0.207898,9.524,18.582672,0.01615,14.0,10.354286,36.613516,5.529572
01/01/2022 03:30:00.000000,0.209062,9.779,18.509064,0.0157,13.8875,11.1,32.534778,5.40567
01/01/2022 03:31:00.000000,0.242915,9.767,18.575806,0.0156,12.408108,9.897297,20.582391,2.0310360000000003
01/01/2022 03:32:00.000000,0.228798,9.541,18.659851,0.01595,12.366667,10.566667,38.189599,3.085724
01/01/2022 03:33:00.000000,0.218348,9.17925,18.691986,0.015675,14.889474,11.752632,36.756989,3.333527
01/01/2022 03:34:00.000000,0.232951,8.744,18.571136,0.014525,17.078947,11.763158,22.983328,3.303772
01/01/2022 03:35:00.000000,0.21602,8.4865,18.569488,0.014025,14.325,10.69,37.904917,2.843414
01/01/2022 03:36:00.000000,0.18375,8.553,18.605194,0.013975,14.633333,11.510256,50.83491,2.864166
01/01/2022 03:37:00.000000,0.181529,8.7255,18.646407,0.01425,17.3,11.957143,45.934186,2.397544
01/01/2022 03:38:00.000000,0.191672,8.60175,18.685394,0.014375,13.769444,10.636111,35.489731,1.753021
01/01/2022 03:39:00.000000,0.200744,8.82775,18.63266,0.0143,12.239535,10.7,40.104277,1.748291
