InstrumentName, College View New(ASMNSDJ8),,,,,,,,,
StartTime, 2022-01-01 00:00:00,,,,,,,,,
EndTime, 2022-01-31 23:59:59,,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcMass_p,pm2_5ConcNum,relHumid,temperature
01/02/2022 20:44:22.000000,6.02,2.55,1.16,0.0,1.11,0.0,3.262,1.13,33.82,7.44
01/02/2022 21:01:57.000000,7.59,2.42,1.18,0.0,1.1,0.23,3.441,1.14,33.9,7.82
01/02/2022 21:19:32.000000,7.51,1.81,1.29,0.0,1.21,0.0,3.365,1.26,33.61,8.23
01/02/2022 21:37:08.000000,6.31,1.94,1.26,0.0,1.21,0.0,3.385,1.22,33.5,8.36
01/02/2022 21:54:43.000000,6.67,2.31,1.13,0.0,1.06,0.0,3.361,1.09,33.46,8.16
01/02/2022 22:12:18.000000,8.61,2.88,1.31,0.0,1.22,0.0,3.284,1.27,34.47,7.77
01/02/2022 22:29:53.000000,10.51,2.72,1.71,0.0,1.58,0.39,3.415,1.68,35.31,7.18
01/02/2022 22:47:29.000000,11.87,2.72,1.61,0.0,1.49,0.78,3.554,1.56,36.08,6.64
01/02/2022 23:05:04.000000,14.68,2.17,1.16,0.0,1.11,0.0,3.015,1.12,37.77,6.34
01/02/2022 23:22:39.000000,17.85,2.75,1.89,0.19,1.79,0.42,3.074,1.85,40.03,5.35
01/02/2022 23:40:14.000000,23.81,3.08,1.67,0.0,1.58,0.38,2.826,1.63,43.16,4.25
01/02/2022 23:57:49.000000,24.57,3.88,2.54,0.23,2.38,1.38,3.223,2.5,45.69,3.32
01/03/2022 00:15:25.000000,27.19,3.69,2.29,0.0,2.19,1.19,2.934,2.24,48.22,2.46
01/03/2022 00:33:00.000000,33.13,6.69,4.47,1.23,4.25,2.77,3.778,4.43,50.15,2.28
01/03/2022 00:50:36.000000,30.19,5.35,3.69,1.23,3.51,1.85,3.253,3.65,48.69,2.03
01/03/2022 01:08:11.000000,28.9,6.65,5.0,1.62,4.76,3.77,4.303,4.93,49.53,1.67
01/03/2022 01:25:46.000000,24.98,6.42,4.11,1.0,3.96,2.19,3.44,4.05,46.91,1.54
01/03/2022 01:43:21.000000,24.65,10.83,5.19,2.39,4.87,4.75,4.866,5.09,47.75,1.2
