InstrumentName, La Casa,,,,,
StartTime, 2022-01-01 00:00:00,,,,,
EndTime, 2022-01-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
01/01/2022 00:00:00.000000,0.168,8.0,25.0,14.2,4.5,0.0
01/01/2022 01:00:00.000000,0.173,9.0,14.0,23.5,8.9,0.0
01/01/2022 02:00:00.000000,0.186,19.0,6.0,20.2,9.7,0.0
01/01/2022 03:00:00.000000,0.209,16.0,6.0,17.1,9.0,0.0
01/01/2022 04:00:00.000000,0.222,15.0,7.0,16.9,9.4,0.0
01/01/2022 05:00:00.000000,0.216,,16.0,15.5,7.6,0.0
01/01/2022 06:00:00.000000,0.199,14.0,16.0,13.3,6.4,0.0
01/01/2022 07:00:00.000000,0.187,7.0,21.0,14.8,6.7,
01/01/2022 08:00:00.000000,0.215,18.0,12.0,16.7,8.6,0.0
01/01/2022 10:00:00.000000,0.176,18.0,14.0,16.4,9.5,0.0
01/01/2022 11:00:00.000000,0.181,18.0,15.0,14.3,8.0,0.0
01/01/2022 12:00:00.000000,0.177,16.0,19.0,11.2,5.9,0.0
01/01/2022 13:00:00.000000,0.203,10.0,23.0,10.7,5.8,0.0
01/01/2022 14:00:00.000000,0.209,17.0,20.0,9.6,4.7,0.0
01/01/2022 15:00:00.000000,0.226,12.0,24.0,9.7,4.3,0.0
01/01/2022 16:00:00.000000,0.228,15.0,22.0,9.3,4.6,0.0
01/01/2022 17:00:00.000000,0.24,12.0,25.0,9.1,4.6,0.0
01/01/2022 18:00:00.000000,0.262,14.0,25.0,10.0,5.4,0.0
01/01/2022 19:00:00.000000,0.266,10.0,29.0,11.9,6.0,0.0
01/01/2022 20:00:00.000000,0.255,10.0,29.0,11.6,6.3,0.0
01/01/2022 21:00:00.000000,0.273,19.0,24.0,15.1,7.6,0.0
01/01/2022 22:00:00.000000,0.266,22.0,20.0,17.5,8.4,0.0
01/01/2022 23:00:00.000000,0.317,26.0,14.0,18.0,8.5,0.0
01/02/2022 00:00:00.000000,0.334,38.0,3.0,15.3,8.3,0.0
01/02/2022 01:00:00.000000,0.523,43.0,0.0,16.4,9.2,1.0
01/02/2022 02:00:00.000000,0.682,39.0,0.0,27.0,17.9,0.0
01/02/2022 04:00:00.000000,0.342,31.0,0.0,19.9,13.8,0.0
01/02/2022 05:00:00.000000,0.354,,2.0,18.6,11.8,0.0
01/02/2022 06:00:00.000000,0.291,33.0,3.0,14.0,8.7,0.0
01/02/2022 07:00:00.000000,0.228,25.0,15.0,11.4,6.4,
01/02/2022 08:00:00.000000,0.199,20.0,21.0,8.9,4.3,0.0
01/02/2022 10:00:00.000000,0.258,27.0,17.0,9.2,3.5,0.0
01/02/2022 11:00:00.000000,0.255,26.0,19.0,8.5,3.0,0.0
01/02/2022 12:00:00.000000,0.245,23.0,22.0,9.7,2.6,0.0
01/02/2022 13:00:00.000000,0.274,31.0,15.0,8.3,2.5,0.0
01/02/2022 14:00:00.000000,0.316,32.0,14.0,9.4,2.7,0.0
01/02/2022 15:00:00.000000,0.295,23.0,25.0,8.4,2.9,0.0
01/02/2022 16:00:00.000000,0.209,14.0,34.0,10.8,3.1,0.0
01/02/2022 17:00:00.000000,0.234,12.0,37.0,15.0,3.6,0.0
01/02/2022 18:00:00.000000,0.241,12.0,39.0,24.4,4.7,0.0
01/02/2022 19:00:00.000000,0.224,10.0,41.0,21.4,4.5,0.0
01/02/2022 20:00:00.000000,0.217,9.0,43.0,17.0,3.7,0.0
