InstrumentName, New JFK HS (AHJKH1S6),,,,,,,,,
StartTime, 2022-01-01 00:00:00,,,,,,,,,
EndTime, 2022-01-31 23:59:59,,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcMass_p,pm2_5ConcNum,relHumid,temperature
01/02/2022 19:58:21.000000,6.01,2.77,1.34,0.0,1.19,1.96,4.191,1.26,37.22,6.49
01/02/2022 20:15:51.000000,3.14,2.5,1.25,0.0,1.13,1.92,4.223,1.18,36.06,6.68
01/02/2022 20:33:21.000000,5.03,1.54,0.68,0.0,0.58,1.54,4.035,0.63,35.56,6.83
01/02/2022 20:50:48.000000,6.95,1.96,0.84,0.0,0.71,1.96,4.267,0.77,36.91,7.04
01/02/2022 21:08:18.000000,6.02,2.5,1.18,0.0,1.08,1.54,4.109,1.12,35.32,7.38
01/02/2022 21:25:48.000000,7.18,2.12,0.84,0.0,0.74,1.54,4.163,0.79,34.04,7.52
01/02/2022 21:43:17.000000,6.07,1.55,1.11,0.0,1.04,1.55,4.151,1.05,34.65,7.52
01/02/2022 22:00:56.000000,9.69,1.54,0.87,0.0,0.74,1.54,4.084,0.81,36.17,7.37
01/02/2022 22:18:25.000000,9.55,1.73,0.94,0.0,0.83,1.73,4.192,0.88,36.18,7.35
01/02/2022 22:36:01.000000,11.16,2.33,1.04,0.0,0.89,2.14,4.434,0.96,36.15,7.37
01/02/2022 22:53:27.000000,9.15,1.54,1.0,0.0,0.91,1.54,4.139,0.94,34.69,7.48
01/02/2022 23:11:27.000000,11.09,2.14,1.11,0.0,0.99,2.14,4.448,1.04,35.52,7.34
01/02/2022 23:29:16.000000,12.58,5.78,3.6,1.0,3.28,4.75,5.843,3.5,37.29,6.73
01/02/2022 23:46:49.000000,18.64,2.54,1.74,0.0,1.56,2.54,4.225,1.68,41.57,5.03
01/03/2022 00:04:19.000000,24.51,3.54,2.07,0.19,1.91,2.73,4.023,2.0,45.44,3.38
