InstrumentName, I25 Denver,,,,,,,
StartTime, 2022-01-01 00:00:00,,,,,,,
EndTime, 2022-01-31 23:59:59,,,,,,,
Date,81102,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
01/01/2022 03:10:00.000000,12.042921,0.246984,20.420822,17.942444,8.0,88.68454,17.229462,3.801727
01/01/2022 03:11:00.000000,11.057591,0.247477,20.6663,17.87735,6.7,88.736115,18.723084,3.987274
01/01/2022 03:12:00.000000,13.466176,0.191211,20.662757,17.829834,9.0,88.753204,32.81505,3.25119
01/01/2022 03:13:00.000000,10.619667,0.186338,20.787149,17.759796,7.6,88.731995,31.712766,3.289948
01/01/2022 03:14:00.000000,6.897309,0.183351,20.643542,17.699371,6.3,88.676147,23.418183,4.196472
01/01/2022 03:15:00.000000,10.94811,0.163754,20.765894,17.592529,6.7,88.589783,24.826726,5.3479
01/01/2022 03:16:00.000000,7.335234,0.150127,20.277102,17.551331,6.6,88.501587,24.095113,4.579163
01/01/2022 03:17:00.000000,13.685138,0.16356,19.249138,17.534027,8.4,88.431549,11.554233,4.85321
01/01/2022 03:18:00.000000,9.196413,0.165186,18.407645,17.495575,7.9,88.383331,20.953296,5.452576
01/01/2022 03:19:00.000000,11.386035,0.157875,17.296974,17.4758,8.2,88.357544,16.085138,4.618225
01/01/2022 03:20:00.000000,10.94811,0.165483,16.798809,17.451904,7.9,88.340912,27.359666,4.554291
01/01/2022 03:21:00.000000,12.042921,0.162109,16.556195,17.401642,7.3,88.316498,14.815186,4.678497
01/01/2022 03:22:00.000000,12.261884,0.173211,16.4606,17.335449,9.1,88.287811,23.090437,5.046844
01/01/2022 03:23:00.000000,13.356695,0.161741,16.539821,17.396698,9.2,88.284149,33.183804,4.92691
01/01/2022 03:24:00.000000,10.619667,0.163722,17.043425,17.438171,7.0,88.314667,21.177167,3.926239
01/01/2022 03:25:00.000000,10.181743,0.184059,17.674171,17.438446,7.6,88.350677,27.308952,4.134521
01/01/2022 03:26:00.000000,8.867969,0.182124,18.407695,17.464264,7.1,88.3815,17.78413,3.55896
01/01/2022 03:27:00.000000,11.167072,0.188932,18.666585,17.478271,7.3,88.397217,13.033697,3.008728
01/01/2022 03:28:00.000000,12.91877,0.201452,18.548848,17.441467,7.9,88.410645,10.340869,4.406281
01/01/2022 03:29:00.000000,7.773158,0.184567,18.235423,17.417297,7.0,88.395996,358.13997,3.677063
01/01/2022 03:30:00.000000,10.400705,0.202852,17.89958,17.605988,8.6,88.445892,8.505728999999999,3.931274
01/01/2022 03:31:00.000000,12.480846,0.228999,17.779845,17.625214,7.6,88.490601,352.656987,3.834839
01/01/2022 03:32:00.000000,14.670468,0.215576,17.90227,17.699097,8.9,88.544006,342.551819,5.679321
01/01/2022 03:33:00.000000,11.276554,0.226285,17.769204,17.507935,6.9,88.499451,354.822419,4.93866
01/01/2022 03:34:00.000000,9.086932,0.215362,16.879913,17.393402,7.5,88.421173,5.771054,4.370575
01/01/2022 03:35:00.000000,10.181743,0.213668,16.242206,17.403015,7.0,88.387299,347.758668,5.26001
01/01/2022 03:36:00.000000,6.678347,0.207078,16.003056,17.529907,6.1,88.414459,343.804692,4.586334
01/01/2022 03:37:00.000000,8.320564,0.217715,15.529982,17.637848,7.5,88.505402,335.517088,3.953705
01/01/2022 03:38:00.000000,13.466176,0.236385,15.141683,17.6763,9.6,88.608246,342.588682,5.074463
01/01/2022 03:39:00.000000,11.604997,0.273007,15.04246,17.700745,9.2,88.660126,13.424906,5.560913
01/01/2022 03:40:00.000000,12.152402,0.282914,15.423146,17.454376,8.5,88.574677,17.338392,4.817047
01/01/2022 03:41:00.000000,10.510186,0.228636,15.334853,17.223389,8.4,88.378448,7.925623,4.028473
01/01/2022 03:42:00.000000,7.882639,0.186282,15.131942,17.150055,7.1,88.180847,14.398422,5.787964
01/01/2022 03:43:00.000000,10.619667,0.176877,14.901623,17.083588,7.7,87.994843,11.871184,4.259338
01/01/2022 03:44:00.000000,12.369875,0.156677,14.504806,17.136047,9.0,87.886047,3.342396,5.157928
01/01/2022 03:45:00.000000,11.369589,0.184154,13.514653,17.033875,7.0,87.755737,11.462732,5.195923
01/01/2022 03:46:00.000000,8.0899,0.189437,12.083203,16.881714,6.1,87.577362,11.294952,4.402466
01/01/2022 03:47:00.000000,10.495005,0.159721,10.754062,16.865509,7.4,87.410889,20.682451,4.011078
01/01/2022 03:48:00.000000,12.353496,0.142082,10.277373,16.93692,8.7,87.371521,23.681512,3.562469
01/01/2022 03:49:00.000000,12.13485,0.144133,10.12419,17.016846,7.4,87.414551,26.355667,3.362274
01/01/2022 03:50:00.000000,9.94839,0.160013,10.069051,17.01355,7.2,87.4617,29.336147,3.969421
01/01/2022 03:51:00.000000,11.697558,0.139585,10.207525,17.006683,7.2,87.467957,17.597142,4.536896
01/01/2022 03:52:00.000000,7.543285,0.140285,10.363455,16.910553,6.8,87.403259,26.001419,3.870239
01/01/2022 03:53:00.000000,6.887347,0.137305,10.638359,16.868357,6.3,87.298584,17.875433,3.527511
01/01/2022 03:54:00.000000,6.99667,0.140157,10.905264,16.872983,6.4,87.21201,29.129048,2.116314
01/01/2022 03:55:00.000000,17.054384,0.160046,10.957529,16.926483,10.8,87.245331,33.952735,3.287048
01/01/2022 03:56:00.000000,12.790788,0.154391,8.140432,16.934998,8.5,87.296143,10.324639,2.514343
01/01/2022 03:57:00.000000,7.433962,0.154131,1.453827,16.924011,6.7,87.31369,5.617565,2.965088
01/01/2022 03:58:00.000000,12.572142,0.09502,2.370207,17.019318,8.4,87.413177,6.707076,3.650055
01/01/2022 03:59:00.000000,10.385682,0.051101,2.987059,17.092102,8.8,87.542267,360.823452,3.917542
01/01/2022 04:00:00.000000,13.556048,-9999.0,2.808937,17.220917,10.4,87.73468,353.814957,3.268738
01/01/2022 04:01:00.000000,10.713651,-9999.0,2.799253,17.351654,8.5,87.913666,352.981401,4.24118
01/01/2022 04:02:00.000000,8.855161,0.003882,2.683328,17.232452,8.0,88.020325,351.78727,5.031738
01/01/2022 04:03:00.000000,7.871254,-9999.0,2.64096,17.275574,7.2,88.090515,6.5274,4.941101
01/01/2022 04:04:00.000000,9.840253,-9999.0,2.745853,17.281891,8.2,88.14743,3.853992,4.979706
01/01/2022 04:05:00.000000,8.649007,-9999.0,2.85412,17.234375,7.1,88.161011,14.619752,5.363617
01/01/2022 04:06:00.000000,12.260408,-9999.0,3.065055,17.088257,7.6,88.091125,6.978358,5.2034
01/01/2022 04:07:00.000000,7.652608,-9999.0,3.329067,16.960541,7.0,87.959137,27.06327,4.79248
01/01/2022 04:08:00.000000,7.543285,-9999.0,3.33955,16.986359,6.9,87.84729,24.663185,4.799042
01/01/2022 04:09:00.000000,7.871254,0.067719,3.175116,16.922638,7.2,87.735138,11.614231,4.850311
01/01/2022 04:10:00.000000,7.105993,0.144089,3.06522,16.853424,6.5,87.622986,16.400452,5.582581
01/01/2022 04:11:00.000000,15.305216,0.144105,2.840243,16.831726,9.8,87.528992,13.113026,4.463806
01/01/2022 04:12:00.000000,8.417869,0.157959,2.788073,16.847382,7.6,87.469025,11.917544,5.664368
01/01/2022 04:13:00.000000,13.337403,0.164805,2.60733,16.862762,8.1,87.444305,14.290364,4.945526
01/01/2022 04:14:00.000000,11.588235,0.159417,2.524901,16.88501,8.3,87.438202,25.507956,3.544922
01/01/2022 04:15:00.000000,13.009434,0.173966,2.586193,16.94516,7.9,87.496033,11.660534,4.056396
01/01/2022 04:16:00.000000,13.22808,0.170164,1.604284,16.907532,8.8,87.492981,348.16181,5.675201
01/01/2022 04:17:00.000000,10.385682,0.18904,25.885166,16.998993,8.8,87.507629,3.323572,4.694672
01/01/2022 04:18:00.000000,12.790788,0.211997,45.011905,17.030304,8.7,87.535095,355.692789,4.918518
01/01/2022 04:19:00.000000,14.649278,0.220134,46.912929,17.263489,10.6,87.688141,352.054159,4.83429
01/01/2022 04:20:00.000000,10.495005,0.24524,47.48586,17.317871,8.7,87.832184,11.87348,4.612274
01/01/2022 04:21:00.000000,13.99334,0.293141,48.199146,17.193726,11.0,87.867126,350.674463,5.636139
01/01/2022 04:22:00.000000,13.118757,0.296477,48.814318,17.212677,9.6,87.868652,1.05165,5.623779
01/01/2022 04:23:00.000000,10.822974,0.281993,49.326381,17.059418,7.9,87.766113,13.205047,5.752563
01/01/2022 04:24:00.000000,8.855161,0.252839,49.887317,16.946808,8.0,87.617645,1.8993769999999999,6.283264
01/01/2022 04:25:00.000000,10.495005,0.219623,50.433671,16.906158,7.9,87.532196,8.828686000000001,5.91156
01/01/2022 04:26:00.000000,8.417869,0.232558,45.252214,16.928131,7.6,87.515564,355.333043,5.085297
01/01/2022 04:27:00.000000,10.057713,0.239811,1.190695,17.111877,8.7,87.640839,353.136098,4.349213
01/01/2022 04:28:00.000000,9.839067,0.257284,0.252245,17.10199,8.9,87.744293,7.806887,5.452881
01/01/2022 04:29:00.000000,10.167036,0.264674,0.395237,16.927856,7.5,87.722778,343.767765,4.387054
01/01/2022 04:30:00.000000,16.507769,0.237813,0.300698,17.10144,10.9,87.770996,342.588353,5.84198
01/01/2022 04:31:00.000000,9.620421,0.26392,0.204624,16.980865,8.6,87.744141,357.457839,5.332947
01/01/2022 04:32:00.000000,11.806881,0.285795,0.120998,16.921539,8.8,87.715149,2.409818,5.429993
01/01/2022 04:33:00.000000,11.260266,0.277571,0.062965,16.900391,6.9,87.673798,15.075285,4.720459
01/01/2022 04:34:00.000000,11.588235,0.240509,0.023605,16.772675,9.0,87.580872,17.741214,5.130615
01/01/2022 04:35:00.000000,11.150943,0.212012,-9999.0,16.692474,7.6,87.486115,7.068708,5.888977
01/01/2022 04:36:00.000000,12.025527,0.207789,0.178488,16.698517,9.2,87.411346,17.756344,4.698181
01/01/2022 04:37:00.000000,11.04162,0.225151,2.688147,16.641937,8.4,87.364197,11.118899,5.856171
01/01/2022 04:38:00.000000,13.774694,0.206986,5.83618,16.635071,8.4,87.318115,10.702538,5.121002
01/01/2022 04:39:00.000000,9.073807,0.196941,9.109004,16.653473,8.1,87.284393,4.727541,5.653381
01/01/2022 04:40:00.000000,9.073807,0.202467,12.494064,16.627106,7.6,87.258148,355.76997,5.489197
01/01/2022 04:41:00.000000,12.900111,0.20973,15.54761,16.687805,9.0,87.304535,357.175495,6.457214
01/01/2022 04:42:00.000000,11.588235,0.27365,18.910152,16.77652,9.0,87.404633,21.560297,5.746002
01/01/2022 04:43:00.000000,6.887347,0.295547,21.74039,16.654022,6.3,87.428284,26.616112,5.387421
01/01/2022 04:44:00.000000,8.417869,0.244053,21.497133,16.536743,7.2,87.333984,33.761883,4.575958
01/01/2022 04:45:00.000000,7.543285,0.183561,20.576978,16.517517,6.8,87.206116,27.631825,5.102997
01/01/2022 04:46:00.000000,7.980577,0.164858,19.398946,16.525482,7.1,87.124634,24.288647,4.869385
01/01/2022 04:47:00.000000,12.353496,0.173874,18.305857,16.473297,7.6,87.023163,32.539244,5.813599
01/01/2022 04:48:00.000000,12.790788,0.170571,17.701916,16.505432,8.0,86.964111,22.540552,4.887085
01/01/2022 04:49:00.000000,7.871254,0.177099,16.745891,16.548553,7.1,86.988373,29.854092,5.111237
