InstrumentName, NJH,
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,81102,PM2.5 - Local Conditions
01/01/2022 02:16:00.000000,22.184286,9.94644
01/01/2022 02:17:00.000000,20.958162,9.86074
01/01/2022 02:18:00.000000,20.131984,9.789096
01/01/2022 02:19:00.000000,20.362204,9.846632
01/01/2022 02:20:00.000000,20.524503,9.959811
01/01/2022 02:21:00.000000,19.722956,10.087729
01/01/2022 02:22:00.000000,19.626959,10.135685
01/01/2022 02:23:00.000000,18.723607,10.202802
01/01/2022 02:24:00.000000,18.509051,10.265866
01/01/2022 02:25:00.000000,18.678217,10.353672
01/01/2022 02:26:00.000000,18.941346,10.45648
01/01/2022 02:27:00.000000,18.937339,10.51228
01/01/2022 02:28:00.000000,19.30551,10.532336
01/01/2022 02:29:00.000000,20.148621,10.517649
01/01/2022 02:30:00.000000,20.45199,10.489065
01/01/2022 02:31:00.000000,20.280741,10.359357
01/01/2022 02:32:00.000000,20.476606,10.255128
01/01/2022 02:33:00.000000,20.317376,10.118208
01/01/2022 02:34:00.000000,20.290927,10.024823
01/01/2022 02:35:00.000000,20.104556,9.885903
01/01/2022 02:36:00.000000,20.93966,9.785885
01/01/2022 02:37:00.000000,20.700763,9.570529
01/01/2022 02:38:00.000000,21.292019,9.420292
01/01/2022 02:39:00.000000,22.174169,9.327065
01/01/2022 02:40:00.000000,21.946432,9.317799
01/01/2022 02:41:00.000000,21.778919,9.233995
01/01/2022 02:42:00.000000,21.639028,9.147874
01/01/2022 02:43:00.000000,21.120604,9.068333
01/01/2022 02:44:00.000000,20.703735,9.049487
01/01/2022 02:45:00.000000,21.273421,8.989266
01/01/2022 02:46:00.000000,21.544686,8.95168
01/01/2022 02:47:00.000000,20.377279,8.874929
01/01/2022 02:48:00.000000,20.297817,8.927729
01/01/2022 02:49:00.000000,19.225647,8.958892
01/01/2022 02:50:00.000000,18.02794,8.986476
01/01/2022 02:51:00.000000,17.372186,8.934519
01/01/2022 02:52:00.000000,17.429092,8.869823
01/01/2022 02:53:00.000000,17.829275,8.919464
01/01/2022 02:54:00.000000,18.413633,8.940573
01/01/2022 02:55:00.000000,18.358836,8.956049
01/01/2022 02:56:00.000000,17.417413,8.96384
01/01/2022 02:57:00.000000,17.958069,9.079388
01/01/2022 02:58:00.000000,18.206601,9.185881
01/01/2022 02:59:00.000000,18.496066,9.24047
01/01/2022 03:00:00.000000,18.679258,9.26221
01/01/2022 03:01:00.000000,19.105413,9.292115
01/01/2022 03:02:00.000000,20.36994,9.32638
01/01/2022 03:03:00.000000,20.299161,9.363755
01/01/2022 03:04:00.000000,20.431158,9.388444
01/01/2022 03:05:00.000000,20.081899,9.390128
01/01/2022 03:06:00.000000,20.090982,9.400814
01/01/2022 03:07:00.000000,20.360377,9.445033
01/01/2022 03:08:00.000000,19.714437,9.408816
01/01/2022 03:09:00.000000,19.759139,9.404552
01/01/2022 03:10:00.000000,19.814753,9.409606
01/01/2022 03:11:00.000000,20.119822,9.445454
01/01/2022 03:12:00.000000,19.836841,9.50836
01/01/2022 03:13:00.000000,19.169062,9.599377
01/01/2022 03:14:00.000000,19.116143,9.669706
01/01/2022 03:15:00.000000,18.971292,9.755826
01/01/2022 03:16:00.000000,19.626731,9.799203
01/01/2022 03:17:00.000000,20.529625,9.818101
01/01/2022 03:18:00.000000,20.66855,9.829471
01/01/2022 03:19:00.000000,20.716823,9.831209
01/01/2022 03:20:00.000000,20.654112,9.826945
