InstrumentName, Columbian Elem (CS23),
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,*Lat,*Lon
01/12/2022 02:34:03.969000,0.0,0.0
01/12/2022 02:35:04.418000,0.0,0.0
01/12/2022 02:36:02.865000,0.0,0.0
01/12/2022 02:37:04.157000,0.0,0.0
01/12/2022 02:38:04.860000,0.0,0.0
01/12/2022 02:39:03.706000,0.0,0.0
01/12/2022 02:40:02.555000,0.0,0.0
01/12/2022 02:41:04.009000,0.0,0.0
01/12/2022 02:42:04.000000,0.0,0.0
01/12/2022 02:43:03.461000,0.0,0.0
01/12/2022 02:44:04.925000,0.0,0.0
01/12/2022 02:45:03.210000,0.0,0.0
01/12/2022 02:46:03.930000,0.0,0.0
01/12/2022 02:47:04.102000,0.0,0.0
01/12/2022 02:48:04.675000,0.0,0.0
01/12/2022 02:49:03.696000,0.0,0.0
01/12/2022 02:50:05.802000,0.0,0.0
01/12/2022 02:51:03.304000,0.0,0.0
01/12/2022 02:52:03.982000,0.0,0.0
01/12/2022 02:53:03.008000,0.0,0.0
01/12/2022 02:54:04.722000,0.0,0.0
01/12/2022 02:55:05.409000,0.0,0.0
01/12/2022 02:56:04.442000,0.0,0.0
01/12/2022 02:57:05.064000,0.0,0.0
01/12/2022 02:58:03.027000,0.0,0.0
01/12/2022 02:59:03.214000,0.0,0.0
01/12/2022 03:00:28.187000,39.74083,-105.19865
01/12/2022 03:01:31.314000,39.74083,-105.19865
01/12/2022 03:02:38.060000,39.74083,-105.19865
01/12/2022 03:03:50.335000,39.74083,-105.19865
01/12/2022 03:04:59.412000,39.74083,-105.19865
01/12/2022 03:05:02.230000,39.74083,-105.19865
01/12/2022 03:06:18.019000,39.74083,-105.19865
01/12/2022 03:07:17.594000,39.74083,-105.19865
01/12/2022 03:08:21.143000,39.74083,-105.19865
01/12/2022 03:09:37.104000,39.74083,-105.19865
01/12/2022 03:10:50.787000,39.74083,-105.19865
01/12/2022 03:11:54.894000,39.74083,-105.19865
01/12/2022 03:12:58.659000,39.74083,-105.19865
01/12/2022 03:13:02.124000,39.74083,-105.19865
01/12/2022 03:14:16.261000,39.74083,-105.19865
01/12/2022 03:15:16.921000,39.74083,-105.19865
01/12/2022 03:16:24.854000,39.74083,-105.19865
01/12/2022 03:17:29.455000,39.74083,-105.19865
01/12/2022 03:18:43.662000,39.74083,-105.19865
01/12/2022 03:19:55.992000,39.74083,-105.19865
01/12/2022 03:21:01.212000,39.74083,-105.19865
01/12/2022 03:21:01.656000,39.74083,-105.19865
01/12/2022 03:22:12.964000,39.74083,-105.19865
01/12/2022 03:23:10.515000,39.74083,-105.19865
01/12/2022 03:24:18.553000,39.74083,-105.19865
01/12/2022 03:25:28.858000,39.74083,-105.19865
01/12/2022 03:26:34.075000,39.74083,-105.19865
01/12/2022 03:27:43.315000,39.74083,-105.19865
01/12/2022 03:28:45.532000,39.74083,-105.19865
01/12/2022 03:29:59.454000,39.74083,-105.19865
01/12/2022 03:30:01.057000,39.74083,-105.19865
01/12/2022 03:31:06.303000,39.74083,-105.19865
01/12/2022 03:32:05.144000,39.74083,-105.19865
01/12/2022 03:33:07.726000,39.74083,-105.19865
01/12/2022 03:34:22.127000,39.74083,-105.19865
01/12/2022 03:35:41.896000,39.74083,-105.19865
01/12/2022 03:36:45.413000,39.74083,-105.19865
01/12/2022 03:37:59.536000,39.74083,-105.19865
01/12/2022 03:38:01.126000,39.74083,-105.19865
01/12/2022 03:39:13.763000,39.74083,-105.19865
01/12/2022 03:40:22.230000,39.74083,-105.19865
01/12/2022 03:41:32.691000,39.74083,-105.19865
01/12/2022 03:42:53.469000,39.74083,-105.19865
01/12/2022 03:44:03.952000,39.74083,-105.19865
01/12/2022 03:44:04.011000,39.74083,-105.19865
01/12/2022 03:45:14.092000,39.74083,-105.19865
01/12/2022 03:46:24.449000,39.74083,-105.19865
01/12/2022 03:47:35.757000,39.74083,-105.19865
01/12/2022 03:48:49.672000,39.74083,-105.19865
01/12/2022 03:50:00.310000,39.74083,-105.19865
01/12/2022 03:50:03.620000,39.74083,-105.19865
01/12/2022 03:51:25.934000,39.74083,-105.19865
01/12/2022 03:52:42.088000,39.74083,-105.19865
01/12/2022 03:53:50.107000,39.74083,-105.19865
01/12/2022 03:54:50.653000,39.74083,-105.19865
01/12/2022 03:56:09.515000,39.74083,-105.19865
01/12/2022 03:56:09.523000,39.74083,-105.19865
01/12/2022 03:57:17.238000,39.74083,-105.19865
01/12/2022 03:58:33.166000,39.74083,-105.19865
01/12/2022 03:59:41.903000,39.74083,-105.19865
