InstrumentName, Woods Park,,
StartTime, 2020-10-01 00:00:00,,
EndTime, 2020-10-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
10/01/2020 00:00:44.000000,7.0,8.27,8.1
10/01/2020 00:02:44.000000,7.56,9.02,8.88
10/01/2020 00:06:44.000000,7.19,8.07,8.02
10/01/2020 00:08:44.000000,6.81,7.92,7.68
10/01/2020 00:10:44.000000,7.57,9.12,9.12
10/01/2020 00:12:44.000000,7.48,8.81,8.5
10/01/2020 00:16:44.000000,7.76,9.47,9.24
10/01/2020 00:20:44.000000,7.79,9.45,9.11
10/01/2020 00:22:44.000000,7.25,8.58,8.41
10/01/2020 00:24:44.000000,7.68,9.23,8.63
10/01/2020 00:28:44.000000,7.79,9.43,8.84
10/01/2020 00:30:44.000000,8.17,9.8,9.44
10/01/2020 00:32:44.000000,7.17,8.34,8.14
10/01/2020 00:34:44.000000,7.14,8.71,8.43
10/01/2020 00:36:44.000000,7.78,9.38,9.24
10/01/2020 00:38:44.000000,7.75,9.17,9.17
10/01/2020 00:40:44.000000,7.97,9.61,9.37
10/01/2020 00:42:44.000000,7.66,9.03,8.97
10/01/2020 00:44:44.000000,7.68,9.21,9.02
10/01/2020 00:46:44.000000,7.63,8.79,8.79
10/01/2020 00:48:44.000000,7.69,9.1,9.1
10/01/2020 00:50:44.000000,7.75,8.64,8.64
10/01/2020 00:52:44.000000,8.0,9.64,9.34
10/01/2020 00:54:44.000000,7.76,9.1,9.05
10/01/2020 00:56:44.000000,8.73,10.51,10.29
10/01/2020 00:58:44.000000,9.08,10.59,10.41
10/01/2020 01:00:44.000000,9.12,11.04,10.58
10/01/2020 01:02:44.000000,9.71,11.71,11.22
10/01/2020 01:04:44.000000,9.17,10.95,10.69
10/01/2020 01:06:44.000000,10.0,11.9,11.88
10/01/2020 01:08:44.000000,10.21,12.56,12.26
10/01/2020 01:10:44.000000,9.5,11.71,11.34
10/01/2020 01:12:44.000000,10.62,13.28,12.97
10/01/2020 01:14:44.000000,11.25,13.73,13.43
10/01/2020 01:16:44.000000,11.78,14.28,13.88
10/01/2020 01:20:44.000000,10.54,13.14,12.88
10/01/2020 01:22:44.000000,10.44,12.76,12.03
10/01/2020 01:26:44.000000,10.35,12.39,11.7
10/01/2020 01:28:44.000000,10.2,12.39,12.21
10/01/2020 01:32:44.000000,10.0,12.12,11.88
10/01/2020 01:36:44.000000,9.14,10.79,10.66
10/01/2020 01:38:44.000000,8.71,10.31,10.19
10/01/2020 01:40:44.000000,8.79,10.33,10.0
10/01/2020 01:42:44.000000,8.95,10.32,10.08
10/01/2020 01:44:44.000000,8.04,9.41,9.14
10/01/2020 01:48:44.000000,7.87,8.95,8.93
10/01/2020 01:52:44.000000,7.64,9.23,9.05
10/01/2020 01:54:44.000000,7.37,9.33,8.96
10/01/2020 01:56:44.000000,8.12,9.41,9.1
10/01/2020 02:00:44.000000,8.73,10.2,10.2
10/01/2020 02:02:44.000000,10.82,12.81,12.65
10/01/2020 02:04:44.000000,12.69,14.97,14.97
10/01/2020 02:06:44.000000,13.37,16.42,16.2
10/01/2020 02:10:44.000000,11.36,14.98,14.12
10/01/2020 02:12:44.000000,10.45,13.12,12.9
10/01/2020 02:14:44.000000,10.72,13.45,12.92
10/01/2020 02:16:44.000000,9.78,11.97,11.47
10/01/2020 02:18:45.000000,9.71,12.68,11.98
10/01/2020 02:20:44.000000,9.76,12.05,12.0
10/01/2020 02:22:44.000000,10.2,12.15,12.0
10/01/2020 02:24:44.000000,9.64,11.93,11.66
10/01/2020 02:28:44.000000,10.16,12.33,11.81
10/01/2020 02:32:44.000000,10.19,11.69,11.59
10/01/2020 02:34:44.000000,9.81,11.84,11.58
10/01/2020 02:36:44.000000,9.26,11.53,10.67
10/01/2020 02:38:44.000000,10.36,12.29,11.95
10/01/2020 02:40:44.000000,9.41,11.39,11.0
10/01/2020 02:42:44.000000,9.64,11.5,11.02
10/01/2020 02:44:44.000000,9.67,11.23,10.84
10/01/2020 02:46:44.000000,10.55,12.62,12.55
10/01/2020 02:48:44.000000,10.34,12.85,12.61
10/01/2020 02:50:44.000000,9.95,11.85,11.75
10/01/2020 02:52:44.000000,10.35,12.91,12.38
10/01/2020 02:54:44.000000,11.42,14.44,14.05
10/01/2020 02:56:44.000000,10.93,12.95,12.71
10/01/2020 02:58:44.000000,10.83,12.97,12.97
10/01/2020 03:00:44.000000,10.5,12.45,12.25
10/01/2020 03:02:44.000000,10.68,13.74,13.0
10/01/2020 03:04:44.000000,11.38,13.95,13.5
10/01/2020 03:06:44.000000,11.02,13.27,12.98
10/01/2020 03:08:44.000000,11.7,14.0,13.75
10/01/2020 03:10:44.000000,11.05,13.82,13.58
10/01/2020 03:12:44.000000,11.66,13.78,13.48
10/01/2020 03:14:44.000000,11.32,13.78,13.42
10/01/2020 03:16:44.000000,11.46,13.84,13.46
10/01/2020 03:18:44.000000,10.75,12.98,12.89
10/01/2020 03:20:44.000000,11.71,14.44,13.95
10/01/2020 03:22:44.000000,12.63,15.36,14.95
10/01/2020 03:24:44.000000,12.83,15.17,15.14
10/01/2020 03:26:44.000000,13.14,16.8,16.21
10/01/2020 03:28:44.000000,14.2,17.73,17.29
10/01/2020 03:30:44.000000,14.92,18.22,17.66
10/01/2020 03:32:44.000000,15.07,18.71,18.5
10/01/2020 03:34:44.000000,15.77,19.44,19.11
10/01/2020 03:36:44.000000,16.09,20.29,19.55
10/01/2020 03:38:44.000000,16.2,20.5,19.6
10/01/2020 03:40:44.000000,16.6,21.19,20.41
10/01/2020 03:42:44.000000,16.73,22.14,21.12
10/01/2020 03:44:44.000000,16.4,20.4,19.93
10/01/2020 03:46:44.000000,16.27,20.85,19.93
10/01/2020 03:48:44.000000,16.25,21.05,20.27
10/01/2020 03:50:44.000000,15.61,20.32,19.75
10/01/2020 03:52:44.000000,16.12,19.62,19.21
10/01/2020 03:54:44.000000,15.71,19.37,18.88
10/01/2020 03:56:44.000000,15.27,19.03,18.4
