InstrumentName, CAMP,,,,
StartTime, 2020-06-01 00:00:00,,,,
EndTime, 2020-06-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
06/01/2020 00:00:00.000000,0.2,4.0,37.0,3.6,0.0
06/01/2020 01:00:00.000000,0.2,6.0,34.0,4.1,0.0
06/01/2020 02:00:00.000000,0.2,5.0,35.0,3.5,0.0
06/01/2020 03:00:00.000000,0.2,5.0,33.0,3.8,0.0
06/01/2020 04:00:00.000000,0.2,,24.0,5.7,0.0
06/01/2020 05:00:00.000000,0.2,13.0,23.0,6.1,0.0
06/01/2020 06:00:00.000000,0.1,4.0,35.0,3.6,0.0
06/01/2020 07:00:00.000000,0.1,6.0,25.0,4.6,0.0
06/01/2020 08:00:00.000000,0.2,10.0,23.0,6.9,0.0
06/01/2020 09:00:00.000000,0.2,11.0,22.0,7.8,0.0
06/01/2020 10:00:00.000000,0.1,6.0,27.0,6.0,0.0
06/01/2020 11:00:00.000000,0.1,6.0,26.0,5.6,0.0
06/01/2020 12:00:00.000000,0.2,12.0,20.0,10.7,0.0
06/01/2020 13:00:00.000000,0.2,15.0,18.0,15.9,0.0
06/01/2020 14:00:00.000000,,15.0,17.0,16.4,
06/01/2020 15:00:00.000000,0.2,9.0,32.0,11.2,
06/01/2020 16:00:00.000000,0.2,6.0,41.0,8.4,0.0
06/01/2020 17:00:00.000000,0.1,6.0,46.0,9.4,0.0
06/01/2020 18:00:00.000000,0.1,5.0,47.0,9.2,0.0
06/01/2020 19:00:00.000000,0.2,4.0,47.0,9.9,0.0
06/01/2020 20:00:00.000000,0.1,,51.0,11.4,0.0
06/01/2020 21:00:00.000000,0.1,5.0,53.0,10.4,0.0
06/01/2020 22:00:00.000000,0.1,5.0,54.0,10.1,0.0
06/01/2020 23:00:00.000000,0.2,5.0,45.0,8.4,0.0
06/02/2020 00:00:00.000000,0.1,5.0,52.0,9.6,0.0
06/02/2020 01:00:00.000000,0.2,7.0,41.0,8.5,0.0
06/02/2020 02:00:00.000000,0.2,8.0,34.0,9.4,0.0
06/02/2020 03:00:00.000000,0.2,13.0,26.0,12.6,0.0
06/02/2020 04:00:00.000000,0.2,,33.0,13.4,0.0
06/02/2020 05:00:00.000000,0.2,9.0,36.0,14.3,0.0
06/02/2020 06:00:00.000000,0.2,8.0,31.0,9.0,0.0
06/02/2020 07:00:00.000000,0.2,9.0,23.0,8.8,0.0
06/02/2020 08:00:00.000000,0.1,7.0,28.0,6.8,0.0
06/02/2020 09:00:00.000000,0.1,5.0,31.0,5.1,0.0
06/02/2020 10:00:00.000000,0.1,7.0,26.0,7.5,0.0
06/02/2020 11:00:00.000000,0.2,12.0,21.0,11.6,0.0
06/02/2020 12:00:00.000000,0.2,17.0,17.0,13.4,0.0
06/02/2020 13:00:00.000000,0.4,22.0,13.0,20.2,0.0
06/02/2020 14:00:00.000000,0.4,24.0,15.0,31.2,1.0
06/02/2020 15:00:00.000000,0.3,23.0,24.0,32.7,1.0
06/02/2020 16:00:00.000000,0.2,12.0,41.0,30.8,0.0
06/02/2020 17:00:00.000000,0.1,8.0,50.0,26.7,0.0
06/02/2020 18:00:00.000000,0.1,6.0,50.0,25.8,0.0
06/02/2020 19:00:00.000000,0.1,4.0,50.0,16.6,0.0
06/02/2020 20:00:00.000000,0.1,3.0,51.0,11.9,0.0
06/02/2020 21:00:00.000000,0.1,4.0,50.0,12.6,0.0
06/02/2020 22:00:00.000000,0.1,8.0,47.0,20.4,0.0
06/02/2020 23:00:00.000000,0.1,8.0,45.0,24.7,0.0
06/03/2020 00:00:00.000000,0.1,6.0,44.0,10.1,0.0
06/03/2020 01:00:00.000000,0.2,9.0,43.0,12.6,0.0
06/03/2020 02:00:00.000000,0.2,17.0,34.0,19.0,0.0
06/03/2020 03:00:00.000000,0.2,16.0,33.0,28.3,0.0
06/03/2020 04:00:00.000000,0.1,,37.0,28.4,0.0
06/03/2020 05:00:00.000000,0.1,3.0,36.0,24.2,0.0
06/03/2020 06:00:00.000000,0.1,5.0,35.0,22.4,0.0
06/03/2020 07:00:00.000000,0.2,19.0,13.0,21.7,0.0
06/03/2020 08:00:00.000000,0.2,14.0,21.0,17.7,0.0
