InstrumentName, La Casa,,,,
StartTime, 2020-06-01 00:00:00,,,,
EndTime, 2020-06-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
06/01/2020 00:00:00.000000,0.1,3.0,39.0,12.3,0.0
06/01/2020 01:00:00.000000,0.1,6.0,36.0,9.8,0.0
06/01/2020 02:00:00.000000,0.1,6.0,34.0,10.2,0.0
06/01/2020 03:00:00.000000,0.2,7.0,32.0,11.6,0.0
06/01/2020 04:00:00.000000,0.3,11.0,23.0,14.3,0.0
06/01/2020 05:00:00.000000,0.2,,22.0,14.1,0.0
06/01/2020 06:00:00.000000,0.1,2.0,29.0,10.5,0.0
06/01/2020 07:00:00.000000,0.1,0.0,32.0,10.2,
06/01/2020 08:00:00.000000,0.1,6.0,21.0,12.5,0.0
06/01/2020 09:00:00.000000,0.2,22.0,5.0,13.6,0.0
06/01/2020 10:00:00.000000,0.1,12.0,18.0,14.7,0.0
06/01/2020 11:00:00.000000,0.2,15.0,13.0,15.8,0.0
06/01/2020 12:00:00.000000,0.2,18.0,12.0,20.1,0.0
06/01/2020 13:00:00.000000,0.3,20.0,14.0,33.0,0.0
06/01/2020 14:00:00.000000,,18.0,,36.5,
06/01/2020 15:00:00.000000,0.2,14.0,30.0,28.9,
06/01/2020 16:00:00.000000,0.2,8.0,36.0,20.4,0.0
06/01/2020 17:00:00.000000,0.1,7.0,31.0,23.7,0.0
06/01/2020 18:00:00.000000,0.1,5.0,47.0,23.2,0.0
06/01/2020 19:00:00.000000,0.1,,46.0,20.4,0.0
06/01/2020 20:00:00.000000,0.1,,48.0,19.2,0.0
06/01/2020 21:00:00.000000,0.2,,50.0,20.5,0.0
06/01/2020 22:00:00.000000,0.1,5.0,49.0,17.1,0.0
06/01/2020 23:00:00.000000,0.1,3.0,45.0,15.1,0.0
06/02/2020 00:00:00.000000,0.1,2.0,53.0,18.8,0.0
06/02/2020 01:00:00.000000,0.1,4.0,43.0,18.3,0.0
06/02/2020 02:00:00.000000,0.2,10.0,32.0,23.0,0.0
06/02/2020 03:00:00.000000,0.2,18.0,21.0,22.1,0.0
06/02/2020 04:00:00.000000,0.1,8.0,36.0,20.8,0.0
06/02/2020 05:00:00.000000,0.1,,26.0,24.2,0.0
06/02/2020 06:00:00.000000,0.1,11.0,27.0,19.4,0.0
06/02/2020 07:00:00.000000,0.2,17.0,13.0,21.5,
06/02/2020 08:00:00.000000,0.2,13.0,15.0,19.7,0.0
06/02/2020 09:00:00.000000,0.1,6.0,27.0,13.6,0.0
06/02/2020 10:00:00.000000,0.1,9.0,20.0,14.4,0.0
06/02/2020 11:00:00.000000,0.2,14.0,13.0,16.4,0.0
06/02/2020 12:00:00.000000,0.3,22.0,9.0,31.2,0.0
06/02/2020 13:00:00.000000,0.4,26.0,7.0,30.7,1.0
06/02/2020 14:00:00.000000,0.3,25.0,16.0,38.8,0.0
06/02/2020 15:00:00.000000,0.3,25.0,22.0,42.0,0.0
06/02/2020 16:00:00.000000,0.2,12.0,40.0,50.8,0.0
06/02/2020 17:00:00.000000,0.2,9.0,47.0,44.2,0.0
06/02/2020 18:00:00.000000,0.2,8.0,48.0,42.5,0.0
06/02/2020 19:00:00.000000,0.2,4.0,48.0,33.6,0.0
06/02/2020 20:00:00.000000,0.1,2.0,50.0,21.9,0.0
06/02/2020 21:00:00.000000,0.1,2.0,51.0,20.7,0.0
06/02/2020 22:00:00.000000,0.1,5.0,49.0,28.8,0.0
06/02/2020 23:00:00.000000,0.1,7.0,44.0,36.4,0.0
06/03/2020 00:00:00.000000,0.1,5.0,43.0,25.8,0.0
06/03/2020 01:00:00.000000,0.1,8.0,42.0,19.1,0.0
06/03/2020 02:00:00.000000,0.2,15.0,37.0,23.5,0.0
06/03/2020 03:00:00.000000,0.2,22.0,28.0,33.4,0.0
06/03/2020 04:00:00.000000,0.1,3.0,39.0,37.1,0.0
06/03/2020 05:00:00.000000,0.1,,39.0,31.4,0.0
06/03/2020 06:00:00.000000,0.2,4.0,34.0,31.1,0.0
06/03/2020 07:00:00.000000,0.1,10.0,22.0,28.9,
06/03/2020 08:00:00.000000,0.1,10.0,23.0,26.8,0.0
