InstrumentName, Woods Park B,,
StartTime, 2020-06-01 00:00:00,,
EndTime, 2020-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2020 00:00:18.000000,2.57,3.57,3.3
06/01/2020 00:02:18.000000,2.62,4.07,3.88
06/01/2020 00:04:18.000000,2.59,4.02,3.67
06/01/2020 00:06:18.000000,2.44,3.39,3.39
06/01/2020 00:08:18.000000,2.69,3.98,3.44
06/01/2020 00:10:18.000000,2.75,4.21,3.63
06/01/2020 00:12:20.000000,2.45,3.73,3.52
06/01/2020 00:14:18.000000,2.29,3.81,3.34
06/01/2020 00:16:18.000000,2.93,4.97,4.44
06/01/2020 00:18:18.000000,2.95,4.74,4.07
06/01/2020 00:20:18.000000,2.8,4.38,3.95
06/01/2020 00:22:18.000000,2.76,4.21,3.9
06/01/2020 00:24:18.000000,2.41,3.57,3.43
06/01/2020 00:26:18.000000,2.38,3.72,3.48
06/01/2020 00:28:18.000000,2.68,3.8,3.5
06/01/2020 00:30:18.000000,3.18,4.3,4.12
06/01/2020 00:32:18.000000,2.9,4.41,4.05
06/01/2020 00:34:18.000000,2.64,4.29,3.83
06/01/2020 00:36:18.000000,2.61,4.07,3.8
06/01/2020 00:38:18.000000,3.04,3.95,3.77
06/01/2020 00:40:18.000000,3.03,4.88,3.98
06/01/2020 00:42:18.000000,3.35,4.97,4.5
06/01/2020 00:44:18.000000,3.12,5.09,4.68
06/01/2020 00:46:18.000000,3.57,4.75,4.62
06/01/2020 00:48:18.000000,3.44,5.02,4.68
06/01/2020 00:50:19.000000,3.29,4.9,4.34
06/01/2020 00:52:18.000000,3.49,5.33,4.58
06/01/2020 00:54:18.000000,3.98,5.48,5.14
06/01/2020 00:56:18.000000,4.12,5.97,5.47
06/01/2020 00:58:18.000000,3.6,6.03,5.07
06/01/2020 01:00:18.000000,3.15,4.8,4.25
06/01/2020 01:02:18.000000,3.62,5.11,4.8
06/01/2020 01:04:18.000000,3.18,5.86,5.07
06/01/2020 01:06:18.000000,3.03,4.5,4.21
06/01/2020 01:08:18.000000,3.34,5.03,4.69
06/01/2020 01:10:18.000000,3.07,4.46,4.27
06/01/2020 01:12:18.000000,3.23,4.56,4.23
06/01/2020 01:14:18.000000,3.48,4.88,4.62
06/01/2020 01:16:18.000000,3.07,4.6,4.16
06/01/2020 01:18:18.000000,3.42,4.65,4.51
06/01/2020 01:20:18.000000,3.43,4.98,4.62
06/01/2020 01:22:18.000000,3.31,4.93,4.53
06/01/2020 01:24:18.000000,3.66,4.56,4.56
06/01/2020 01:26:18.000000,2.93,4.57,4.5
06/01/2020 01:28:18.000000,3.25,4.95,4.57
06/01/2020 01:30:18.000000,3.35,5.04,4.04
06/01/2020 01:32:18.000000,3.43,5.18,4.82
06/01/2020 01:34:18.000000,2.93,5.02,4.27
06/01/2020 01:36:18.000000,3.8,5.8,5.27
06/01/2020 01:38:18.000000,3.48,5.16,4.78
06/01/2020 01:40:26.000000,3.67,5.66,5.33
06/01/2020 01:42:18.000000,3.9,5.37,4.71
06/01/2020 01:44:18.000000,3.2,4.69,4.25
06/01/2020 01:46:18.000000,3.65,4.74,4.7
06/01/2020 01:48:18.000000,3.6,5.05,4.72
06/01/2020 01:50:18.000000,3.14,4.58,3.81
06/01/2020 01:52:18.000000,3.68,5.43,5.2
06/01/2020 01:54:18.000000,3.53,5.47,4.59
06/01/2020 01:56:18.000000,3.36,4.66,4.53
06/01/2020 01:58:18.000000,3.66,5.66,5.34
06/01/2020 02:00:18.000000,3.58,5.74,5.18
06/01/2020 02:02:18.000000,3.39,5.11,4.46
06/01/2020 02:04:18.000000,3.66,5.53,5.12
06/01/2020 02:06:18.000000,3.6,5.26,4.97
06/01/2020 02:08:18.000000,3.56,5.42,4.71
06/01/2020 02:10:18.000000,3.29,4.93,4.79
06/01/2020 02:18:18.000000,3.39,5.11,4.71
06/01/2020 02:20:18.000000,3.67,5.44,4.86
06/01/2020 02:22:18.000000,3.25,4.66,4.53
06/01/2020 02:24:18.000000,3.7,5.15,4.87
06/01/2020 02:26:18.000000,3.48,5.71,5.54
06/01/2020 02:28:18.000000,3.55,5.52,5.25
