InstrumentName, Welby
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,O3,PM10,SO2
10/06/2021 14:00:00,,8.0,133.7,
10/06/2021 15:00:00,,25.0,,
10/06/2021 17:00:00,16.0,28.0,60.8,0.0
10/06/2021 18:00:00,4.0,44.0,22.8,0.0
10/06/2021 19:00:00,2.0,46.0,15.2,0.0
10/06/2021 20:00:00,4.0,43.0,26.0,0.0
10/06/2021 21:00:00,10.0,51.0,80.3,0.0
10/06/2021 22:00:00,11.0,54.0,105.9,1.0
10/06/2021 23:00:00,10.0,56.0,35.9,0.0
10/07/2021 00:00:00,18.0,45.0,18.3,0.0
10/07/2021 01:00:00,,26.0,9.1,
10/07/2021 03:00:00,,4.0,,
10/07/2021 04:00:00,,6.0,91.7,
10/07/2021 05:00:00,,6.0,39.7,
10/07/2021 06:00:00,,6.0,56.1,
10/07/2021 07:00:00,,15.0,17.1,
10/07/2021 09:00:00,,1.0,48.9,
10/07/2021 10:00:00,,0.0,58.0,
10/07/2021 11:00:00,,0.0,77.5,
10/07/2021 13:00:00,,4.0,33.6,
10/07/2021 14:00:00,,12.0,60.5,
10/07/2021 15:00:00,,19.0,50.8,
10/07/2021 16:00:00,,27.0,24.0,
10/07/2021 17:00:00,,36.0,20.5,
10/07/2021 18:00:00,,42.0,17.4,
10/07/2021 19:00:00,,48.0,13.5,
10/07/2021 20:00:00,,51.0,15.1,
10/07/2021 21:00:00,,52.0,24.7,
10/07/2021 22:00:00,,52.0,23.4,
10/07/2021 23:00:00,,47.0,27.8,
10/08/2021 00:00:00,,36.0,65.1,
10/08/2021 01:00:00,,34.0,67.1,
10/08/2021 02:00:00,,29.0,32.1,
10/08/2021 03:00:00,,28.0,39.5,
10/08/2021 04:00:00,,28.0,33.0,
10/08/2021 05:00:00,,16.0,60.8,
10/08/2021 06:00:00,,11.0,45.3,
10/08/2021 07:00:00,,10.0,28.6,
10/08/2021 09:00:00,,3.0,35.8,
10/08/2021 10:00:00,,5.0,68.6,
10/08/2021 11:00:00,,0.0,92.7,
10/08/2021 12:00:00,,0.0,142.6,
10/08/2021 13:00:00,,1.0,,
10/08/2021 14:00:00,,2.0,162.1,
10/08/2021 15:00:00,,7.0,78.2,
10/08/2021 16:00:00,,15.0,68.0,
10/08/2021 17:00:00,,26.0,39.4,
10/08/2021 19:00:00,,44.0,9.5,
10/08/2021 20:00:00,,45.0,32.4,
10/08/2021 21:00:00,,43.0,34.3,
10/08/2021 22:00:00,,35.0,28.7,
10/08/2021 23:00:00,,31.0,49.4,
10/09/2021 00:00:00,,34.0,67.5,
10/09/2021 01:00:00,,32.0,34.6,
10/09/2021 02:00:00,,25.0,36.6,
10/09/2021 03:00:00,,11.0,,
10/09/2021 05:00:00,,9.0,53.0,
10/09/2021 06:00:00,,6.0,71.3,
10/09/2021 07:00:00,,0.0,40.4,
10/09/2021 09:00:00,,5.0,30.0,
10/09/2021 10:00:00,,1.0,47.1,
10/09/2021 11:00:00,,0.0,62.3,
10/09/2021 12:00:00,,0.0,86.7,
10/09/2021 13:00:00,,0.0,74.2,
10/09/2021 14:00:00,,2.0,105.2,
10/09/2021 15:00:00,,34.0,,
10/09/2021 16:00:00,,48.0,12.2,
10/09/2021 17:00:00,,49.0,,
10/09/2021 18:00:00,,46.0,99.5,
10/09/2021 19:00:00,,46.0,87.3,
10/09/2021 20:00:00,,48.0,,
10/09/2021 21:00:00,,49.0,116.4,
10/09/2021 22:00:00,,46.0,133.9,
10/09/2021 23:00:00,,46.0,,
10/10/2021 00:00:00,,45.0,30.1,
10/10/2021 01:00:00,,44.0,14.6,
10/10/2021 02:00:00,,40.0,15.9,
10/10/2021 03:00:00,,36.0,17.9,
10/10/2021 04:00:00,,42.0,14.6,
10/10/2021 05:00:00,,41.0,14.1,
10/10/2021 06:00:00,,37.0,13.2,
10/10/2021 07:00:00,,44.0,8.3,
10/10/2021 09:00:00,,22.0,19.4,
10/10/2021 11:00:00,,14.0,24.3,
10/10/2021 12:00:00,,11.0,25.7,
10/10/2021 13:00:00,,18.0,28.4,
10/10/2021 14:00:00,,20.0,18.7,
10/10/2021 15:00:00,,30.0,15.4,
10/10/2021 16:00:00,,36.0,11.5,
10/10/2021 17:00:00,,43.0,6.6,
10/10/2021 18:00:00,,45.0,11.1,
10/10/2021 19:00:00,,47.0,8.5,
10/10/2021 20:00:00,,48.0,14.8,
10/10/2021 21:00:00,,49.0,13.0,
10/10/2021 22:00:00,,48.0,15.7,
10/10/2021 23:00:00,,46.0,11.2,
10/11/2021 00:00:00,,35.0,25.3,
10/11/2021 02:00:00,,26.0,29.6,
10/11/2021 03:00:00,,22.0,20.9,
10/11/2021 04:00:00,,17.0,52.7,
10/11/2021 05:00:00,,15.0,30.4,
10/11/2021 07:00:00,,0.0,31.3,
10/11/2021 09:00:00,,11.0,22.2,
10/11/2021 10:00:00,,12.0,22.3,
10/11/2021 11:00:00,,4.0,39.4,
10/11/2021 12:00:00,,1.0,110.9,
10/11/2021 13:00:00,,1.0,146.5,
10/11/2021 15:00:00,,14.0,69.6,
10/11/2021 17:00:00,,38.0,23.9,
10/11/2021 18:00:00,,42.0,17.5,
10/11/2021 19:00:00,2.0,41.0,24.7,0.0
10/11/2021 20:00:00,2.0,44.0,21.4,0.0
10/11/2021 21:00:00,3.0,46.0,28.5,0.0
10/11/2021 22:00:00,4.0,45.0,29.5,0.0
10/11/2021 23:00:00,5.0,44.0,34.3,0.0
10/12/2021 00:00:00,6.0,40.0,26.9,0.0
10/12/2021 01:00:00,13.0,29.0,47.6,0.0
10/12/2021 02:00:00,13.0,28.0,24.1,0.0
10/12/2021 03:00:00,8.0,35.0,23.0,1.0
10/12/2021 04:00:00,,35.0,24.2,0.0
10/12/2021 05:00:00,5.0,34.0,22.1,0.0
10/12/2021 06:00:00,8.0,25.0,24.1,0.0
10/12/2021 07:00:00,4.0,27.0,25.1,0.0
10/12/2021 09:00:00,4.0,27.0,37.3,0.0
10/12/2021 10:00:00,3.0,28.0,33.9,0.0
10/12/2021 11:00:00,4.0,29.0,35.0,0.0
10/12/2021 12:00:00,6.0,28.0,43.1,0.0
10/12/2021 13:00:00,9.0,25.0,48.7,0.0
10/12/2021 14:00:00,7.0,25.0,36.0,0.0
10/12/2021 15:00:00,5.0,28.0,31.6,0.0
10/12/2021 16:00:00,4.0,31.0,37.6,0.0
10/12/2021 17:00:00,4.0,32.0,37.4,0.0
10/12/2021 18:00:00,4.0,32.0,41.2,0.0
10/12/2021 19:00:00,4.0,30.0,41.0,0.0
10/12/2021 20:00:00,3.0,32.0,51.6,0.0
10/12/2021 21:00:00,6.0,28.0,59.2,0.0
10/12/2021 22:00:00,9.0,26.0,26.2,0.0
10/12/2021 23:00:00,7.0,27.0,22.6,0.0
10/13/2021 00:00:00,7.0,23.0,26.1,0.0
10/13/2021 01:00:00,5.0,37.0,18.0,0.0
10/13/2021 02:00:00,3.0,47.0,4.2,0.0
10/13/2021 03:00:00,1.0,45.0,6.0,0.0
10/13/2021 04:00:00,,25.0,2.6,0.0
10/13/2021 05:00:00,3.0,21.0,3.4,0.0
10/13/2021 06:00:00,6.0,21.0,9.9,0.0
10/13/2021 07:00:00,9.0,19.0,4.9,0.0
10/13/2021 09:00:00,10.0,19.0,4.5,0.0
10/13/2021 10:00:00,5.0,24.0,9.9,0.0
10/13/2021 11:00:00,7.0,24.0,5.6,0.0
10/13/2021 12:00:00,20.0,13.0,30.4,0.0
10/13/2021 13:00:00,37.0,2.0,35.3,2.0
10/13/2021 14:00:00,32.0,7.0,43.5,2.0
10/13/2021 15:00:00,11.0,28.0,12.9,1.0
10/13/2021 16:00:00,4.0,32.0,25.4,1.0
10/13/2021 17:00:00,4.0,35.0,29.5,0.0
10/13/2021 18:00:00,1.0,40.0,17.3,0.0
10/13/2021 19:00:00,1.0,40.0,23.3,0.0
10/13/2021 20:00:00,1.0,40.0,23.0,0.0
10/13/2021 21:00:00,1.0,41.0,33.1,0.0
10/13/2021 22:00:00,2.0,40.0,28.5,0.0
10/14/2021 00:00:00,4.0,37.0,10.3,0.0
10/14/2021 01:00:00,3.0,38.0,15.6,0.0
10/14/2021 02:00:00,9.0,30.0,33.7,0.0
10/14/2021 03:00:00,15.0,25.0,24.9,0.0
10/14/2021 05:00:00,8.0,25.0,11.3,0.0
10/14/2021 06:00:00,10.0,22.0,11.6,0.0
10/14/2021 07:00:00,6.0,28.0,9.5,0.0
10/14/2021 09:00:00,13.0,18.0,15.0,0.0
10/14/2021 10:00:00,16.0,13.0,19.9,0.0
10/14/2021 11:00:00,23.0,7.0,26.3,0.0
10/14/2021 12:00:00,35.0,1.0,81.6,1.0
10/14/2021 13:00:00,33.0,1.0,71.5,1.0
10/14/2021 14:00:00,19.0,10.0,26.0,0.0
10/14/2021 15:00:00,11.0,18.0,31.9,0.0
10/14/2021 16:00:00,7.0,25.0,16.2,0.0
10/14/2021 17:00:00,7.0,28.0,,0.0
10/14/2021 18:00:00,8.0,27.0,31.5,0.0
10/14/2021 20:00:00,5.0,33.0,73.4,0.0
10/14/2021 21:00:00,5.0,33.0,31.9,
10/14/2021 22:00:00,,31.0,20.3,0.0
10/14/2021 23:00:00,3.0,33.0,12.4,0.0
10/15/2021 00:00:00,4.0,32.0,15.0,0.0
10/15/2021 01:00:00,3.0,31.0,11.6,0.0
10/15/2021 02:00:00,5.0,28.0,11.9,0.0
10/15/2021 03:00:00,11.0,21.0,14.7,0.0
10/15/2021 04:00:00,,23.0,15.5,0.0
10/15/2021 06:00:00,17.0,14.0,19.1,0.0
10/15/2021 07:00:00,25.0,6.0,22.1,0.0
10/15/2021 09:00:00,21.0,13.0,8.4,0.0
10/15/2021 11:00:00,12.0,19.0,20.6,0.0
10/15/2021 12:00:00,29.0,5.0,70.9,0.0
10/15/2021 13:00:00,39.0,1.0,98.3,1.0
10/15/2021 14:00:00,22.0,21.0,19.0,0.0
10/15/2021 16:00:00,1.0,40.0,17.6,0.0
10/15/2021 17:00:00,,41.0,16.7,0.0
10/15/2021 18:00:00,,42.0,27.5,0.0
10/15/2021 19:00:00,1.0,43.0,19.9,0.0
10/15/2021 20:00:00,0.0,45.0,21.5,0.0
10/15/2021 21:00:00,1.0,45.0,25.0,0.0
10/15/2021 22:00:00,1.0,45.0,9.1,0.0
10/15/2021 23:00:00,1.0,44.0,18.6,0.0
10/16/2021 00:00:00,6.0,38.0,30.7,0.0
10/16/2021 01:00:00,10.0,33.0,22.0,0.0
10/16/2021 02:00:00,12.0,28.0,26.1,0.0
10/16/2021 03:00:00,30.0,9.0,32.6,0.0
10/16/2021 04:00:00,,19.0,17.5,1.0
10/16/2021 05:00:00,17.0,21.0,18.7,1.0
10/16/2021 06:00:00,18.0,20.0,20.9,0.0
10/16/2021 07:00:00,32.0,1.0,22.2,0.0
10/16/2021 09:00:00,32.0,2.0,41.6,0.0
10/16/2021 10:00:00,32.0,0.0,29.2,0.0
10/16/2021 11:00:00,31.0,0.0,42.9,0.0
10/16/2021 12:00:00,32.0,0.0,48.8,0.0
10/16/2021 13:00:00,35.0,1.0,78.4,0.0
10/16/2021 14:00:00,35.0,6.0,64.6,1.0
10/16/2021 15:00:00,29.0,16.0,55.7,0.0
10/16/2021 17:00:00,14.0,34.0,23.2,1.0
10/16/2021 18:00:00,7.0,41.0,19.2,0.0
10/16/2021 19:00:00,1.0,48.0,15.9,0.0
10/16/2021 20:00:00,1.0,48.0,18.3,0.0
10/16/2021 21:00:00,1.0,48.0,18.6,0.0
10/16/2021 22:00:00,1.0,46.0,26.1,0.0
10/16/2021 23:00:00,1.0,43.0,47.5,0.0
10/17/2021 00:00:00,7.0,34.0,39.8,0.0
10/17/2021 01:00:00,14.0,24.0,31.6,0.0
10/17/2021 03:00:00,32.0,2.0,52.7,0.0
10/17/2021 04:00:00,,1.0,73.1,0.0
10/17/2021 05:00:00,34.0,3.0,47.4,0.0
10/17/2021 06:00:00,35.0,1.0,44.3,0.0
10/17/2021 07:00:00,34.0,0.0,39.6,0.0
10/17/2021 09:00:00,31.0,0.0,36.3,0.0
10/17/2021 10:00:00,29.0,0.0,29.1,0.0
10/17/2021 11:00:00,29.0,1.0,23.0,0.0
10/17/2021 12:00:00,30.0,1.0,31.0,0.0
10/17/2021 13:00:00,29.0,2.0,33.7,0.0
10/17/2021 14:00:00,28.0,7.0,40.1,0.0
10/17/2021 15:00:00,30.0,12.0,33.4,1.0
10/17/2021 16:00:00,27.0,21.0,42.1,3.0
10/17/2021 17:00:00,17.0,32.0,17.2,1.0
10/17/2021 18:00:00,8.0,42.0,35.2,0.0
10/17/2021 19:00:00,5.0,45.0,15.9,0.0
10/17/2021 20:00:00,3.0,48.0,18.5,0.0
10/17/2021 21:00:00,5.0,47.0,11.5,0.0
10/17/2021 22:00:00,4.0,48.0,26.5,0.0
10/17/2021 23:00:00,4.0,48.0,23.8,0.0
10/18/2021 00:00:00,5.0,44.0,35.5,0.0
10/18/2021 01:00:00,10.0,42.0,41.2,0.0
10/18/2021 02:00:00,10.0,39.0,57.9,0.0
10/18/2021 03:00:00,23.0,20.0,45.2,1.0
10/18/2021 04:00:00,,8.0,45.1,0.0
10/18/2021 05:00:00,41.0,1.0,51.1,0.0
10/18/2021 06:00:00,37.0,1.0,40.5,0.0
10/18/2021 07:00:00,35.0,1.0,41.3,0.0
10/18/2021 09:00:00,31.0,2.0,23.0,0.0
