InstrumentName, Chatfield Park
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,O3,PM2.5
10/08/2021 21:00:00,37.0,3.7
10/08/2021 22:00:00,38.0,3.3
10/08/2021 23:00:00,34.0,4.2
10/09/2021 00:00:00,35.0,3.3
10/09/2021 01:00:00,38.0,4.0
10/09/2021 02:00:00,36.0,4.3
10/09/2021 03:00:00,32.0,9.0
10/09/2021 05:00:00,29.0,5.5
10/09/2021 06:00:00,26.0,4.9
10/09/2021 07:00:00,22.0,5.0
10/09/2021 09:00:00,19.0,4.4
10/09/2021 10:00:00,18.0,3.6
10/09/2021 11:00:00,18.0,3.6
10/09/2021 12:00:00,21.0,2.4
10/09/2021 13:00:00,20.0,1.8
10/09/2021 14:00:00,23.0,2.5
10/09/2021 15:00:00,34.0,1.0
10/09/2021 16:00:00,40.0,1.7
10/09/2021 17:00:00,51.0,3.2
10/09/2021 18:00:00,59.0,3.2
10/09/2021 19:00:00,57.0,2.7
10/09/2021 20:00:00,53.0,3.5
10/09/2021 21:00:00,51.0,3.8
10/09/2021 22:00:00,51.0,2.2
10/09/2021 23:00:00,50.0,1.5
10/10/2021 00:00:00,50.0,2.6
10/10/2021 01:00:00,51.0,1.3
10/10/2021 02:00:00,51.0,1.0
10/10/2021 03:00:00,49.0,1.0
10/10/2021 04:00:00,47.0,1.6
10/10/2021 05:00:00,45.0,2.8
10/10/2021 06:00:00,40.0,1.8
10/10/2021 07:00:00,36.0,1.8
10/10/2021 09:00:00,34.0,2.5
10/10/2021 11:00:00,31.0,3.2
10/10/2021 12:00:00,33.0,4.6
10/10/2021 13:00:00,32.0,3.5
10/10/2021 14:00:00,31.0,3.6
10/10/2021 15:00:00,40.0,4.3
10/10/2021 16:00:00,43.0,4.3
10/10/2021 17:00:00,48.0,3.3
10/10/2021 18:00:00,50.0,2.5
10/10/2021 19:00:00,51.0,2.6
10/10/2021 20:00:00,52.0,2.6
10/10/2021 21:00:00,53.0,2.5
10/10/2021 22:00:00,53.0,2.3
10/10/2021 23:00:00,49.0,2.6
10/11/2021 00:00:00,39.0,3.8
10/11/2021 02:00:00,37.0,4.0
10/11/2021 03:00:00,30.0,3.9
10/11/2021 04:00:00,31.0,3.7
10/11/2021 05:00:00,29.0,3.7
10/11/2021 07:00:00,28.0,3.6
10/11/2021 09:00:00,29.0,5.6
10/11/2021 10:00:00,28.0,5.3
10/11/2021 11:00:00,31.0,5.7
10/11/2021 12:00:00,30.0,5.3
10/11/2021 13:00:00,33.0,4.5
10/11/2021 14:00:00,,3.9
10/11/2021 15:00:00,37.0,4.0
10/11/2021 17:00:00,46.0,5.2
10/11/2021 18:00:00,49.0,5.1
10/11/2021 19:00:00,51.0,4.7
10/11/2021 20:00:00,52.0,5.3
10/11/2021 21:00:00,53.0,5.8
10/11/2021 22:00:00,52.0,7.3
10/11/2021 23:00:00,51.0,6.6
10/12/2021 00:00:00,47.0,4.2
10/12/2021 01:00:00,44.0,3.7
10/12/2021 02:00:00,39.0,3.7
10/12/2021 03:00:00,42.0,3.6
10/12/2021 04:00:00,40.0,3.7
10/12/2021 05:00:00,38.0,3.8
10/12/2021 06:00:00,32.0,3.8
10/12/2021 07:00:00,31.0,3.7
10/12/2021 09:00:00,29.0,4.0
10/12/2021 10:00:00,25.0,4.3
10/12/2021 11:00:00,23.0,4.6
10/12/2021 12:00:00,19.0,5.5
10/12/2021 13:00:00,23.0,7.8
10/12/2021 14:00:00,31.0,9.3
10/12/2021 15:00:00,34.0,10.2
10/12/2021 16:00:00,34.0,10.6
10/12/2021 17:00:00,37.0,10.9
10/12/2021 18:00:00,35.0,11.3
10/12/2021 19:00:00,32.0,11.0
10/12/2021 20:00:00,30.0,9.7
10/12/2021 21:00:00,26.0,9.7
10/12/2021 22:00:00,27.0,9.7
10/12/2021 23:00:00,25.0,9.7
10/13/2021 00:00:00,22.0,10.8
10/13/2021 01:00:00,21.0,11.2
10/13/2021 02:00:00,17.0,11.9
10/13/2021 03:00:00,36.0,8.9
10/13/2021 04:00:00,49.0,4.0
10/13/2021 05:00:00,47.0,4.7
10/13/2021 06:00:00,38.0,5.3
10/13/2021 07:00:00,36.0,6.1
10/13/2021 09:00:00,28.0,5.7
10/13/2021 10:00:00,33.0,3.4
10/13/2021 11:00:00,26.0,3.3
10/13/2021 12:00:00,25.0,2.3
10/13/2021 13:00:00,25.0,2.0
10/13/2021 14:00:00,24.0,2.5
10/13/2021 15:00:00,26.0,2.6
10/13/2021 16:00:00,34.0,2.2
10/13/2021 17:00:00,40.0,1.2
10/13/2021 18:00:00,44.0,1.4
10/13/2021 19:00:00,46.0,1.6
10/13/2021 20:00:00,47.0,2.2
10/13/2021 21:00:00,45.0,1.4
10/13/2021 22:00:00,43.0,1.6
10/14/2021 00:00:00,41.0,2.1
10/14/2021 01:00:00,36.0,3.3
10/14/2021 02:00:00,30.0,4.4
10/14/2021 03:00:00,29.0,2.9
10/14/2021 05:00:00,24.0,3.2
10/14/2021 06:00:00,22.0,3.3
10/14/2021 07:00:00,19.0,3.2
10/14/2021 09:00:00,22.0,2.9
10/14/2021 10:00:00,22.0,2.8
10/14/2021 11:00:00,23.0,3.1
10/14/2021 12:00:00,19.0,3.2
10/14/2021 13:00:00,21.0,3.8
10/14/2021 14:00:00,22.0,4.0
10/14/2021 15:00:00,26.0,4.0
10/14/2021 16:00:00,32.0,4.1
10/14/2021 17:00:00,38.0,3.8
10/14/2021 18:00:00,38.0,4.8
10/14/2021 20:00:00,36.0,6.3
10/14/2021 21:00:00,44.0,3.7
10/14/2021 22:00:00,43.0,4.1
10/14/2021 23:00:00,37.0,6.8
10/15/2021 00:00:00,31.0,8.9
10/15/2021 01:00:00,30.0,9.7
10/15/2021 02:00:00,25.0,9.3
10/15/2021 03:00:00,22.0,10.8
10/15/2021 04:00:00,19.0,11.7
10/15/2021 06:00:00,13.0,12.6
10/15/2021 07:00:00,10.0,12.4
10/15/2021 09:00:00,12.0,11.9
10/15/2021 11:00:00,11.0,10.9
10/15/2021 12:00:00,11.0,10.5
10/15/2021 13:00:00,10.0,8.9
10/15/2021 14:00:00,18.0,6.6
10/15/2021 16:00:00,41.0,2.6
10/15/2021 17:00:00,44.0,2.1
10/15/2021 18:00:00,46.0,1.7
10/15/2021 19:00:00,48.0,1.6
10/15/2021 20:00:00,48.0,1.9
10/15/2021 21:00:00,48.0,2.6
10/15/2021 22:00:00,47.0,2.3
10/15/2021 23:00:00,46.0,2.3
10/16/2021 00:00:00,40.0,2.9
10/16/2021 01:00:00,36.0,3.2
10/16/2021 02:00:00,36.0,3.9
10/16/2021 03:00:00,35.0,2.9
10/16/2021 04:00:00,33.0,3.1
10/16/2021 05:00:00,32.0,3.3
10/16/2021 06:00:00,32.0,3.3
10/16/2021 07:00:00,33.0,3.7
10/16/2021 09:00:00,29.0,3.7
10/16/2021 10:00:00,33.0,3.5
10/16/2021 11:00:00,32.0,3.4
10/16/2021 12:00:00,30.0,3.4
10/16/2021 13:00:00,30.0,3.9
10/16/2021 14:00:00,40.0,3.1
10/16/2021 15:00:00,43.0,2.5
10/16/2021 17:00:00,45.0,2.2
10/16/2021 18:00:00,47.0,1.9
10/16/2021 19:00:00,49.0,1.5
10/16/2021 20:00:00,51.0,1.7
10/16/2021 21:00:00,51.0,1.6
10/16/2021 22:00:00,51.0,1.9
10/16/2021 23:00:00,48.0,2.3
10/17/2021 00:00:00,47.0,5.1
10/17/2021 01:00:00,46.0,4.4
10/17/2021 03:00:00,35.0,6.4
10/17/2021 04:00:00,34.0,3.9
10/17/2021 05:00:00,32.0,4.1
10/17/2021 06:00:00,34.0,4.2
10/17/2021 07:00:00,29.0,4.4
10/17/2021 09:00:00,28.0,5.8
10/17/2021 10:00:00,25.0,4.1
10/17/2021 11:00:00,22.0,3.5
10/17/2021 12:00:00,21.0,3.5
10/17/2021 13:00:00,22.0,3.8
10/17/2021 14:00:00,22.0,6.7
10/17/2021 15:00:00,27.0,4.1
10/17/2021 16:00:00,40.0,2.6
10/17/2021 17:00:00,44.0,1.9
10/17/2021 18:00:00,45.0,2.4
10/17/2021 19:00:00,49.0,2.3
10/17/2021 20:00:00,55.0,2.3
10/17/2021 21:00:00,56.0,2.8
10/17/2021 22:00:00,56.0,3.5
10/17/2021 23:00:00,54.0,3.5
10/18/2021 00:00:00,49.0,4.3
10/18/2021 01:00:00,45.0,4.8
10/18/2021 02:00:00,39.0,4.0
10/18/2021 03:00:00,38.0,3.8
10/18/2021 04:00:00,36.0,3.9
10/18/2021 05:00:00,33.0,4.1
10/18/2021 06:00:00,31.0,4.0
10/18/2021 07:00:00,30.0,3.8
10/18/2021 09:00:00,30.0,3.3
10/18/2021 10:00:00,32.0,3.0
10/18/2021 11:00:00,34.0,2.8
10/18/2021 12:00:00,37.0,2.8
10/18/2021 14:00:00,,3.8
10/18/2021 15:00:00,30.0,3.8
