InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/06/2021 15:00:00,0.685,37.0,13.6
10/06/2021 17:00:00,0.287,15.0,4.1
10/06/2021 18:00:00,0.245,14.0,3.4
10/06/2021 19:00:00,0.287,17.0,3.2
10/06/2021 20:00:00,0.463,26.0,2.3
10/06/2021 21:00:00,0.533,27.0,2.5
10/06/2021 22:00:00,0.629,39.0,8.3
10/06/2021 23:00:00,0.627,39.0,7.6
10/07/2021 01:00:00,0.644,36.0,7.7
10/07/2021 03:00:00,0.598,32.0,4.5
10/07/2021 04:00:00,0.428,,4.5
10/07/2021 05:00:00,0.366,27.0,4.8
10/07/2021 06:00:00,0.505,31.0,7.6
10/07/2021 07:00:00,0.575,36.0,14.1
10/07/2021 09:00:00,0.334,25.0,6.8
10/07/2021 10:00:00,0.277,19.0,4.7
10/07/2021 11:00:00,0.427,24.0,3.5
10/07/2021 13:00:00,0.46,25.0,4.1
10/07/2021 14:00:00,0.361,21.0,4.5
10/07/2021 15:00:00,0.3,16.0,4.4
10/07/2021 16:00:00,0.301,17.0,4.2
10/07/2021 17:00:00,0.227,13.0,3.0
10/07/2021 18:00:00,0.278,14.0,3.4
10/07/2021 19:00:00,0.188,6.0,2.9
10/07/2021 20:00:00,0.198,6.0,2.5
10/07/2021 21:00:00,0.24,7.0,2.4
10/07/2021 22:00:00,0.215,8.0,2.6
10/07/2021 23:00:00,0.203,11.0,3.6
10/08/2021 01:00:00,0.629,33.0,4.5
10/08/2021 03:00:00,0.579,30.0,5.8
10/08/2021 04:00:00,0.397,,4.9
10/08/2021 05:00:00,0.425,24.0,4.8
10/08/2021 06:00:00,0.415,23.0,4.1
10/08/2021 07:00:00,0.294,19.0,4.1
10/08/2021 09:00:00,0.329,26.0,4.9
10/08/2021 10:00:00,0.261,25.0,4.9
10/08/2021 11:00:00,0.519,28.0,6.3
10/08/2021 12:00:00,0.864,30.0,9.3
10/08/2021 13:00:00,0.84,32.0,11.0
10/08/2021 14:00:00,0.646,32.0,12.1
10/08/2021 15:00:00,0.463,26.0,7.3
10/08/2021 16:00:00,0.338,18.0,4.1
10/08/2021 17:00:00,0.248,13.0,4.0
10/08/2021 19:00:00,0.168,7.0,3.3
10/08/2021 20:00:00,0.186,13.0,5.2
10/08/2021 21:00:00,0.288,18.0,4.1
10/08/2021 22:00:00,0.451,26.0,3.7
10/08/2021 23:00:00,0.685,30.0,4.8
10/09/2021 00:00:00,0.531,26.0,5.5
10/09/2021 02:00:00,0.284,18.0,4.7
10/09/2021 03:00:00,0.634,36.0,6.7
10/09/2021 05:00:00,0.871,35.0,7.7
10/09/2021 06:00:00,0.749,33.0,8.1
10/09/2021 07:00:00,0.346,28.0,6.2
10/09/2021 09:00:00,0.446,28.0,6.6
10/09/2021 10:00:00,0.261,25.0,5.0
10/09/2021 11:00:00,0.299,25.0,4.5
10/09/2021 12:00:00,0.47,26.0,5.6
10/09/2021 13:00:00,0.479,27.0,6.6
10/09/2021 14:00:00,0.527,24.0,3.8
10/09/2021 15:00:00,0.404,14.0,3.1
10/09/2021 16:00:00,0.394,17.0,2.1
10/09/2021 17:00:00,0.386,15.0,2.8
10/09/2021 18:00:00,0.413,17.0,3.0
10/09/2021 19:00:00,0.419,14.0,3.3
