InstrumentName, I-25 Globeville
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,PM2.5
10/06/2021 06:00:00,13.0,
10/06/2021 07:00:00,6.0,3.5
10/06/2021 09:00:00,24.0,5.5
10/06/2021 10:00:00,24.0,6.6
10/06/2021 11:00:00,37.0,7.4
10/06/2021 12:00:00,41.0,9.3
10/06/2021 13:00:00,42.0,12.6
10/06/2021 14:00:00,38.0,15.6
10/06/2021 15:00:00,38.0,19.9
10/06/2021 17:00:00,16.0,8.0
10/06/2021 18:00:00,18.0,5.9
10/06/2021 19:00:00,15.0,3.0
10/06/2021 20:00:00,13.0,
10/06/2021 21:00:00,35.0,10.2
10/06/2021 22:00:00,38.0,9.8
10/06/2021 23:00:00,40.0,10.4
10/07/2021 00:00:00,42.0,9.4
10/07/2021 01:00:00,53.0,9.2
10/07/2021 03:00:00,57.0,10.7
10/07/2021 04:00:00,,12.8
10/07/2021 05:00:00,47.0,12.5
10/07/2021 06:00:00,46.0,11.1
10/07/2021 07:00:00,33.0,8.5
10/07/2021 09:00:00,34.0,8.8
10/07/2021 10:00:00,27.0,6.6
10/07/2021 11:00:00,29.0,6.8
10/07/2021 13:00:00,33.0,6.0
10/07/2021 14:00:00,31.0,7.5
10/07/2021 15:00:00,35.0,9.2
10/07/2021 16:00:00,33.0,7.5
10/07/2021 17:00:00,18.0,3.9
10/07/2021 18:00:00,15.0,3.4
10/07/2021 19:00:00,12.0,3.2
10/07/2021 20:00:00,15.0,3.7
10/07/2021 21:00:00,15.0,3.5
10/07/2021 22:00:00,11.0,3.0
10/07/2021 23:00:00,10.0,4.1
10/08/2021 00:00:00,27.0,5.0
10/08/2021 01:00:00,38.0,6.6
10/08/2021 02:00:00,31.0,6.3
10/08/2021 03:00:00,43.0,8.3
10/08/2021 04:00:00,,8.9
10/08/2021 05:00:00,36.0,6.6
10/08/2021 06:00:00,34.0,6.6
10/08/2021 07:00:00,26.0,5.4
10/08/2021 09:00:00,29.0,6.3
10/08/2021 10:00:00,33.0,6.0
10/08/2021 11:00:00,38.0,7.3
10/08/2021 12:00:00,36.0,8.9
10/08/2021 13:00:00,40.0,12.3
10/08/2021 14:00:00,39.0,13.6
10/08/2021 15:00:00,43.0,17.8
10/08/2021 16:00:00,37.0,10.1
10/08/2021 17:00:00,22.0,5.0
10/08/2021 19:00:00,6.0,2.9
10/08/2021 20:00:00,6.0,2.7
10/08/2021 21:00:00,16.0,4.1
10/08/2021 22:00:00,24.0,4.0
10/08/2021 23:00:00,34.0,5.9
10/09/2021 00:00:00,24.0,13.4
10/09/2021 01:00:00,17.0,4.8
10/09/2021 02:00:00,12.0,4.7
10/09/2021 03:00:00,26.0,6.9
10/09/2021 05:00:00,37.0,8.7
10/09/2021 07:00:00,36.0,8.1
10/09/2021 09:00:00,33.0,8.1
10/09/2021 10:00:00,35.0,10.2
10/09/2021 11:00:00,34.0,9.4
10/09/2021 12:00:00,31.0,7.2
10/09/2021 13:00:00,28.0,4.3
10/09/2021 14:00:00,34.0,6.4
10/09/2021 15:00:00,20.0,3.2
10/09/2021 16:00:00,17.0,3.3
