InstrumentName, NJH
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,PM2.5
10/01/2021 00:00:00,11.7
10/01/2021 02:00:00,15.3
10/01/2021 03:00:00,14.0
10/01/2021 04:00:00,12.6
10/01/2021 07:00:00,13.0
10/01/2021 09:00:00,17.1
10/01/2021 10:00:00,17.2
10/01/2021 11:00:00,16.4
10/01/2021 12:00:00,16.6
10/01/2021 13:00:00,15.4
10/01/2021 14:00:00,19.2
10/01/2021 15:00:00,17.2
10/01/2021 16:00:00,16.2
10/01/2021 17:00:00,16.4
10/01/2021 18:00:00,17.7
10/01/2021 19:00:00,17.2
10/01/2021 20:00:00,16.5
10/01/2021 21:00:00,15.7
10/01/2021 22:00:00,13.1
10/01/2021 23:00:00,8.8
10/02/2021 00:00:00,7.1
10/02/2021 01:00:00,6.4
10/02/2021 03:00:00,7.8
10/02/2021 04:00:00,12.6
10/02/2021 05:00:00,13.8
10/02/2021 06:00:00,13.5
10/02/2021 07:00:00,13.3
10/02/2021 09:00:00,12.2
10/02/2021 10:00:00,11.8
10/02/2021 11:00:00,11.7
10/02/2021 13:00:00,10.5
10/02/2021 14:00:00,12.7
10/02/2021 15:00:00,11.7
10/02/2021 16:00:00,10.6
10/02/2021 17:00:00,8.5
10/02/2021 18:00:00,6.2
10/02/2021 19:00:00,5.4
10/02/2021 20:00:00,5.7
10/02/2021 21:00:00,6.3
10/02/2021 22:00:00,6.6
10/02/2021 23:00:00,6.1
10/03/2021 00:00:00,7.0
10/03/2021 01:00:00,10.7
10/03/2021 02:00:00,12.1
10/03/2021 03:00:00,14.6
10/03/2021 04:00:00,13.7
10/03/2021 05:00:00,11.7
10/03/2021 06:00:00,9.0
10/03/2021 07:00:00,9.6
10/03/2021 09:00:00,8.3
10/03/2021 10:00:00,7.0
10/03/2021 11:00:00,6.3
10/03/2021 12:00:00,6.1
10/03/2021 13:00:00,6.2
10/03/2021 14:00:00,6.1
10/03/2021 15:00:00,5.9
10/03/2021 16:00:00,5.4
10/03/2021 17:00:00,4.7
10/03/2021 18:00:00,4.3
10/03/2021 19:00:00,4.3
10/03/2021 20:00:00,4.2
10/03/2021 21:00:00,4.3
10/03/2021 22:00:00,4.2
10/03/2021 23:00:00,4.3
10/04/2021 00:00:00,5.7
10/04/2021 01:00:00,10.1
10/04/2021 02:00:00,14.8
10/04/2021 03:00:00,11.2
10/04/2021 04:00:00,7.3
10/04/2021 06:00:00,6.2
10/04/2021 07:00:00,5.7
10/04/2021 09:00:00,5.2
10/04/2021 10:00:00,4.9
10/04/2021 11:00:00,5.1
10/04/2021 12:00:00,5.4
10/04/2021 13:00:00,5.8
10/04/2021 15:00:00,5.7
10/04/2021 16:00:00,5.3
10/04/2021 17:00:00,4.9
10/04/2021 18:00:00,4.6
10/04/2021 19:00:00,4.3
10/04/2021 20:00:00,4.3
10/04/2021 21:00:00,4.1
10/04/2021 22:00:00,3.9
10/04/2021 23:00:00,4.3
10/05/2021 01:00:00,5.0
10/05/2021 02:00:00,5.1
10/05/2021 03:00:00,5.3
10/05/2021 04:00:00,5.5
10/05/2021 06:00:00,5.9
10/05/2021 07:00:00,5.9
10/05/2021 09:00:00,5.8
10/05/2021 10:00:00,5.4
