InstrumentName, Canary-CDPHE-7
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
10/01/2021 00:00:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:01:09,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:02:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:03:07,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:04:07,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:05:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,13.0,-1.0,,136.0,,
10/01/2021 00:06:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:07:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:08:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:09:07,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:10:08,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
10/01/2021 00:11:07,1.0,1.0,1.0,-1.0,,,13.27,10.52,5.8,6.7,10.73,9.75,14.0,-1.0,,136.0,,
