InstrumentName, Woods Park B
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,PM1.0,PM10.0,PM2.5
10/01/2021 00:01:00,0.36,0.73,0.73
10/01/2021 00:03:00,0.63,0.97,0.8
10/01/2021 00:05:00,0.95,1.23,1.18
10/01/2021 00:07:00,0.88,1.61,1.29
10/01/2021 00:09:00,0.68,1.46,1.17
10/01/2021 00:11:00,0.59,0.84,0.66
10/01/2021 00:13:00,0.84,1.4,1.03
10/01/2021 00:15:00,1.0,1.84,1.36
10/01/2021 00:17:00,0.83,1.29,1.29
10/01/2021 00:19:00,0.72,1.17,0.95
10/01/2021 00:21:00,0.85,1.41,1.25
10/01/2021 00:23:00,0.61,1.11,0.88
10/01/2021 00:25:00,0.81,1.37,1.33
10/01/2021 00:27:02,2.34,3.8,3.46
10/01/2021 00:29:02,1.59,2.25,2.2
10/01/2021 00:31:00,0.81,1.7,1.4
10/01/2021 00:33:06,1.02,1.34,1.2
10/01/2021 00:35:06,1.1,1.72,1.63
10/01/2021 00:37:00,2.05,2.88,2.66
10/01/2021 00:39:00,1.74,2.61,2.54
10/01/2021 00:41:00,1.89,2.71,2.62
10/01/2021 00:43:00,2.32,3.58,3.12
10/01/2021 00:45:00,2.95,4.12,3.59
10/01/2021 00:47:00,2.57,3.6,3.4
10/01/2021 00:49:00,2.52,3.38,3.29
10/01/2021 00:51:00,2.81,3.95,3.69
10/01/2021 00:53:00,2.42,3.67,3.25
10/01/2021 00:55:00,2.17,3.31,3.09
10/01/2021 00:57:00,2.18,3.09,3.0
10/01/2021 00:59:00,2.16,3.44,3.14
10/01/2021 01:01:01,2.34,3.67,3.4
10/01/2021 01:03:01,2.4,3.6,3.29
10/01/2021 01:07:01,2.45,3.35,3.02
10/01/2021 01:09:01,1.58,2.79,2.16
10/01/2021 01:13:01,2.05,2.83,2.83
10/01/2021 01:15:01,1.9,3.17,3.03
10/01/2021 01:19:01,1.61,2.46,2.36
10/01/2021 01:21:01,1.74,2.47,2.24
10/01/2021 01:23:01,1.24,2.78,2.46
10/01/2021 01:25:01,2.0,3.25,3.05
10/01/2021 01:27:01,1.7,2.59,2.27
10/01/2021 01:29:01,1.81,2.62,2.4
10/01/2021 01:31:01,1.83,3.17,3.02
10/01/2021 01:35:01,2.0,2.71,2.64
10/01/2021 01:37:01,2.09,3.4,3.09
10/01/2021 01:39:01,2.34,3.53,3.08
10/01/2021 01:41:01,1.73,3.47,2.92
10/01/2021 01:43:01,1.9,3.48,2.76
10/01/2021 01:45:01,2.09,2.91,2.72
10/01/2021 01:47:01,1.71,2.34,2.27
10/01/2021 01:49:01,1.44,2.0,2.0
10/01/2021 01:51:01,1.47,2.61,2.14
10/01/2021 01:53:01,1.86,2.33,2.05
