InstrumentName, Canary-CDPHE-1
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
10/01/2021 00:00:07,0.0,0.0,0.0,40.23,,,0.0,11.38,0.0,7.22,0.0,10.02,-71.0,61.59,,1573.0,,
10/01/2021 00:01:05,0.0,0.0,0.0,40.17,,,0.0,11.18,0.0,7.05,0.0,10.42,-71.0,61.59,,1573.0,,
10/01/2021 00:02:05,0.0,0.0,0.0,40.23,,,0.0,11.67,0.0,7.1,0.0,11.02,-71.0,61.56,,1573.0,,
10/01/2021 00:03:05,0.0,0.0,0.0,40.21,,,0.0,9.75,0.0,6.8,0.0,9.35,-71.0,61.52,,1573.0,,
10/01/2021 00:04:06,0.0,0.0,0.0,41.15,,,0.0,11.65,0.0,5.75,0.0,9.7,-71.0,61.52,,1573.0,,
10/01/2021 00:05:07,0.0,0.0,0.0,41.37,,,0.0,11.67,0.0,7.05,0.0,10.65,-71.0,61.45,,1573.0,,
10/01/2021 00:06:05,0.0,0.0,0.0,41.43,,,0.0,11.78,0.0,7.13,0.0,10.15,-71.0,61.38,,1573.0,,
10/01/2021 00:07:06,0.0,0.0,0.0,41.6,,,0.0,10.32,0.0,6.72,0.0,9.77,-71.0,61.32,,1573.0,,
10/01/2021 00:08:06,0.0,0.0,0.0,41.72,,,0.0,13.28,0.0,6.88,0.0,11.23,-71.0,61.27,,1573.0,,
10/01/2021 00:09:07,0.0,0.0,0.0,41.43,,,0.0,12.2,0.0,7.5,0.0,11.0,-71.0,61.23,,1573.0,,
10/01/2021 00:10:06,0.0,0.0,0.0,41.93,,,0.0,11.05,0.0,7.6,0.0,10.6,-71.0,61.2,,1573.0,,
10/01/2021 00:11:06,0.0,0.0,0.0,41.94,,,0.0,10.4,0.0,6.98,0.0,9.6,-71.0,61.18,,1573.0,,
10/01/2021 00:12:06,0.0,0.0,0.0,41.84,,,0.0,12.93,0.0,7.82,0.0,11.7,-71.0,61.09,,1573.0,,
10/01/2021 00:13:07,0.0,0.0,0.0,41.95,,,0.0,12.07,0.0,6.93,0.0,10.0,-71.0,61.05,,1573.0,,
10/01/2021 00:14:06,0.0,0.0,0.0,42.04,,,0.0,12.18,0.0,6.98,0.0,11.28,-71.0,61.03,,1573.0,,
10/01/2021 00:15:06,0.0,0.0,0.0,41.39,,,0.0,13.07,0.0,6.88,0.0,10.87,-71.0,60.96,,2372.0,,
10/01/2021 00:16:06,0.0,0.0,0.0,41.65,,,0.0,11.27,0.0,7.07,0.0,9.52,-71.0,61.0,,2372.0,,
10/01/2021 00:17:05,0.0,0.0,0.0,41.86,,,0.0,13.1,0.0,7.95,0.0,11.35,-71.0,60.98,,2372.0,,
10/01/2021 00:18:04,0.0,0.0,0.0,42.14,,,0.0,12.1,0.0,7.5,0.0,10.8,-71.0,60.93,,2372.0,,
10/01/2021 00:19:05,0.0,0.0,0.0,42.09,,,0.0,12.63,0.0,6.98,0.0,11.63,-71.0,60.87,,2372.0,,
10/01/2021 00:20:05,0.0,0.0,0.0,42.12,,,0.0,10.7,0.0,5.92,0.0,10.07,-71.0,60.84,,2372.0,,
10/01/2021 00:21:05,0.0,0.0,0.0,42.73,,,0.0,12.63,0.0,7.15,0.0,11.13,-71.0,60.78,,2372.0,,
10/01/2021 00:22:06,0.0,0.0,0.0,42.84,,,0.0,14.73,0.0,8.3,0.0,13.08,-71.0,60.73,,2372.0,,
10/01/2021 00:23:05,0.0,0.0,0.0,43.29,,,0.0,12.77,0.0,6.88,0.0,11.35,-71.0,60.69,,2372.0,,
10/01/2021 00:24:06,0.0,0.0,0.0,43.08,,,0.0,13.03,0.0,7.38,0.0,11.78,-71.0,60.67,,2372.0,,
10/01/2021 00:25:05,0.0,0.0,0.0,42.94,,,0.0,12.55,0.0,8.35,0.0,12.25,-71.0,60.64,,2372.0,,
10/01/2021 00:26:06,0.0,0.0,0.0,43.22,,,0.0,17.45,0.0,8.65,0.0,13.7,-71.0,60.58,,2372.0,,
10/01/2021 00:27:07,0.0,0.0,0.0,43.28,,,0.0,12.58,0.0,8.07,0.0,11.47,-71.0,60.53,,2372.0,,
