InstrumentName, APCD,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/01/2018 00:01:47.413333,20.24,65.0,41.0
12/01/2018 00:03:07.393333,17.53,65.0,41.0
12/01/2018 00:05:47.600000,18.69,66.0,41.0
12/01/2018 00:07:07.436666,19.03,66.0,41.0
12/01/2018 00:09:47.360000,19.39,66.0,41.0
12/01/2018 00:11:07.436666,20.57,66.0,41.0
12/01/2018 00:13:47.456666,20.67,66.0,41.0
12/01/2018 00:15:07.476666,19.5,66.0,41.0
12/01/2018 00:17:47.506666,19.66,67.0,41.0
12/01/2018 00:19:07.396666,20.68,67.0,41.0
12/01/2018 00:21:47.453333,20.84,67.0,41.0
12/01/2018 00:23:07.416666,19.42,67.0,41.0
12/01/2018 00:25:47.826666,22.03,67.0,41.0
12/01/2018 00:27:07.543333,20.0,68.0,41.0
12/01/2018 00:29:47.666666,20.38,68.0,41.0
12/01/2018 00:31:07.466666,20.82,68.0,41.0
12/01/2018 00:33:47.440000,17.26,68.0,41.0
12/01/2018 00:35:07.413333,19.53,68.0,41.0
12/01/2018 00:37:47.443333,18.97,68.0,41.0
12/01/2018 00:39:07.433333,18.44,68.0,41.0
12/01/2018 00:41:47.560000,18.65,68.0,41.0
12/01/2018 00:43:07.346666,19.89,68.0,40.0
12/01/2018 00:45:47.600000,20.86,68.0,40.0
12/01/2018 00:47:07.506666,22.08,69.0,40.0
12/01/2018 00:49:47.436666,24.74,69.0,40.0
12/01/2018 00:51:07.443333,24.92,69.0,40.0
12/01/2018 00:53:47.520000,24.94,69.0,40.0
12/01/2018 00:55:07.420000,22.15,69.0,40.0
12/01/2018 00:57:47.473333,20.84,69.0,40.0
12/01/2018 00:59:07.450000,21.79,69.0,40.0
12/01/2018 01:01:47.546666,22.03,70.0,40.0
12/01/2018 01:03:07.483333,21.32,69.0,40.0
12/01/2018 01:05:47.426666,20.72,69.0,40.0
12/01/2018 01:07:07.530000,19.55,69.0,40.0
12/01/2018 01:09:47.560000,21.05,69.0,40.0
12/01/2018 01:11:07.870000,20.0,69.0,41.0
12/01/2018 01:13:48.076666,21.26,69.0,41.0
12/01/2018 01:15:09.053333,22.92,70.0,41.0
12/01/2018 01:17:47.593333,20.41,69.0,41.0
12/01/2018 01:21:47.730000,21.65,69.0,41.0
12/01/2018 01:23:07.546666,21.78,69.0,41.0
12/01/2018 01:25:47.643333,22.95,69.0,41.0
12/01/2018 01:27:07.650000,24.05,69.0,41.0
12/01/2018 01:29:47.626666,24.3,69.0,40.0
12/01/2018 01:31:07.986666,24.81,69.0,40.0
12/01/2018 01:33:47.516666,26.63,69.0,40.0
12/01/2018 01:35:07.846666,26.73,69.0,40.0
12/01/2018 01:37:47.536666,25.0,69.0,40.0
12/01/2018 01:39:07.510000,26.81,69.0,40.0
12/01/2018 01:41:47.626666,24.06,69.0,40.0
12/01/2018 01:43:07.546666,24.21,69.0,40.0
12/01/2018 01:47:07.476666,24.92,70.0,40.0
12/01/2018 01:49:47.596666,25.97,70.0,40.0
12/01/2018 01:51:07.553333,24.78,70.0,40.0
12/01/2018 01:53:47.550000,24.86,70.0,40.0
12/01/2018 01:55:07.623333,24.79,70.0,40.0
12/01/2018 01:57:47.473333,26.92,69.0,40.0
12/01/2018 01:59:07.550000,26.77,69.0,40.0
12/01/2018 02:01:47.503333,23.28,69.0,40.0
12/01/2018 02:03:07.576666,23.66,70.0,40.0
12/01/2018 02:05:47.543333,23.0,70.0,40.0
12/01/2018 02:07:08.110000,25.55,70.0,40.0
12/01/2018 02:09:49.540000,24.97,70.0,41.0
12/01/2018 02:11:07.826666,24.03,70.0,41.0
12/01/2018 02:13:47.730000,26.32,69.0,41.0
12/01/2018 02:17:47.496666,26.24,69.0,40.0
12/01/2018 02:19:07.580000,26.08,69.0,40.0
12/01/2018 02:21:47.616666,25.38,69.0,40.0
12/01/2018 02:23:07.520000,24.16,69.0,40.0
12/01/2018 02:25:47.556666,25.51,69.0,41.0
12/01/2018 02:27:07.533333,26.18,70.0,41.0
12/01/2018 02:29:47.960000,26.14,69.0,41.0
12/01/2018 02:31:07.576666,24.86,69.0,41.0
12/01/2018 02:33:47.543333,26.1,69.0,40.0
12/01/2018 02:35:07.723333,26.03,69.0,40.0
12/01/2018 02:37:47.943333,25.65,69.0,40.0
12/01/2018 02:39:07.513333,27.03,69.0,40.0
12/01/2018 02:41:47.606666,25.92,70.0,39.0
12/01/2018 02:43:07.816666,26.53,70.0,39.0
12/01/2018 02:45:47.706666,30.72,71.0,39.0
12/01/2018 02:47:07.583333,28.18,71.0,40.0
12/01/2018 02:49:47.743333,27.58,71.0,40.0
12/01/2018 02:51:07.493333,25.55,71.0,41.0
12/01/2018 02:53:47.576666,28.62,70.0,40.0
12/01/2018 02:55:07.526666,27.67,70.0,40.0
12/01/2018 02:57:47.573333,30.0,70.0,39.0
12/01/2018 02:59:11.826666,29.19,71.0,39.0
12/01/2018 03:01:47.506666,29.49,72.0,38.0
12/01/2018 03:03:07.570000,29.08,72.0,39.0
12/01/2018 03:05:47.550000,28.74,72.0,39.0
12/01/2018 03:07:07.870000,29.97,73.0,38.0
12/01/2018 03:09:47.660000,31.16,73.0,39.0
12/01/2018 03:11:07.873333,28.74,73.0,39.0
12/01/2018 03:13:47.723333,32.28,73.0,39.0
12/01/2018 03:15:10.173333,29.16,73.0,39.0
12/01/2018 03:17:47.836666,34.24,73.0,38.0
12/01/2018 03:19:07.686666,32.7,74.0,38.0
12/01/2018 03:21:47.650000,32.84,74.0,39.0
12/01/2018 03:23:08.023333,33.49,74.0,39.0
12/01/2018 03:25:49.240000,31.97,74.0,40.0
12/01/2018 03:27:07.546666,33.46,73.0,39.0
