InstrumentName, West Denver PA-II B,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/01/2018 00:01:19.936666,16.47,53.0,47.0
12/01/2018 00:02:40.343333,15.8,53.0,47.0
12/01/2018 00:05:19.670000,18.51,53.0,47.0
12/01/2018 00:06:39.680000,16.33,54.0,47.0
12/01/2018 00:09:19.686666,19.28,54.0,47.0
12/01/2018 00:10:39.686666,18.67,54.0,47.0
12/01/2018 00:13:19.676666,18.47,55.0,47.0
12/01/2018 00:14:39.676666,18.67,55.0,47.0
12/01/2018 00:17:19.683333,19.19,54.0,48.0
12/01/2018 00:18:39.716666,17.07,54.0,48.0
12/01/2018 00:21:19.696666,18.72,54.0,48.0
12/01/2018 00:22:39.740000,17.65,54.0,48.0
12/01/2018 00:25:19.716666,16.21,53.0,49.0
12/01/2018 00:26:39.813333,17.68,53.0,49.0
12/01/2018 00:29:19.693333,16.9,52.0,49.0
12/01/2018 00:30:39.693333,16.07,52.0,49.0
12/01/2018 00:33:19.710000,17.45,52.0,49.0
12/01/2018 00:34:39.780000,17.58,52.0,49.0
12/01/2018 00:37:19.716666,17.31,51.0,49.0
12/01/2018 00:38:39.856666,17.55,51.0,49.0
12/01/2018 00:41:19.730000,17.48,51.0,50.0
12/01/2018 00:42:39.876666,16.88,51.0,50.0
12/01/2018 00:45:19.830000,17.03,50.0,50.0
12/01/2018 00:46:39.993333,15.93,50.0,50.0
12/01/2018 00:49:19.853333,16.48,50.0,50.0
12/01/2018 00:50:39.706666,18.16,50.0,50.0
12/01/2018 00:53:19.726666,17.98,50.0,50.0
12/01/2018 00:54:39.706666,17.05,50.0,50.0
12/01/2018 00:57:19.710000,19.02,50.0,50.0
12/01/2018 00:58:39.693333,18.3,50.0,50.0
12/01/2018 01:01:19.780000,18.02,50.0,50.0
12/01/2018 01:02:39.713333,18.57,50.0,50.0
12/01/2018 01:05:19.710000,18.19,50.0,50.0
12/01/2018 01:06:39.700000,19.81,50.0,50.0
12/01/2018 01:09:19.880000,19.95,50.0,50.0
12/01/2018 01:10:40.496666,19.48,50.0,50.0
12/01/2018 01:13:19.726666,18.68,50.0,50.0
12/01/2018 01:14:40.070000,17.55,50.0,50.0
12/01/2018 01:17:19.806666,20.28,50.0,50.0
12/01/2018 01:18:39.720000,18.66,50.0,50.0
12/01/2018 01:19:59.810000,20.16,50.0,50.0
12/01/2018 01:22:39.716666,22.71,50.0,50.0
12/01/2018 01:25:19.746666,19.09,50.0,50.0
12/01/2018 01:27:59.710000,20.61,50.0,50.0
12/01/2018 01:29:19.710000,18.86,50.0,50.0
12/01/2018 01:31:59.803333,20.21,50.0,50.0
12/01/2018 01:33:19.726666,20.38,49.0,50.0
12/01/2018 01:35:59.723333,19.67,49.0,50.0
12/01/2018 01:37:19.713333,19.02,49.0,50.0
12/01/2018 01:39:59.716666,20.23,49.0,50.0
12/01/2018 01:41:19.713333,18.2,49.0,50.0
12/01/2018 01:43:59.733333,20.55,49.0,50.0
12/01/2018 01:45:19.716666,18.35,49.0,50.0
12/01/2018 01:47:59.776666,19.98,49.0,50.0
12/01/2018 01:49:19.720000,19.07,49.0,50.0
12/01/2018 01:51:59.730000,19.0,49.0,50.0
12/01/2018 01:55:59.736666,19.85,49.0,50.0
12/01/2018 01:58:39.816666,22.56,49.0,50.0
12/01/2018 01:59:59.726666,23.88,49.0,50.0
12/01/2018 02:02:40.383333,21.45,50.0,50.0
12/01/2018 02:05:19.756666,21.67,50.0,50.0
12/01/2018 02:06:39.733333,23.63,50.0,50.0
12/01/2018 02:09:24.750000,21.02,50.0,50.0
12/01/2018 02:10:39.723333,21.49,50.0,50.0
12/01/2018 02:13:20.043333,21.24,50.0,50.0
12/01/2018 02:17:19.726666,20.92,50.0,49.0
12/01/2018 02:18:40.046666,20.88,50.0,49.0
12/01/2018 02:21:19.760000,19.79,50.0,49.0
12/01/2018 02:22:39.726666,20.81,50.0,49.0
12/01/2018 02:25:19.776666,22.42,50.0,49.0
12/01/2018 02:26:39.780000,20.54,50.0,49.0
12/01/2018 02:27:59.740000,21.24,51.0,49.0
12/01/2018 02:30:39.733333,19.38,51.0,49.0
12/01/2018 02:33:19.726666,22.93,51.0,49.0
12/01/2018 02:34:39.890000,20.02,51.0,49.0
12/01/2018 02:37:19.816666,21.98,51.0,49.0
12/01/2018 02:38:39.713333,22.67,51.0,49.0
12/01/2018 02:41:19.726666,21.28,51.0,49.0
12/01/2018 02:42:39.746666,22.33,51.0,49.0
12/01/2018 02:45:19.840000,19.95,51.0,49.0
12/01/2018 02:46:39.720000,24.49,51.0,49.0
12/01/2018 02:49:19.723333,23.67,51.0,49.0
12/01/2018 02:50:39.726666,22.67,51.0,49.0
12/01/2018 02:51:59.743333,22.68,51.0,49.0
12/01/2018 02:54:39.760000,25.15,51.0,49.0
12/01/2018 02:57:19.786666,29.24,51.0,49.0
12/01/2018 02:58:39.896666,43.73,51.0,49.0
12/01/2018 03:01:19.743333,27.55,51.0,49.0
12/01/2018 03:02:39.763333,21.07,51.0,49.0
12/01/2018 03:05:20.343333,24.56,51.0,49.0
12/01/2018 03:06:39.726666,22.47,51.0,49.0
12/01/2018 03:09:19.970000,25.0,51.0,49.0
12/01/2018 03:10:39.800000,23.52,51.0,49.0
12/01/2018 03:13:19.856666,24.86,51.0,49.0
12/01/2018 03:14:39.746666,25.24,51.0,49.0
12/01/2018 03:17:20.043333,25.48,51.0,49.0
12/01/2018 03:18:39.803333,24.88,51.0,49.0
12/01/2018 03:21:20.903333,22.65,51.0,49.0
12/01/2018 03:22:39.866666,23.76,51.0,48.0
12/01/2018 03:25:21.683333,25.45,52.0,48.0
12/01/2018 03:26:39.760000,25.52,52.0,48.0
