InstrumentName, La Casa,,,,,
StartTime, 2019-07-01 00:00:00,,,,,
EndTime, 2019-07-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
07/01/2019 00:00:00.000000,0.2,8.0,47.0,20.0,6.6,0.0
07/01/2019 01:00:00.000000,0.2,9.0,44.0,18.0,6.6,0.0
07/01/2019 02:00:00.000000,0.2,9.0,39.0,16.0,6.6,0.0
07/01/2019 03:00:00.000000,0.3,14.0,35.0,17.0,6.8,0.0
07/01/2019 04:00:00.000000,0.2,,24.0,17.0,6.8,0.0
07/01/2019 05:00:00.000000,,,24.0,17.0,,
07/01/2019 07:00:00.000000,0.1,6.0,,,,
07/01/2019 08:00:00.000000,0.1,10.0,15.0,12.0,6.0,0.0
07/01/2019 09:00:00.000000,0.1,12.0,13.0,13.0,6.1,0.0
07/01/2019 10:00:00.000000,0.1,8.0,13.0,14.0,6.1,0.0
07/01/2019 11:00:00.000000,0.2,14.0,14.0,16.0,6.9,0.0
07/01/2019 12:00:00.000000,0.3,18.0,13.0,21.0,7.4,0.0
07/01/2019 13:00:00.000000,0.3,14.0,14.0,24.0,7.7,0.0
07/01/2019 14:00:00.000000,0.2,12.0,14.0,25.0,7.6,0.0
07/01/2019 15:00:00.000000,0.2,8.0,31.0,22.0,7.4,0.0
07/01/2019 16:00:00.000000,0.1,7.0,39.0,20.0,7.3,0.0
07/01/2019 17:00:00.000000,0.3,24.0,38.0,34.0,9.2,1.0
07/01/2019 18:00:00.000000,0.1,8.0,54.0,31.0,8.6,0.0
07/01/2019 19:00:00.000000,0.1,5.0,54.0,26.0,7.3,0.0
07/01/2019 20:00:00.000000,0.1,6.0,48.0,24.0,6.7,0.0
07/01/2019 21:00:00.000000,0.1,9.0,48.0,23.0,6.6,
07/01/2019 22:00:00.000000,0.1,11.0,44.0,20.0,6.3,0.0
07/01/2019 23:00:00.000000,0.1,8.0,43.0,17.0,5.8,0.0
07/02/2019 00:00:00.000000,0.1,7.0,42.0,15.0,5.3,0.0
07/02/2019 01:00:00.000000,0.2,11.0,39.0,15.0,5.6,0.0
07/02/2019 02:00:00.000000,0.2,13.0,37.0,17.0,5.6,0.0
07/02/2019 03:00:00.000000,0.1,6.0,38.0,15.0,5.4,0.0
07/02/2019 04:00:00.000000,0.1,,39.0,14.0,5.0,0.0
07/02/2019 05:00:00.000000,,7.0,38.0,12.0,5.1,
07/02/2019 06:00:00.000000,,,,12.0,,
07/02/2019 07:00:00.000000,0.1,9.0,,14.0,,
07/02/2019 08:00:00.000000,0.1,11.0,25.0,13.0,5.1,0.0
07/02/2019 09:00:00.000000,0.1,6.0,21.0,13.0,5.2,0.0
07/02/2019 10:00:00.000000,0.1,6.0,17.0,13.0,5.4,0.0
07/02/2019 11:00:00.000000,0.2,7.0,17.0,13.0,5.7,0.0
07/02/2019 12:00:00.000000,,,18.0,13.0,5.7,
07/02/2019 13:00:00.000000,0.3,12.0,16.0,18.0,6.4,0.0
07/02/2019 14:00:00.000000,0.2,9.0,17.0,18.0,6.6,0.0
07/02/2019 15:00:00.000000,0.2,9.0,21.0,17.0,6.6,0.0
07/02/2019 16:00:00.000000,0.2,8.0,26.0,17.0,6.4,0.0
07/02/2019 17:00:00.000000,0.2,9.0,34.0,18.0,6.4,0.0
07/02/2019 18:00:00.000000,0.1,5.0,41.0,18.0,6.1,0.0
07/02/2019 19:00:00.000000,0.1,4.0,55.0,17.0,5.7,0.0
07/02/2019 20:00:00.000000,0.1,4.0,54.0,17.0,5.4,0.0
07/02/2019 21:00:00.000000,0.2,13.0,50.0,19.0,5.5,0.0
07/02/2019 22:00:00.000000,0.1,10.0,49.0,16.0,4.9,0.0
07/02/2019 23:00:00.000000,0.1,8.0,51.0,14.0,4.5,0.0
07/03/2019 00:00:00.000000,0.1,6.0,51.0,13.0,4.3,0.0
07/03/2019 01:00:00.000000,0.1,4.0,50.0,12.0,3.8,0.0
07/03/2019 02:00:00.000000,0.1,7.0,47.0,11.0,3.8,0.0
07/03/2019 03:00:00.000000,0.2,26.0,38.0,14.0,4.6,0.0
07/03/2019 04:00:00.000000,0.4,,13.0,16.0,5.4,0.0
07/03/2019 05:00:00.000000,0.5,32.0,8.0,19.0,6.6,0.0
07/03/2019 06:00:00.000000,0.3,16.0,22.0,20.0,6.9,0.0
07/03/2019 07:00:00.000000,0.3,15.0,19.0,17.0,6.7,
07/03/2019 08:00:00.000000,0.3,18.0,19.0,17.0,6.7,0.0
07/03/2019 09:00:00.000000,0.2,14.0,15.0,16.0,6.6,0.0
07/03/2019 10:00:00.000000,0.1,13.0,17.0,15.0,6.0,0.0
07/03/2019 11:00:00.000000,0.2,14.0,15.0,15.0,5.8,0.0
07/03/2019 12:00:00.000000,0.2,18.0,14.0,16.0,6.0,0.0
07/03/2019 13:00:00.000000,0.2,15.0,19.0,17.0,6.1,0.0
07/03/2019 14:00:00.000000,0.2,12.0,25.0,17.0,5.9,0.0
07/03/2019 15:00:00.000000,0.2,13.0,25.0,17.0,5.7,0.0
07/03/2019 16:00:00.000000,0.2,10.0,29.0,20.0,5.4,0.0
07/03/2019 17:00:00.000000,0.1,5.0,37.0,23.0,5.0,0.0
07/03/2019 18:00:00.000000,0.1,5.0,50.0,29.0,4.6,0.0
07/03/2019 19:00:00.000000,0.1,5.0,46.0,22.0,4.6,0.0
07/03/2019 20:00:00.000000,0.1,5.0,50.0,18.0,4.2,0.0
07/03/2019 21:00:00.000000,0.1,6.0,51.0,16.0,4.1,0.0
07/03/2019 22:00:00.000000,0.1,8.0,51.0,16.0,4.0,0.0
07/03/2019 23:00:00.000000,0.1,5.0,51.0,17.0,3.9,0.0
07/04/2019 00:00:00.000000,0.1,6.0,50.0,15.0,3.9,0.0
07/04/2019 01:00:00.000000,0.1,11.0,48.0,16.0,3.9,0.0
07/04/2019 02:00:00.000000,0.1,11.0,47.0,17.0,4.2,0.0
07/04/2019 03:00:00.000000,0.1,6.0,45.0,17.0,4.3,0.0
07/04/2019 04:00:00.000000,0.1,,43.0,16.0,4.7,0.0
07/04/2019 05:00:00.000000,0.1,6.0,41.0,15.0,4.7,0.0
07/04/2019 06:00:00.000000,0.1,8.0,38.0,16.0,4.8,0.0
07/04/2019 07:00:00.000000,0.2,11.0,30.0,16.0,5.3,
07/04/2019 08:00:00.000000,0.2,14.0,31.0,17.0,6.3,0.0
07/04/2019 09:00:00.000000,0.2,14.0,24.0,18.0,6.6,0.0
07/04/2019 10:00:00.000000,0.2,17.0,15.0,17.0,6.5,0.0
07/04/2019 11:00:00.000000,0.1,11.0,20.0,19.0,6.1,0.0
07/04/2019 12:00:00.000000,0.1,5.0,21.0,19.0,6.1,0.0
07/04/2019 13:00:00.000000,0.1,4.0,24.0,19.0,6.3,0.0
07/04/2019 14:00:00.000000,0.1,3.0,28.0,20.0,6.8,0.0
07/04/2019 15:00:00.000000,0.1,5.0,32.0,22.0,7.9,0.0
07/04/2019 16:00:00.000000,0.1,5.0,35.0,26.0,8.8,0.0
07/04/2019 17:00:00.000000,0.1,4.0,42.0,26.0,9.3,0.0
07/04/2019 18:00:00.000000,0.1,5.0,46.0,28.0,11.1,0.0
07/04/2019 19:00:00.000000,0.1,6.0,52.0,32.0,12.4,0.0
07/04/2019 20:00:00.000000,,,51.0,32.0,12.4,
07/05/2019 16:00:00.000000,0.1,10.0,29.0,21.0,8.9,0.0
07/05/2019 17:00:00.000000,0.1,12.0,34.0,25.0,11.3,1.0
07/05/2019 18:00:00.000000,0.1,11.0,38.0,29.0,13.2,0.0
07/05/2019 19:00:00.000000,0.1,6.0,52.0,27.0,12.9,0.0
07/05/2019 20:00:00.000000,0.1,7.0,49.0,28.0,13.3,0.0
07/05/2019 21:00:00.000000,0.1,10.0,57.0,28.0,12.0,0.0
07/05/2019 22:00:00.000000,0.2,11.0,50.0,28.0,10.2,0.0
07/05/2019 23:00:00.000000,0.2,11.0,51.0,28.0,10.2,0.0
07/06/2019 00:00:00.000000,,,45.0,28.0,9.0,
07/06/2019 01:00:00.000000,,,44.0,24.0,7.7,
07/06/2019 02:00:00.000000,0.1,9.0,39.0,20.0,6.8,0.0
07/06/2019 03:00:00.000000,0.2,11.0,34.0,19.0,7.3,0.0
07/06/2019 04:00:00.000000,0.2,,30.0,19.0,7.8,0.0
07/06/2019 05:00:00.000000,0.2,10.0,30.0,18.0,7.9,0.0
07/06/2019 06:00:00.000000,0.1,12.0,30.0,17.0,7.2,0.0
07/06/2019 07:00:00.000000,,,30.0,17.0,7.2,
07/06/2019 09:00:00.000000,0.2,10.0,17.0,17.0,7.6,0.0
07/06/2019 10:00:00.000000,0.1,6.0,19.0,17.0,7.3,0.0
07/06/2019 11:00:00.000000,0.2,8.0,16.0,16.0,7.0,0.0
07/06/2019 12:00:00.000000,0.2,18.0,16.0,18.0,7.2,0.0
07/06/2019 13:00:00.000000,0.1,8.0,16.0,19.0,7.2,0.0
07/06/2019 14:00:00.000000,,,28.0,19.0,7.3,
07/06/2019 16:00:00.000000,,,35.0,19.0,7.5,
07/06/2019 17:00:00.000000,0.1,5.0,47.0,19.0,7.4,0.0
07/06/2019 18:00:00.000000,0.1,3.0,49.0,17.0,7.1,0.0
07/06/2019 19:00:00.000000,0.1,3.0,47.0,17.0,6.9,0.0
07/06/2019 20:00:00.000000,0.1,6.0,49.0,17.0,6.9,0.0
07/06/2019 21:00:00.000000,0.2,6.0,50.0,18.0,7.1,0.0
