InstrumentName, Chatfield Park,
StartTime, 2019-07-01 00:00:00,
EndTime, 2019-07-31 23:59:59,
Date,O3,PM2.5
07/13/2019 21:00:00.000000,55.0,6.3
07/13/2019 22:00:00.000000,56.0,7.2
07/13/2019 23:00:00.000000,54.0,6.6
07/14/2019 00:00:00.000000,53.0,6.8
07/14/2019 01:00:00.000000,53.0,6.2
07/14/2019 02:00:00.000000,51.0,4.8
07/14/2019 03:00:00.000000,47.0,6.4
07/14/2019 04:00:00.000000,43.0,7.8
07/14/2019 05:00:00.000000,37.0,7.5
07/14/2019 06:00:00.000000,35.0,7.8
07/14/2019 07:00:00.000000,36.0,6.0
07/14/2019 08:00:00.000000,34.0,6.0
07/14/2019 09:00:00.000000,34.0,5.6
07/14/2019 10:00:00.000000,35.0,5.2
07/14/2019 11:00:00.000000,34.0,5.1
07/14/2019 12:00:00.000000,33.0,5.3
07/14/2019 13:00:00.000000,32.0,5.3
07/14/2019 14:00:00.000000,33.0,5.5
07/14/2019 15:00:00.000000,36.0,5.3
07/14/2019 16:00:00.000000,41.0,5.2
07/14/2019 17:00:00.000000,48.0,5.3
07/14/2019 18:00:00.000000,50.0,5.3
07/14/2019 19:00:00.000000,52.0,5.4
07/14/2019 20:00:00.000000,55.0,5.4
07/14/2019 21:00:00.000000,52.0,5.3
07/14/2019 22:00:00.000000,54.0,5.3
07/14/2019 23:00:00.000000,54.0,5.8
07/15/2019 00:00:00.000000,54.0,5.8
07/15/2019 01:00:00.000000,54.0,5.8
07/15/2019 19:00:00.000000,61.0,5.5
07/15/2019 20:00:00.000000,61.0,6.2
07/15/2019 21:00:00.000000,58.0,8.7
07/15/2019 22:00:00.000000,57.0,11.2
07/15/2019 23:00:00.000000,55.0,12.0
07/16/2019 00:00:00.000000,53.0,10.2
07/16/2019 01:00:00.000000,48.0,9.2
07/16/2019 02:00:00.000000,43.0,10.6
07/16/2019 03:00:00.000000,43.0,6.9
07/16/2019 04:00:00.000000,40.0,7.3
07/16/2019 05:00:00.000000,41.0,7.2
07/16/2019 06:00:00.000000,39.0,7.1
07/16/2019 07:00:00.000000,40.0,6.5
07/16/2019 08:00:00.000000,40.0,6.5
07/16/2019 09:00:00.000000,35.0,5.9
07/16/2019 10:00:00.000000,30.0,5.6
07/16/2019 11:00:00.000000,27.0,5.5
07/16/2019 12:00:00.000000,25.0,5.5
07/16/2019 13:00:00.000000,23.0,5.7
07/16/2019 14:00:00.000000,27.0,5.7
07/16/2019 15:00:00.000000,31.0,5.7
07/16/2019 16:00:00.000000,31.0,5.7
07/16/2019 17:00:00.000000,48.0,5.6
07/16/2019 18:00:00.000000,57.0,6.9
07/16/2019 19:00:00.000000,74.0,7.4
07/16/2019 20:00:00.000000,70.0,6.8
07/16/2019 21:00:00.000000,64.0,6.0
07/16/2019 22:00:00.000000,64.0,4.7
07/16/2019 23:00:00.000000,60.0,4.3
07/17/2019 00:00:00.000000,59.0,4.3
07/17/2019 01:00:00.000000,55.0,4.3
07/17/2019 02:00:00.000000,51.0,4.5
07/17/2019 03:00:00.000000,50.0,4.4
07/17/2019 04:00:00.000000,50.0,4.3
07/17/2019 05:00:00.000000,48.0,4.2
07/17/2019 06:00:00.000000,47.0,4.2
07/17/2019 07:00:00.000000,48.0,4.1
07/17/2019 08:00:00.000000,47.0,4.1
07/17/2019 09:00:00.000000,47.0,4.2
07/17/2019 10:00:00.000000,46.0,4.2
07/17/2019 11:00:00.000000,45.0,4.1
07/17/2019 12:00:00.000000,46.0,4.0
07/17/2019 13:00:00.000000,44.0,4.5
07/17/2019 14:00:00.000000,45.0,5.1
07/17/2019 15:00:00.000000,45.0,5.3
07/17/2019 16:00:00.000000,46.0,6.5
07/17/2019 17:00:00.000000,47.0,6.9
07/17/2019 18:00:00.000000,50.0,7.7
07/17/2019 20:00:00.000000,63.0,8.2
07/17/2019 21:00:00.000000,62.0,8.2
07/17/2019 22:00:00.000000,59.0,8.3
07/17/2019 23:00:00.000000,60.0,8.3
07/18/2019 00:00:00.000000,61.0,8.2
07/18/2019 01:00:00.000000,58.0,7.8
07/18/2019 02:00:00.000000,57.0,7.3
07/18/2019 03:00:00.000000,55.0,7.4
07/18/2019 04:00:00.000000,51.0,7.3
07/18/2019 05:00:00.000000,46.0,7.3
07/18/2019 06:00:00.000000,43.0,7.3
07/18/2019 07:00:00.000000,38.0,7.2
07/18/2019 08:00:00.000000,37.0,7.2
07/18/2019 09:00:00.000000,36.0,7.4
07/18/2019 10:00:00.000000,36.0,7.4
07/18/2019 11:00:00.000000,37.0,7.3
07/18/2019 12:00:00.000000,32.0,7.6
07/18/2019 13:00:00.000000,33.0,7.7
07/18/2019 14:00:00.000000,34.0,7.7
07/18/2019 15:00:00.000000,39.0,8.0
07/18/2019 16:00:00.000000,46.0,8.0
07/18/2019 17:00:00.000000,50.0,7.7
07/18/2019 18:00:00.000000,54.0,6.9
07/18/2019 19:00:00.000000,54.0,6.4
07/18/2019 20:00:00.000000,58.0,6.4
07/18/2019 21:00:00.000000,61.0,6.3
07/18/2019 22:00:00.000000,64.0,6.3
07/18/2019 23:00:00.000000,67.0,6.4
07/19/2019 00:00:00.000000,71.0,6.4
07/19/2019 01:00:00.000000,71.0,6.9
07/19/2019 02:00:00.000000,66.0,7.6
07/19/2019 03:00:00.000000,60.0,11.0
07/19/2019 04:00:00.000000,58.0,9.5
07/19/2019 05:00:00.000000,51.0,7.8
07/19/2019 06:00:00.000000,42.0,6.7
07/19/2019 07:00:00.000000,40.0,6.1
07/19/2019 08:00:00.000000,40.0,5.7
07/19/2019 09:00:00.000000,37.0,5.3
07/19/2019 10:00:00.000000,36.0,5.2
07/19/2019 11:00:00.000000,36.0,5.2
07/22/2019 18:00:00.000000,59.0,6.1
07/22/2019 19:00:00.000000,58.0,6.0
07/22/2019 20:00:00.000000,71.0,6.1
07/22/2019 21:00:00.000000,74.0,8.1
07/22/2019 22:00:00.000000,76.0,9.7
07/22/2019 23:00:00.000000,75.0,9.6
07/23/2019 00:00:00.000000,72.0,8.2
07/23/2019 01:00:00.000000,65.0,6.9
07/23/2019 02:00:00.000000,62.0,6.5
07/23/2019 03:00:00.000000,50.0,6.6
07/23/2019 04:00:00.000000,45.0,5.9
07/23/2019 05:00:00.000000,45.0,5.3
07/23/2019 06:00:00.000000,45.0,4.9
07/23/2019 07:00:00.000000,43.0,4.9
07/23/2019 08:00:00.000000,38.0,4.9
07/23/2019 09:00:00.000000,31.0,5.8
07/23/2019 10:00:00.000000,29.0,5.6
07/23/2019 11:00:00.000000,25.0,5.6
07/23/2019 12:00:00.000000,25.0,5.7
07/23/2019 13:00:00.000000,25.0,6.0
07/23/2019 14:00:00.000000,26.0,6.4
07/23/2019 15:00:00.000000,30.0,6.9
07/23/2019 16:00:00.000000,35.0,7.3
07/23/2019 17:00:00.000000,50.0,7.4
07/23/2019 18:00:00.000000,63.0,7.5
07/23/2019 19:00:00.000000,61.0,7.8
07/23/2019 20:00:00.000000,69.0,8.2
07/23/2019 21:00:00.000000,78.0,8.1
07/23/2019 22:00:00.000000,84.0,9.9
07/23/2019 23:00:00.000000,92.0,10.0
07/24/2019 00:00:00.000000,83.0,8.8
07/24/2019 01:00:00.000000,78.0,8.0
07/24/2019 02:00:00.000000,73.0,8.3
07/24/2019 03:00:00.000000,64.0,7.9
07/24/2019 04:00:00.000000,52.0,7.6
07/24/2019 05:00:00.000000,50.0,7.2
07/24/2019 06:00:00.000000,47.0,7.2
07/24/2019 07:00:00.000000,46.0,7.5
07/24/2019 08:00:00.000000,46.0,7.6
07/24/2019 09:00:00.000000,40.0,7.5
07/24/2019 10:00:00.000000,37.0,7.4
07/24/2019 11:00:00.000000,29.0,7.3
07/24/2019 12:00:00.000000,31.0,7.3
07/24/2019 13:00:00.000000,29.0,7.6
07/24/2019 14:00:00.000000,33.0,7.6
07/24/2019 15:00:00.000000,36.0,7.5
07/24/2019 16:00:00.000000,42.0,7.1
07/24/2019 17:00:00.000000,55.0,6.6
07/24/2019 18:00:00.000000,54.0,6.0
07/24/2019 19:00:00.000000,58.0,5.7
07/24/2019 20:00:00.000000,63.0,5.6
07/24/2019 21:00:00.000000,62.0,5.7
07/24/2019 22:00:00.000000,61.0,6.1
07/24/2019 23:00:00.000000,61.0,5.9
07/25/2019 00:00:00.000000,61.0,5.0
07/25/2019 01:00:00.000000,61.0,6.1
07/25/2019 02:00:00.000000,60.0,5.6
07/25/2019 03:00:00.000000,59.0,5.2
07/25/2019 04:00:00.000000,57.0,5.0
07/25/2019 05:00:00.000000,55.0,4.4
07/25/2019 06:00:00.000000,49.0,4.2
07/25/2019 07:00:00.000000,46.0,4.1
07/25/2019 08:00:00.000000,45.0,4.1
07/25/2019 09:00:00.000000,40.0,4.1
07/25/2019 10:00:00.000000,40.0,4.1
07/25/2019 18:00:00.000000,61.0,
07/25/2019 19:00:00.000000,59.0,4.8
07/25/2019 20:00:00.000000,58.0,4.6
07/25/2019 21:00:00.000000,61.0,4.9
07/25/2019 22:00:00.000000,60.0,5.0
07/25/2019 23:00:00.000000,59.0,4.9
07/26/2019 00:00:00.000000,59.0,4.8
07/26/2019 01:00:00.000000,58.0,4.4
07/26/2019 02:00:00.000000,54.0,4.5
07/26/2019 03:00:00.000000,49.0,7.1
07/26/2019 04:00:00.000000,45.0,5.6
07/26/2019 05:00:00.000000,42.0,5.1
07/26/2019 06:00:00.000000,39.0,4.5
07/26/2019 07:00:00.000000,36.0,4.0
07/26/2019 08:00:00.000000,34.0,4.0
07/26/2019 09:00:00.000000,32.0,4.0
07/26/2019 10:00:00.000000,31.0,3.9
07/26/2019 11:00:00.000000,28.0,4.0
07/26/2019 12:00:00.000000,27.0,4.1
07/26/2019 13:00:00.000000,25.0,4.2
07/26/2019 14:00:00.000000,27.0,4.4
07/26/2019 15:00:00.000000,30.0,4.8
07/26/2019 16:00:00.000000,35.0,4.8
07/26/2019 17:00:00.000000,43.0,5.0
07/26/2019 18:00:00.000000,50.0,5.3
07/26/2019 19:00:00.000000,55.0,5.2
07/26/2019 20:00:00.000000,64.0,5.2
07/26/2019 21:00:00.000000,61.0,5.0
07/26/2019 22:00:00.000000,59.0,5.3
07/26/2019 23:00:00.000000,57.0,5.5
07/27/2019 00:00:00.000000,57.0,5.4
07/27/2019 01:00:00.000000,55.0,5.4
07/27/2019 02:00:00.000000,53.0,5.4
07/27/2019 03:00:00.000000,53.0,5.3
07/27/2019 04:00:00.000000,51.0,5.3
07/27/2019 05:00:00.000000,50.0,5.2
07/27/2019 06:00:00.000000,49.0,5.0
07/27/2019 07:00:00.000000,50.0,4.8
07/27/2019 08:00:00.000000,46.0,4.7
07/27/2019 09:00:00.000000,44.0,4.8
07/27/2019 10:00:00.000000,41.0,5.0
07/27/2019 11:00:00.000000,38.0,5.1
07/27/2019 12:00:00.000000,35.0,5.6
07/27/2019 13:00:00.000000,31.0,6.0
07/27/2019 14:00:00.000000,32.0,6.2
07/27/2019 15:00:00.000000,35.0,6.4
07/27/2019 16:00:00.000000,40.0,6.5
07/27/2019 17:00:00.000000,49.0,6.7
07/27/2019 18:00:00.000000,55.0,6.8
07/27/2019 19:00:00.000000,55.0,6.3
07/27/2019 20:00:00.000000,57.0,5.3
07/27/2019 21:00:00.000000,59.0,5.0
07/27/2019 22:00:00.000000,59.0,5.1
07/27/2019 23:00:00.000000,58.0,5.1
07/28/2019 00:00:00.000000,58.0,4.7
