InstrumentName, Wash Park West,,
StartTime, 2019-07-01 00:00:00,,
EndTime, 2019-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2019 02:50:15.039000,4.262626262626262,45.0,80.0
07/01/2019 02:52:15.101000,4.040404040404041,45.0,80.0
07/01/2019 02:54:15.061000,4.308080808080808,45.0,80.0
07/01/2019 02:56:15.053000,4.272727272727273,45.0,80.0
07/01/2019 02:58:15.112000,4.44949494949495,45.0,80.0
07/01/2019 03:00:15.068000,4.277777777777779,45.0,80.0
07/01/2019 03:02:15.064000,4.838383838383838,44.0,80.0
07/01/2019 03:04:15.123000,4.308080808080808,44.0,80.0
07/01/2019 03:06:15.084000,4.055555555555555,44.0,80.0
07/01/2019 03:08:15.094000,4.171717171717171,43.0,80.0
07/01/2019 03:10:15.095000,4.186868686868687,43.0,80.0
07/01/2019 03:12:15.101000,4.474747474747475,43.0,80.0
07/01/2019 03:14:15.141000,4.712121212121212,43.0,80.0
07/01/2019 03:16:15.095000,4.202020202020202,43.0,80.0
07/01/2019 03:18:15.066000,4.257575757575758,43.0,80.0
07/01/2019 03:20:15.099000,4.46969696969697,44.0,80.0
07/01/2019 03:22:15.139000,4.404040404040404,44.0,80.0
07/01/2019 03:24:15.100000,4.666666666666667,44.0,80.0
07/01/2019 03:26:15.099000,4.792929292929293,44.0,80.0
07/01/2019 03:30:15.090000,4.858585858585858,44.0,80.0
07/01/2019 03:32:15.102000,4.833333333333334,45.0,80.0
07/01/2019 03:34:15.089000,4.666666666666667,45.0,80.0
07/01/2019 03:36:15.129000,4.575757575757576,45.0,80.0
07/01/2019 03:38:15.395000,4.580808080808081,46.0,80.0
07/01/2019 03:40:15.123000,4.717171717171717,46.0,80.0
07/01/2019 03:42:15.157000,4.954545454545455,46.0,80.0
07/01/2019 03:44:15.153000,4.777777777777779,46.0,80.0
07/01/2019 03:46:15.172000,5.166666666666667,45.0,79.0
07/01/2019 03:48:15.092000,4.611111111111112,46.0,79.0
07/01/2019 03:50:15.223000,4.9898989898989905,46.0,79.0
07/01/2019 03:52:15.111000,5.151515151515151,46.0,79.0
07/01/2019 03:54:15.149000,4.853535353535353,46.0,79.0
07/01/2019 03:56:15.102000,4.348484848484849,46.0,80.0
07/01/2019 03:58:15.152000,5.1767676767676765,46.0,80.0
07/01/2019 04:00:15.115000,5.237373737373737,46.0,80.0
07/01/2019 04:02:15.156000,5.1565656565656575,46.0,80.0
07/01/2019 04:04:15.160000,5.282828282828283,46.0,80.0
07/01/2019 04:06:15.121000,5.141414141414141,46.0,79.0
07/01/2019 04:08:15.198000,5.0353535353535355,46.0,79.0
07/01/2019 04:10:15.234000,5.02020202020202,46.0,79.0
07/01/2019 04:12:15.186000,5.267676767676767,46.0,79.0
07/01/2019 04:14:15.823000,5.065656565656566,46.0,79.0
07/01/2019 04:16:15.124000,5.202020202020202,46.0,79.0
07/01/2019 04:18:15.278000,5.267676767676767,46.0,79.0
07/01/2019 04:20:15.137000,5.52020202020202,46.0,79.0
07/01/2019 04:22:15.148000,5.505050505050505,46.0,79.0
07/01/2019 04:24:15.204000,5.404040404040404,47.0,79.0
07/01/2019 04:26:15.128000,5.080808080808081,46.0,79.0
07/01/2019 04:28:15.175000,5.484848484848484,46.0,79.0
07/01/2019 04:30:15.181000,5.9646464646464645,46.0,79.0
07/01/2019 04:32:15.155000,5.626262626262626,47.0,79.0
07/01/2019 04:34:15.162000,5.914141414141414,46.0,79.0
07/01/2019 04:36:15.163000,5.732323232323232,47.0,79.0
07/01/2019 04:38:15.490000,5.575757575757575,47.0,79.0
07/01/2019 04:40:15.184000,5.5353535353535355,47.0,79.0
07/01/2019 04:42:15.198000,5.681818181818182,47.0,79.0
07/01/2019 04:44:15.207000,5.484848484848484,47.0,79.0
07/01/2019 04:46:15.188000,5.525252525252525,47.0,79.0
07/01/2019 04:48:15.167000,5.909090909090909,47.0,79.0
07/01/2019 04:50:15.196000,5.575757575757575,47.0,79.0
07/01/2019 04:52:15.178000,5.358585858585858,47.0,79.0
07/01/2019 04:54:15.169000,5.747474747474748,47.0,79.0
07/01/2019 04:56:15.167000,5.6060606060606055,47.0,79.0
07/01/2019 04:58:15.202000,5.712121212121213,47.0,79.0
07/01/2019 05:00:15.247000,5.6313131313131315,47.0,79.0
07/01/2019 05:02:15.199000,5.838383838383839,48.0,79.0
07/01/2019 05:04:15.215000,5.474747474747475,48.0,79.0
07/01/2019 05:06:15.212000,5.853535353535354,48.0,79.0
07/01/2019 05:08:15.322000,5.641414141414141,47.0,79.0
07/01/2019 05:10:15.222000,5.590909090909091,47.0,79.0
07/01/2019 05:12:15.180000,5.57070707070707,47.0,79.0
07/01/2019 05:14:15.282000,5.666666666666667,47.0,79.0
07/01/2019 05:16:15.216000,5.757575757575758,47.0,78.0
07/01/2019 05:18:15.349000,5.676767676767677,47.0,78.0
07/01/2019 05:20:15.193000,5.91919191919192,47.0,78.0
07/01/2019 05:22:15.223000,5.429292929292929,47.0,78.0
07/01/2019 05:24:15.209000,5.5858585858585865,47.0,78.0
07/01/2019 05:26:15.300000,5.656565656565657,47.0,78.0
07/01/2019 05:28:15.253000,5.5,47.0,78.0
07/01/2019 05:30:15.233000,5.651515151515151,47.0,78.0
07/01/2019 05:32:15.243000,5.595959595959596,47.0,78.0
07/01/2019 05:34:15.366000,5.853535353535354,47.0,78.0
07/01/2019 05:36:15.266000,5.752525252525253,47.0,78.0
07/01/2019 05:38:15.704000,5.550505050505051,47.0,78.0
07/01/2019 05:40:15.243000,5.1767676767676765,47.0,78.0
07/01/2019 05:42:15.349000,5.217171717171717,47.0,78.0
07/01/2019 05:44:15.232000,5.333333333333334,47.0,78.0
07/01/2019 05:46:15.280000,5.5353535353535355,47.0,78.0
07/01/2019 05:48:15.246000,5.0353535353535355,48.0,78.0
07/01/2019 05:50:15.327000,5.434343434343434,48.0,78.0
07/01/2019 05:52:15.280000,5.015151515151515,47.0,78.0
07/01/2019 05:54:15.281000,5.348484848484849,48.0,78.0
07/01/2019 05:56:15.299000,5.449494949494949,47.0,78.0
07/01/2019 05:58:15.342000,5.02020202020202,48.0,78.0
07/01/2019 06:00:15.306000,5.505050505050505,48.0,78.0
07/01/2019 06:02:15.301000,5.5606060606060606,48.0,78.0
07/01/2019 06:04:15.332000,5.282828282828283,48.0,78.0
07/01/2019 06:06:15.325000,5.181818181818182,49.0,78.0
07/01/2019 06:08:15.275000,5.348484848484849,49.0,78.0
07/01/2019 06:10:15.298000,6.348484848484849,48.0,78.0
07/01/2019 06:12:15.273000,5.803030303030303,49.0,78.0
07/01/2019 06:14:15.323000,5.479797979797979,49.0,78.0
07/01/2019 06:16:15.274000,5.7727272727272725,49.0,78.0
07/01/2019 06:18:15.285000,5.888888888888889,49.0,78.0
07/01/2019 06:20:15.322000,6.3686868686868685,50.0,78.0
07/01/2019 06:22:15.292000,5.777777777777778,49.0,78.0
07/01/2019 06:24:15.298000,6.090909090909091,49.0,77.0
07/01/2019 06:26:15.320000,6.055555555555555,49.0,77.0
07/01/2019 06:28:15.322000,5.651515151515151,49.0,78.0
07/01/2019 06:30:15.358000,6.040404040404041,49.0,78.0
07/01/2019 06:32:15.268000,5.661616161616162,49.0,78.0
07/01/2019 06:34:15.317000,5.722222222222222,49.0,78.0
07/01/2019 06:36:15.333000,5.823232323232323,48.0,77.0
07/01/2019 06:38:15.607000,5.686868686868687,48.0,77.0
07/01/2019 06:40:15.312000,5.98989898989899,48.0,77.0
07/01/2019 06:42:15.314000,5.696969696969696,49.0,77.0
07/01/2019 06:44:15.337000,6.065656565656566,49.0,78.0
07/01/2019 06:46:15.351000,6.095959595959596,49.0,78.0
07/01/2019 06:48:15.309000,6.000000000000001,49.0,78.0
07/01/2019 06:50:15.336000,5.858585858585858,49.0,78.0
07/01/2019 06:52:15.381000,5.540404040404041,48.0,77.0
07/01/2019 06:54:15.327000,5.474747474747475,48.0,77.0
07/01/2019 06:56:15.336000,5.757575757575758,49.0,77.0
07/01/2019 06:58:15.279000,5.742424242424242,49.0,78.0
07/01/2019 07:00:15.340000,5.601010101010101,49.0,78.0
07/01/2019 07:02:15.375000,5.555555555555555,48.0,78.0
07/01/2019 07:04:15.367000,5.601010101010101,48.0,77.0
07/01/2019 07:06:15.385000,5.636363636363637,48.0,77.0
07/01/2019 07:08:15.334000,5.843434343434343,48.0,77.0
07/01/2019 07:10:15.376000,5.621212121212122,47.0,77.0
07/01/2019 07:12:15.354000,5.494949494949496,47.0,77.0
07/01/2019 07:14:15.391000,4.974747474747475,47.0,77.0
07/01/2019 07:16:15.365000,4.702020202020202,46.0,78.0
07/01/2019 07:18:15.332000,4.515151515151515,46.0,78.0
07/01/2019 07:20:15.373000,4.641414141414141,46.0,78.0
07/01/2019 07:22:15.362000,4.843434343434343,47.0,78.0
07/01/2019 07:24:15.389000,4.727272727272727,47.0,78.0
07/01/2019 07:26:15.342000,4.792929292929293,47.0,78.0
07/01/2019 07:28:15.389000,4.696969696969697,47.0,78.0
07/01/2019 07:30:15.375000,5.161616161616162,46.0,78.0
07/01/2019 07:32:15.372000,5.898989898989899,46.0,77.0
07/01/2019 07:34:15.423000,6.3686868686868685,46.0,77.0
07/01/2019 07:36:15.407000,9.191919191919192,46.0,77.0
07/01/2019 07:38:15.815000,10.424242424242424,46.0,78.0
07/01/2019 07:40:15.518000,11.106060606060606,46.0,77.0
07/01/2019 07:42:15.400000,11.383838383838384,45.0,77.0
07/01/2019 07:44:15.374000,16.1969696969697,46.0,77.0
07/01/2019 07:46:15.452000,18.89393939393939,45.0,77.0
07/01/2019 07:48:15.479000,21.0959595959596,45.0,78.0
07/01/2019 07:50:15.531000,20.44949494949495,44.0,78.0
07/01/2019 07:52:15.432000,16.005050505050505,45.0,77.0
07/01/2019 07:54:15.446000,14.93939393939394,44.0,77.0
07/01/2019 07:56:17.638000,14.777777777777779,45.0,77.0
07/01/2019 07:58:15.431000,14.292929292929294,45.0,77.0
07/01/2019 08:00:15.397000,13.419191919191919,45.0,77.0
07/01/2019 08:02:15.364000,12.863636363636363,45.0,77.0
07/01/2019 08:06:15.385000,12.126262626262626,46.0,77.0
07/01/2019 08:08:15.368000,10.439393939393941,46.0,77.0
07/01/2019 08:10:15.592000,10.121212121212121,46.0,77.0
07/01/2019 08:12:15.466000,9.106060606060607,46.0,77.0
07/01/2019 08:14:15.373000,8.54040404040404,46.0,77.0
07/01/2019 08:16:15.374000,8.313131313131313,46.0,77.0
07/01/2019 08:18:15.389000,7.459595959595959,46.0,77.0
07/01/2019 08:20:15.462000,7.196969696969697,47.0,77.0
07/01/2019 08:22:15.404000,7.03030303030303,47.0,77.0
07/01/2019 08:24:15.473000,6.611111111111111,46.0,76.0
07/01/2019 08:26:15.488000,6.449494949494949,47.0,77.0
07/01/2019 08:28:15.413000,6.626262626262626,47.0,77.0
07/01/2019 08:30:16.129000,6.565656565656566,47.0,77.0
07/01/2019 08:32:15.386000,6.3686868686868685,47.0,77.0
07/01/2019 08:34:15.487000,5.2727272727272725,47.0,77.0
07/01/2019 08:36:15.418000,5.636363636363637,47.0,77.0
07/01/2019 08:38:15.645000,5.909090909090909,47.0,77.0
07/01/2019 08:40:15.506000,5.646464646464646,47.0,77.0
07/01/2019 08:42:15.728000,5.681818181818182,48.0,77.0
07/01/2019 08:44:15.420000,5.611111111111111,48.0,77.0
07/01/2019 08:46:15.475000,5.146464646464646,48.0,77.0
07/01/2019 08:48:15.404000,4.838383838383838,48.0,77.0
07/01/2019 08:50:15.397000,4.9393939393939394,48.0,77.0
07/01/2019 08:52:15.444000,5.1060606060606055,49.0,77.0
07/01/2019 08:54:15.435000,4.893939393939394,49.0,77.0
07/01/2019 08:56:15.454000,5.217171717171717,49.0,77.0
07/01/2019 08:58:15.448000,5.030303030303031,50.0,77.0
07/01/2019 09:00:15.406000,4.616161616161617,50.0,77.0
07/01/2019 09:02:15.442000,4.8181818181818175,50.0,77.0
07/01/2019 09:04:15.438000,4.954545454545455,50.0,77.0
07/01/2019 09:06:15.412000,5.303030303030303,50.0,77.0
07/01/2019 09:08:15.447000,5.52020202020202,49.0,77.0
07/01/2019 09:10:15.431000,4.641414141414141,49.0,77.0
07/01/2019 09:12:15.498000,5.085858585858586,49.0,76.0
07/01/2019 09:14:15.465000,5.015151515151515,49.0,76.0
07/01/2019 09:16:15.517000,5.121212121212121,50.0,76.0
07/01/2019 09:18:15.422000,4.6060606060606055,50.0,76.0
07/01/2019 09:20:15.500000,5.196969696969696,50.0,76.0
07/01/2019 09:22:15.478000,5.232323232323232,50.0,76.0
07/01/2019 09:24:15.470000,5.328282828282829,50.0,76.0
07/01/2019 09:26:15.477000,5.121212121212121,51.0,76.0
07/01/2019 09:28:15.461000,5.308080808080808,51.0,76.0
07/01/2019 09:30:15.497000,5.277777777777778,51.0,76.0
07/01/2019 09:32:15.425000,5.368686868686869,51.0,76.0
07/01/2019 09:34:15.506000,5.1565656565656575,51.0,76.0
07/01/2019 09:36:15.434000,4.828282828282829,51.0,75.0
07/01/2019 09:38:15.746000,5.257575757575758,52.0,75.0
07/01/2019 09:40:15.583000,5.858585858585858,52.0,75.0
07/01/2019 09:42:15.475000,5.757575757575758,52.0,75.0
07/01/2019 09:44:15.533000,9.090909090909092,51.0,75.0
07/01/2019 09:46:15.454000,9.601010101010102,50.0,75.0
07/01/2019 09:48:15.591000,9.828282828282829,49.0,75.0
07/01/2019 09:50:15.606000,8.93939393939394,49.0,75.0
07/01/2019 09:52:15.494000,8.227272727272727,48.0,75.0
07/01/2019 09:54:15.511000,7.782828282828283,48.0,75.0
07/01/2019 09:56:15.526000,6.737373737373737,48.0,75.0
07/01/2019 09:58:15.510000,6.333333333333333,48.0,75.0
07/01/2019 10:00:15.490000,4.904040404040405,48.0,74.0
07/01/2019 10:02:15.506000,4.621212121212121,48.0,74.0
07/01/2019 10:04:15.519000,4.626262626262626,48.0,74.0
07/01/2019 10:06:15.489000,4.484848484848485,48.0,74.0
07/01/2019 10:08:15.510000,3.8383838383838382,49.0,74.0
07/01/2019 10:10:15.495000,3.9696969696969697,49.0,74.0
07/01/2019 10:12:15.538000,4.116161616161617,49.0,74.0
07/01/2019 10:14:15.558000,3.7525252525252526,49.0,74.0
07/01/2019 10:16:15.507000,3.888888888888889,49.0,74.0
07/01/2019 10:18:15.538000,4.656565656565657,49.0,74.0
07/01/2019 10:20:15.475000,4.313131313131313,49.0,74.0
07/01/2019 10:22:15.552000,4.580808080808081,50.0,74.0
07/01/2019 10:24:15.517000,4.651515151515152,50.0,74.0
07/01/2019 10:26:15.525000,4.762626262626262,50.0,74.0
07/01/2019 10:28:16.654000,5.095959595959596,50.0,74.0
