InstrumentName, CAMP,,,,,
StartTime, 2019-07-01 00:00:00,,,,,
EndTime, 2019-07-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
07/01/2019 00:00:00.000000,0.3,15.0,44.0,14.0,6.4,0.0
07/01/2019 01:00:00.000000,0.2,11.0,39.0,12.0,6.5,0.0
07/01/2019 02:00:00.000000,0.3,18.0,37.0,12.0,6.8,0.0
07/01/2019 03:00:00.000000,0.2,12.0,33.0,11.0,6.9,0.0
07/01/2019 04:00:00.000000,0.3,14.0,28.0,11.0,7.3,0.0
07/01/2019 05:00:00.000000,0.2,,25.0,12.0,7.6,0.0
07/01/2019 06:00:00.000000,0.2,13.0,23.0,10.0,6.9,0.0
07/01/2019 07:00:00.000000,0.1,8.0,19.0,8.0,7.0,0.0
07/01/2019 08:00:00.000000,0.2,12.0,19.0,8.0,8.4,0.0
07/01/2019 09:00:00.000000,0.2,16.0,13.0,10.0,7.8,0.0
07/01/2019 10:00:00.000000,0.2,9.0,16.0,11.0,8.5,0.0
07/01/2019 11:00:00.000000,0.2,19.0,14.0,14.0,9.6,0.0
07/01/2019 12:00:00.000000,0.4,27.0,13.0,22.0,11.5,0.0
07/01/2019 13:00:00.000000,0.4,23.0,11.0,23.0,11.0,0.0
07/01/2019 14:00:00.000000,0.5,23.0,11.0,25.0,11.2,0.0
07/01/2019 15:00:00.000000,0.3,16.0,16.0,26.0,10.0,0.0
07/01/2019 16:00:00.000000,0.3,16.0,21.0,22.0,8.6,0.0
07/01/2019 17:00:00.000000,0.3,18.0,30.0,22.0,8.6,0.0
07/01/2019 18:00:00.000000,0.2,10.0,37.0,18.0,7.2,0.0
07/01/2019 19:00:00.000000,0.2,6.0,43.0,14.0,5.5,0.0
07/01/2019 20:00:00.000000,0.2,7.0,52.0,12.0,4.9,0.0
07/01/2019 21:00:00.000000,0.2,8.0,48.0,16.0,6.1,
07/01/2019 22:00:00.000000,0.2,10.0,42.0,15.0,6.1,0.0
07/01/2019 23:00:00.000000,0.2,14.0,39.0,15.0,5.8,0.0
07/02/2019 00:00:00.000000,0.3,15.0,36.0,15.0,5.6,0.0
07/02/2019 01:00:00.000000,0.3,16.0,34.0,17.0,5.9,0.0
07/02/2019 02:00:00.000000,0.4,22.0,27.0,18.0,6.4,0.0
07/02/2019 03:00:00.000000,0.2,10.0,31.0,17.0,6.4,0.0
07/02/2019 04:00:00.000000,0.1,8.0,32.0,12.0,5.4,0.0
07/02/2019 05:00:00.000000,0.1,,32.0,10.0,5.1,0.0
07/02/2019 06:00:00.000000,0.1,7.0,30.0,9.0,5.0,0.0
07/02/2019 07:00:00.000000,0.2,9.0,28.0,9.0,5.1,0.0
07/02/2019 08:00:00.000000,0.1,14.0,24.0,9.0,5.2,0.0
07/02/2019 09:00:00.000000,0.1,16.0,24.0,9.0,5.9,0.0
07/02/2019 10:00:00.000000,0.1,8.0,20.0,9.0,6.4,0.0
07/02/2019 11:00:00.000000,0.2,12.0,17.0,10.0,7.3,0.0
07/02/2019 12:00:00.000000,0.3,15.0,16.0,12.0,7.3,0.0
07/02/2019 13:00:00.000000,0.3,14.0,16.0,16.0,8.7,0.0
07/02/2019 14:00:00.000000,0.3,9.0,17.0,14.0,7.7,0.0
07/02/2019 15:00:00.000000,0.3,10.0,21.0,13.0,6.6,0.0
07/02/2019 16:00:00.000000,0.2,7.0,37.0,11.0,5.5,0.0
07/02/2019 17:00:00.000000,0.2,7.0,34.0,10.0,4.7,0.0
07/02/2019 18:00:00.000000,0.2,6.0,41.0,9.0,4.0,0.0
07/02/2019 19:00:00.000000,0.2,7.0,46.0,9.0,3.6,0.0
07/02/2019 20:00:00.000000,0.2,8.0,51.0,10.0,3.7,0.0
07/02/2019 21:00:00.000000,0.3,12.0,51.0,11.0,4.1,0.0
07/02/2019 22:00:00.000000,0.2,8.0,51.0,9.0,3.7,0.0
07/02/2019 23:00:00.000000,0.2,9.0,50.0,8.0,3.3,0.0
07/03/2019 00:00:00.000000,0.2,10.0,50.0,9.0,3.2,0.0
07/03/2019 01:00:00.000000,0.3,8.0,49.0,7.0,2.7,0.0
07/03/2019 02:00:00.000000,0.2,8.0,50.0,5.0,2.3,0.0
07/03/2019 03:00:00.000000,0.3,14.0,45.0,7.0,3.3,0.0
07/03/2019 04:00:00.000000,0.4,17.0,33.0,11.0,5.2,0.0
07/03/2019 05:00:00.000000,0.5,,33.0,16.0,8.2,0.0
07/03/2019 06:00:00.000000,0.2,20.0,28.0,15.0,7.4,1.0
07/03/2019 07:00:00.000000,0.2,13.0,20.0,13.0,7.4,0.0
07/03/2019 08:00:00.000000,0.2,10.0,20.0,12.0,6.2,0.0
07/03/2019 09:00:00.000000,0.1,7.0,27.0,9.0,5.3,0.0
07/03/2019 10:00:00.000000,0.1,7.0,24.0,8.0,5.0,0.0
07/03/2019 11:00:00.000000,0.2,15.0,24.0,10.0,5.3,0.0
07/03/2019 12:00:00.000000,0.3,19.0,20.0,13.0,5.9,0.0
07/03/2019 13:00:00.000000,0.4,23.0,16.0,17.0,6.7,1.0
07/03/2019 14:00:00.000000,0.4,22.0,21.0,21.0,6.6,1.0
07/03/2019 15:00:00.000000,0.3,17.0,24.0,19.0,5.7,0.0
07/03/2019 16:00:00.000000,,,24.0,19.0,5.7,
07/03/2019 17:00:00.000000,0.2,7.0,34.0,13.0,3.6,0.0
07/03/2019 18:00:00.000000,0.2,6.0,49.0,10.0,2.8,0.0
07/03/2019 19:00:00.000000,0.3,8.0,49.0,9.0,2.8,0.0
07/03/2019 20:00:00.000000,0.2,8.0,50.0,9.0,2.2,0.0
07/03/2019 21:00:00.000000,0.3,8.0,53.0,9.0,2.2,0.0
07/03/2019 22:00:00.000000,0.2,8.0,54.0,8.0,2.0,0.0
07/03/2019 23:00:00.000000,0.2,6.0,53.0,7.0,1.8,0.0
07/04/2019 00:00:00.000000,0.3,8.0,52.0,8.0,2.3,0.0
07/04/2019 01:00:00.000000,0.2,9.0,51.0,9.0,2.4,0.0
07/04/2019 02:00:00.000000,0.2,10.0,48.0,11.0,3.1,0.0
07/04/2019 03:00:00.000000,0.2,9.0,45.0,15.0,6.0,1.0
07/04/2019 04:00:00.000000,0.2,11.0,43.0,12.0,4.7,0.0
07/04/2019 05:00:00.000000,0.2,,41.0,10.0,4.0,0.0
07/04/2019 06:00:00.000000,0.1,7.0,41.0,9.0,3.5,0.0
07/04/2019 07:00:00.000000,,,41.0,9.0,3.5,
07/04/2019 08:00:00.000000,0.2,8.0,33.0,10.0,3.9,0.0
07/04/2019 09:00:00.000000,0.2,10.0,30.0,9.0,4.2,0.0
07/04/2019 10:00:00.000000,0.1,9.0,28.0,10.0,4.6,0.0
07/04/2019 11:00:00.000000,0.2,19.0,24.0,13.0,5.6,0.0
07/04/2019 12:00:00.000000,0.1,14.0,22.0,15.0,6.2,0.0
07/04/2019 13:00:00.000000,0.1,9.0,24.0,15.0,7.0,0.0
07/04/2019 14:00:00.000000,0.1,6.0,27.0,16.0,7.9,0.0
07/04/2019 15:00:00.000000,0.1,5.0,28.0,19.0,10.4,0.0
07/04/2019 16:00:00.000000,0.1,5.0,34.0,21.0,12.3,0.0
07/04/2019 17:00:00.000000,0.2,5.0,34.0,22.0,12.7,0.0
07/04/2019 18:00:00.000000,0.1,5.0,46.0,24.0,13.8,0.0
07/04/2019 19:00:00.000000,0.1,5.0,55.0,25.0,14.0,0.0
07/04/2019 20:00:00.000000,0.2,6.0,61.0,25.0,14.0,0.0
07/04/2019 21:00:00.000000,,,59.0,25.0,13.8,
07/05/2019 16:00:00.000000,0.2,10.0,26.0,,,0.0
07/05/2019 17:00:00.000000,0.2,11.0,32.0,,,0.0
07/05/2019 18:00:00.000000,0.2,8.0,44.0,26.0,14.4,0.0
07/05/2019 19:00:00.000000,0.2,7.0,44.0,22.0,13.1,0.0
07/05/2019 20:00:00.000000,0.2,7.0,61.0,20.0,12.6,0.0
07/05/2019 21:00:00.000000,0.2,12.0,58.0,19.0,11.2,0.0
07/05/2019 22:00:00.000000,0.2,13.0,50.0,19.0,10.1,0.0
07/05/2019 23:00:00.000000,0.3,15.0,50.0,22.0,10.1,0.0
07/06/2019 00:00:00.000000,,,44.0,22.0,9.4,
07/06/2019 01:00:00.000000,,,45.0,17.0,7.6,
07/06/2019 02:00:00.000000,0.2,11.0,39.0,15.0,7.3,0.0
07/06/2019 03:00:00.000000,0.2,12.0,34.0,15.0,7.5,0.0
07/06/2019 04:00:00.000000,0.3,14.0,32.0,14.0,7.5,0.0
07/06/2019 05:00:00.000000,,,33.0,14.0,7.8,
07/06/2019 06:00:00.000000,0.2,11.0,30.0,14.0,7.3,0.0
07/06/2019 07:00:00.000000,,,30.0,14.0,7.3,
07/06/2019 09:00:00.000000,,,21.0,15.0,,
07/06/2019 10:00:00.000000,0.1,11.0,19.0,13.0,8.1,0.0
07/06/2019 11:00:00.000000,0.2,25.0,13.0,13.0,8.7,0.0
07/06/2019 12:00:00.000000,0.2,19.0,12.0,13.0,9.1,0.0
07/06/2019 13:00:00.000000,0.2,12.0,22.0,13.0,9.8,0.0
07/06/2019 14:00:00.000000,,,22.0,17.0,9.8,
07/06/2019 16:00:00.000000,,,36.0,16.0,9.5,
07/06/2019 17:00:00.000000,0.1,4.0,48.0,12.0,6.6,0.0
07/06/2019 18:00:00.000000,0.1,3.0,43.0,12.0,5.7,0.0
