InstrumentName, Swansea (DEH),,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM2.5,humidity,temp_f
05/01/2018 00:02:15.076666,9.9,28.0,73.0
05/01/2018 00:04:55.183333,9.18,28.0,72.0
05/01/2018 00:07:35.190000,9.51,28.0,72.0
05/01/2018 00:10:15.290000,9.79,28.0,72.0
05/01/2018 00:17:12.643333,9.72,28.0,72.0
05/01/2018 00:18:32.976666,9.03,28.0,72.0
05/01/2018 00:22:32.806666,12.13,28.0,72.0
05/01/2018 00:25:12.783333,9.87,28.0,72.0
05/01/2018 00:27:53.326666,8.69,29.0,72.0
05/01/2018 00:31:53.120000,10.1,29.0,71.0
05/01/2018 00:34:33.036666,19.79,30.0,70.0
05/01/2018 00:37:12.843333,14.38,30.0,70.0
05/01/2018 00:39:52.936666,10.85,31.0,70.0
05/01/2018 00:43:52.903333,10.42,32.0,70.0
05/01/2018 00:46:32.916666,10.15,32.0,70.0
05/01/2018 00:49:12.963333,12.35,31.0,71.0
05/01/2018 00:51:53.053333,11.87,31.0,71.0
05/01/2018 00:55:52.836666,10.08,32.0,70.0
05/01/2018 00:58:32.856666,8.73,31.0,70.0
05/01/2018 01:02:32.840000,11.13,31.0,71.0
05/01/2018 01:03:52.806666,9.87,32.0,70.0
05/01/2018 01:07:52.676666,10.6,31.0,70.0
05/01/2018 01:10:32.723333,9.05,32.0,70.0
05/01/2018 01:13:12.940000,10.44,32.0,69.0
05/01/2018 01:17:12.793333,12.46,33.0,70.0
05/01/2018 01:19:52.913333,8.36,33.0,70.0
05/01/2018 01:22:32.946666,10.11,33.0,70.0
05/01/2018 01:25:13.106666,11.58,33.0,69.0
05/01/2018 01:29:12.833333,9.71,34.0,69.0
05/01/2018 01:31:52.926666,13.0,35.0,69.0
05/01/2018 01:34:32.756666,20.68,36.0,68.0
05/01/2018 01:37:13.013333,24.67,36.0,67.0
05/01/2018 01:41:13.010000,8.9,37.0,67.0
05/01/2018 01:43:53.126666,7.55,37.0,67.0
05/01/2018 01:46:33.416666,8.03,37.0,67.0
05/01/2018 01:49:12.810000,7.92,37.0,66.0
05/01/2018 01:53:13.336666,6.77,38.0,66.0
05/01/2018 01:55:53.363333,8.13,39.0,66.0
05/01/2018 01:58:33.013333,6.87,39.0,65.0
05/01/2018 02:01:12.976666,7.5,40.0,66.0
05/01/2018 02:05:13.380000,6.32,41.0,65.0
05/01/2018 02:07:52.733333,6.18,41.0,65.0
05/01/2018 02:10:33.273333,7.18,41.0,65.0
05/01/2018 02:14:32.900000,5.85,42.0,65.0
05/01/2018 02:17:12.916666,5.55,42.0,64.0
05/01/2018 02:19:52.800000,5.63,42.0,64.0
05/01/2018 02:22:32.960000,6.13,42.0,64.0
05/01/2018 02:26:33.386666,5.39,42.0,64.0
05/01/2018 02:29:12.930000,5.76,42.0,64.0
05/01/2018 02:31:52.876666,4.49,42.0,64.0
05/01/2018 02:34:33.130000,6.29,43.0,64.0
05/01/2018 02:38:32.806666,6.11,44.0,63.0
05/01/2018 02:41:13.010000,6.39,44.0,63.0
05/01/2018 02:43:52.926666,5.95,46.0,62.0
05/01/2018 02:46:32.960000,5.13,46.0,62.0
05/01/2018 02:50:33.140000,6.44,46.0,62.0
05/01/2018 02:53:13.100000,5.55,47.0,62.0
05/01/2018 02:55:53.120000,5.77,47.0,62.0
05/01/2018 02:58:33.473333,6.18,46.0,62.0
05/01/2018 03:01:13.150000,6.08,47.0,62.0
05/01/2018 03:03:53.333333,5.68,47.0,62.0
05/01/2018 03:07:53.336666,5.0,48.0,62.0
05/01/2018 03:10:33.233333,6.03,48.0,62.0
05/01/2018 03:13:12.860000,5.21,48.0,62.0
05/01/2018 03:17:13.456666,5.08,48.0,62.0
05/01/2018 03:19:52.836666,5.1,48.0,62.0
05/01/2018 03:22:32.980000,5.15,48.0,62.0
05/01/2018 03:25:13.416666,6.45,48.0,62.0
05/01/2018 03:27:53.273333,5.54,48.0,62.0
05/01/2018 03:31:53.066666,5.72,48.0,61.0
05/01/2018 03:34:33.150000,5.47,49.0,61.0
05/01/2018 03:37:13.086666,5.67,49.0,61.0
05/01/2018 03:39:53.173333,5.0,49.0,61.0
05/01/2018 03:43:53.213333,5.18,49.0,61.0
05/01/2018 03:46:33.020000,5.95,50.0,61.0
05/01/2018 03:49:13.106666,5.21,49.0,61.0
05/01/2018 03:51:53.270000,5.35,50.0,61.0
05/01/2018 03:55:53.046666,5.64,50.0,61.0
05/01/2018 03:58:32.960000,4.68,50.0,61.0
05/01/2018 04:01:13.356666,5.36,50.0,61.0
05/01/2018 04:05:13.253333,7.83,50.0,60.0
05/01/2018 04:07:53.140000,5.64,50.0,61.0
05/01/2018 04:10:33.113333,4.32,50.0,60.0
05/01/2018 04:13:13.033333,4.65,50.0,60.0
05/01/2018 04:17:13.633333,4.36,51.0,60.0
05/01/2018 04:19:53.586666,5.0,51.0,60.0
05/01/2018 04:22:32.863333,4.59,51.0,60.0
05/01/2018 04:25:13.160000,5.5,51.0,60.0
05/01/2018 04:29:13.136666,5.3,51.0,60.0
05/01/2018 04:31:52.896666,4.79,51.0,60.0
05/01/2018 04:34:33.063333,5.5,51.0,60.0
05/01/2018 04:37:13.026666,4.05,51.0,60.0
05/01/2018 04:41:12.906666,5.32,51.0,60.0
05/01/2018 04:43:53.206666,4.63,51.0,60.0
05/01/2018 04:46:33.310000,5.03,51.0,60.0
05/01/2018 04:50:33.216666,4.62,51.0,60.0
05/01/2018 04:53:12.916666,5.23,51.0,60.0
05/01/2018 04:55:53.290000,4.51,51.0,60.0
05/01/2018 04:58:33.203333,4.28,50.0,61.0
05/01/2018 05:02:33.266666,5.49,50.0,61.0
05/01/2018 05:05:13.623333,4.45,50.0,61.0
05/01/2018 05:07:53.153333,4.92,50.0,61.0
05/01/2018 05:10:33.486666,5.41,50.0,61.0
05/01/2018 05:14:33.396666,7.34,50.0,61.0
05/01/2018 05:17:13.543333,5.08,50.0,61.0
05/01/2018 05:19:53.650000,5.3,51.0,60.0
05/01/2018 05:22:32.940000,5.33,51.0,60.0
05/01/2018 05:26:33.230000,4.58,52.0,60.0
05/01/2018 05:29:13.593333,5.0,52.0,59.0
05/01/2018 05:31:53.700000,5.74,53.0,59.0
