InstrumentName, Woods Park B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2018 05:34:52.000000,8.81,11.45,11.21
05/01/2018 05:37:32.000000,8.27,10.41,10.12
05/01/2018 05:41:32.000000,9.7,11.64,11.61
05/01/2018 05:44:12.000000,15.18,17.67,17.08
05/01/2018 05:46:52.000000,10.83,13.98,13.39
05/01/2018 05:49:32.000000,13.12,16.09,15.49
05/01/2018 05:53:32.000000,12.76,15.81,14.71
05/01/2018 05:56:12.000000,12.55,15.45,14.81
05/01/2018 05:58:52.000000,14.16,16.84,15.93
05/01/2018 06:01:32.000000,16.42,18.42,17.84
05/01/2018 06:05:32.000000,12.33,14.53,14.4
05/01/2018 06:08:12.000000,12.52,15.57,14.64
05/01/2018 06:10:52.000000,13.07,16.12,15.35
05/01/2018 06:13:32.000000,12.3,14.67,14.05
05/01/2018 06:17:32.000000,12.57,14.95,14.38
05/01/2018 06:20:12.000000,12.38,15.29,14.31
05/01/2018 06:22:52.000000,12.8,15.89,15.02
05/01/2018 06:25:33.000000,12.3,15.95,15.25
05/01/2018 06:29:32.000000,13.09,16.58,15.58
05/01/2018 06:32:12.000000,13.9,17.36,16.64
05/01/2018 06:34:52.000000,13.7,17.4,16.23
05/01/2018 06:37:32.000000,12.11,14.52,14.52
05/01/2018 06:41:34.000000,12.65,16.24,14.89
05/01/2018 06:44:14.000000,12.22,15.29,14.95
05/01/2018 06:46:52.000000,11.74,14.21,13.5
05/01/2018 06:49:32.000000,11.07,14.6,13.93
05/01/2018 06:53:32.000000,10.93,14.98,13.33
05/01/2018 06:56:12.000000,11.64,14.21,13.57
05/01/2018 06:58:52.000000,10.35,13.28,12.44
05/01/2018 07:01:32.000000,12.12,14.48,13.9
05/01/2018 07:05:32.000000,13.53,16.44,16.0
05/01/2018 07:08:12.000000,12.88,16.0,15.0
05/01/2018 07:10:52.000000,7.88,10.78,10.0
05/01/2018 07:13:32.000000,6.93,9.0,8.71
05/01/2018 07:17:32.000000,6.42,8.93,8.37
05/01/2018 07:20:12.000000,7.1,9.59,8.59
05/01/2018 07:22:52.000000,6.53,8.98,8.57
05/01/2018 07:25:32.000000,6.02,8.74,8.02
05/01/2018 07:29:32.000000,7.63,11.02,9.84
05/01/2018 07:32:14.000000,6.67,9.09,8.51
05/01/2018 07:34:52.000000,6.83,9.38,8.24
05/01/2018 07:37:32.000000,7.14,10.37,9.47
05/01/2018 07:41:32.000000,7.21,9.07,8.91
05/01/2018 07:44:12.000000,8.78,11.83,11.17
05/01/2018 07:46:52.000000,8.0,10.31,9.5
05/01/2018 07:49:32.000000,7.38,9.95,9.21
05/01/2018 07:53:32.000000,9.12,11.74,11.23
05/01/2018 07:56:12.000000,7.53,10.05,9.75
05/01/2018 07:58:52.000000,7.0,10.15,9.76
05/01/2018 08:01:32.000000,6.35,9.4,8.74
05/01/2018 08:05:32.000000,7.26,10.18,9.54
05/01/2018 08:08:12.000000,7.9,9.76,9.67
05/01/2018 08:10:52.000000,7.83,11.07,10.14
05/01/2018 08:13:32.000000,7.86,10.93,10.69
05/01/2018 08:17:32.000000,7.72,9.98,9.79
05/01/2018 08:20:12.000000,7.46,10.32,9.56
05/01/2018 08:22:52.000000,7.26,10.09,9.26
05/01/2018 08:25:32.000000,7.49,10.67,9.3
05/01/2018 08:29:32.000000,6.88,9.51,8.74
05/01/2018 08:32:12.000000,7.05,9.98,9.57
05/01/2018 08:34:52.000000,6.45,9.59,8.68
05/01/2018 08:37:32.000000,6.35,8.63,8.28
05/01/2018 08:41:32.000000,6.12,9.47,8.72
05/01/2018 08:44:12.000000,5.73,7.73,7.54
05/01/2018 08:46:52.000000,5.7,7.84,6.88
05/01/2018 08:49:32.000000,5.44,6.88,6.88
05/01/2018 08:53:32.000000,4.95,7.02,6.74
05/01/2018 08:56:12.000000,5.0,7.07,6.93
05/01/2018 08:58:52.000000,5.09,7.32,6.86
05/01/2018 09:01:32.000000,5.0,6.65,6.53
05/01/2018 09:05:32.000000,4.86,8.21,7.19
05/01/2018 09:08:12.000000,5.0,7.26,6.26
05/01/2018 09:10:52.000000,4.84,7.28,6.51
05/01/2018 09:13:32.000000,4.7,7.05,6.49
05/01/2018 09:17:32.000000,5.14,7.38,6.62
05/01/2018 09:20:12.000000,4.6,6.58,6.07
05/01/2018 09:22:52.000000,5.49,8.58,7.63
05/01/2018 09:25:32.000000,4.91,7.28,7.12
05/01/2018 09:29:32.000000,4.12,6.91,6.07
05/01/2018 09:32:13.000000,4.61,7.64,6.73
05/01/2018 09:34:52.000000,4.29,7.21,6.17
05/01/2018 09:37:32.000000,5.1,7.14,7.14
05/01/2018 09:41:32.000000,4.28,6.47,5.77
05/01/2018 09:44:12.000000,3.98,7.42,6.07
05/01/2018 09:46:52.000000,4.66,7.12,6.56
05/01/2018 09:49:32.000000,4.38,7.19,6.24
05/01/2018 09:53:32.000000,4.77,6.23,6.19
05/01/2018 09:56:12.000000,4.37,6.28,5.98
05/01/2018 09:58:52.000000,4.4,6.33,6.07
05/01/2018 10:01:32.000000,4.58,7.72,6.56
05/01/2018 10:05:32.000000,5.6,8.26,7.86
05/01/2018 10:08:12.000000,4.88,7.79,7.02
05/01/2018 10:10:52.000000,4.26,6.31,5.98
05/01/2018 10:13:32.000000,4.7,7.44,6.91
05/01/2018 10:17:32.000000,4.83,7.05,6.36
05/01/2018 10:20:12.000000,4.9,7.9,6.69
05/01/2018 10:22:52.000000,4.6,6.76,6.4
05/01/2018 10:25:32.000000,4.47,6.53,6.19
05/01/2018 10:29:32.000000,5.02,7.44,6.6
05/01/2018 10:32:13.000000,5.32,8.12,7.34
05/01/2018 10:34:52.000000,4.81,7.33,6.93
05/01/2018 10:37:32.000000,4.72,6.86,6.23
05/01/2018 10:41:32.000000,4.4,6.19,5.79
05/01/2018 10:44:12.000000,5.14,7.24,6.64
05/01/2018 10:46:52.000000,4.29,6.85,6.15
05/01/2018 10:49:32.000000,5.05,6.88,6.49
05/01/2018 10:53:32.000000,4.24,6.9,6.45
05/01/2018 10:56:12.000000,4.86,7.14,6.55
05/01/2018 10:58:52.000000,4.88,7.98,7.3
05/01/2018 11:01:32.000000,4.84,8.0,7.16
05/01/2018 11:05:32.000000,4.86,8.65,7.35
05/01/2018 11:08:12.000000,4.9,7.1,6.62
05/01/2018 11:10:52.000000,4.93,7.02,7.0
05/01/2018 11:13:32.000000,5.14,7.53,7.33
05/01/2018 11:17:32.000000,4.93,7.09,6.6
