InstrumentName, Swansea (DEH) B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM2.5,humidity,temp_f
05/01/2018 00:02:45.650000,9.38,28.0,73.0
05/01/2018 00:05:24.936666,8.7,28.0,72.0
05/01/2018 00:08:05.070000,7.69,28.0,72.0
05/01/2018 00:10:45.076666,8.35,28.0,71.0
05/01/2018 00:17:42.730000,8.88,28.0,72.0
05/01/2018 00:19:02.676666,7.67,28.0,72.0
05/01/2018 00:21:42.966666,10.08,28.0,72.0
05/01/2018 00:25:43.153333,9.97,28.0,72.0
05/01/2018 00:28:22.696666,8.08,29.0,71.0
05/01/2018 00:31:02.663333,9.42,30.0,71.0
05/01/2018 00:33:43.510000,18.84,30.0,71.0
05/01/2018 00:37:42.740000,12.76,31.0,70.0
05/01/2018 00:40:22.806666,10.13,31.0,70.0
05/01/2018 00:43:02.753333,11.69,32.0,70.0
05/01/2018 00:47:02.733333,10.03,32.0,70.0
05/01/2018 00:49:42.606666,10.11,31.0,71.0
05/01/2018 00:52:22.766666,10.72,31.0,71.0
05/01/2018 00:55:02.773333,8.03,32.0,70.0
05/01/2018 00:59:02.573333,8.73,31.0,70.0
05/01/2018 01:01:42.720000,8.4,31.0,70.0
05/01/2018 01:04:22.636666,9.8,32.0,70.0
05/01/2018 01:07:02.703333,9.1,31.0,70.0
05/01/2018 01:11:02.626666,10.54,32.0,70.0
05/01/2018 01:13:42.593333,10.08,32.0,69.0
05/01/2018 01:16:22.723333,10.71,33.0,70.0
05/01/2018 01:19:02.586666,7.41,33.0,69.0
05/01/2018 01:23:02.873333,9.34,33.0,70.0
05/01/2018 01:25:43.013333,10.24,33.0,69.0
05/01/2018 01:28:22.690000,9.49,34.0,69.0
05/01/2018 01:31:02.793333,6.89,35.0,68.0
05/01/2018 01:35:03.166666,8.74,36.0,67.0
05/01/2018 01:37:42.790000,7.77,37.0,67.0
05/01/2018 01:40:22.690000,7.42,37.0,67.0
05/01/2018 01:44:23.130000,7.22,37.0,67.0
05/01/2018 01:47:02.923333,7.0,37.0,67.0
05/01/2018 01:49:42.676666,6.77,37.0,67.0
05/01/2018 01:52:23.146666,6.92,38.0,66.0
05/01/2018 01:56:22.796666,6.97,39.0,66.0
05/01/2018 01:59:03.096666,6.38,39.0,65.0
05/01/2018 02:01:42.770000,6.91,40.0,65.0
05/01/2018 02:04:22.893333,6.37,40.0,65.0
05/01/2018 02:08:22.716666,4.87,41.0,65.0
05/01/2018 02:11:02.790000,6.82,41.0,65.0
05/01/2018 02:13:42.753333,5.55,42.0,65.0
05/01/2018 02:16:22.726666,5.26,42.0,64.0
05/01/2018 02:20:23.316666,5.42,42.0,64.0
05/01/2018 02:23:02.836666,5.11,42.0,64.0
05/01/2018 02:25:43.153333,4.92,42.0,64.0
05/01/2018 02:28:22.833333,4.29,42.0,64.0
05/01/2018 02:32:22.823333,4.74,42.0,64.0
05/01/2018 02:35:03.093333,6.55,43.0,64.0
05/01/2018 02:37:43.056666,3.74,43.0,64.0
05/01/2018 02:41:42.876666,4.56,45.0,62.0
05/01/2018 02:44:22.976666,3.9,46.0,63.0
05/01/2018 02:47:02.880000,3.32,46.0,62.0
05/01/2018 02:49:42.846666,4.95,46.0,62.0
05/01/2018 02:53:43.190000,5.64,47.0,62.0
05/01/2018 02:56:23.136666,4.6,46.0,62.0
05/01/2018 02:59:02.913333,5.08,47.0,62.0
05/01/2018 03:01:43.353333,4.28,47.0,62.0
05/01/2018 03:04:22.766666,4.37,47.0,62.0
05/01/2018 03:07:02.883333,4.03,48.0,61.0
05/01/2018 03:09:42.850000,4.03,48.0,62.0
05/01/2018 03:13:43.546666,4.58,48.0,62.0
05/01/2018 03:17:43.153333,4.05,48.0,62.0
05/01/2018 03:19:02.856666,4.18,48.0,62.0
05/01/2018 03:21:42.913333,4.92,48.0,62.0
05/01/2018 03:25:42.893333,4.9,48.0,62.0
05/01/2018 03:28:22.813333,4.61,48.0,62.0
05/01/2018 03:31:02.786666,4.36,48.0,62.0
05/01/2018 03:35:02.833333,4.78,49.0,62.0
05/01/2018 03:37:43.350000,4.49,49.0,62.0
05/01/2018 03:40:23.000000,5.1,49.0,61.0
05/01/2018 03:43:03.200000,4.84,49.0,61.0
05/01/2018 03:47:03.256666,4.17,50.0,61.0
05/01/2018 03:49:43.246666,4.82,49.0,61.0
05/01/2018 03:52:22.776666,3.97,50.0,61.0
05/01/2018 03:55:02.893333,4.66,50.0,61.0
05/01/2018 03:59:02.943333,4.1,50.0,60.0
05/01/2018 04:01:42.893333,4.92,50.0,61.0
05/01/2018 04:04:22.906666,5.59,50.0,61.0
05/01/2018 04:07:03.086666,6.63,50.0,61.0
05/01/2018 04:11:03.146666,5.03,50.0,61.0
05/01/2018 04:13:43.146666,4.37,51.0,60.0
05/01/2018 04:16:22.946666,3.97,51.0,60.0
05/01/2018 04:19:02.830000,3.97,50.0,60.0
05/01/2018 04:23:03.096666,4.59,51.0,60.0
05/01/2018 04:25:43.383333,4.45,51.0,60.0
05/01/2018 04:28:22.863333,4.5,50.0,60.0
05/01/2018 04:32:23.030000,3.78,51.0,60.0
05/01/2018 04:35:03.213333,4.37,51.0,60.0
05/01/2018 04:37:42.950000,3.84,51.0,60.0
05/01/2018 04:40:23.106666,4.07,51.0,60.0
05/01/2018 04:44:22.856666,3.82,51.0,60.0
05/01/2018 04:47:02.966666,4.0,51.0,60.0
05/01/2018 04:49:42.886666,4.54,51.0,60.0
05/01/2018 04:52:23.056666,3.61,52.0,60.0
05/01/2018 04:56:23.050000,3.85,51.0,60.0
05/01/2018 04:59:03.006666,3.85,50.0,61.0
05/01/2018 05:01:42.786666,3.89,50.0,61.0
05/01/2018 05:04:22.960000,4.85,50.0,61.0
05/01/2018 05:08:22.863333,3.87,50.0,61.0
05/01/2018 05:11:03.336666,3.81,50.0,61.0
05/01/2018 05:13:42.963333,7.05,50.0,61.0
05/01/2018 05:17:42.913333,4.32,50.0,61.0
05/01/2018 05:20:22.976666,4.13,51.0,60.0
05/01/2018 05:23:02.943333,4.29,52.0,60.0
05/01/2018 05:25:43.073333,4.41,52.0,60.0
05/01/2018 05:29:43.070000,3.78,52.0,59.0
05/01/2018 05:31:03.226666,4.72,52.0,59.0
