InstrumentName, I-25 Globeville,,,,,
StartTime, 2022-05-01 00:00:00,,,,,
EndTime, 2022-05-31 23:59:59,,,,,
Date,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
05/01/2022 02:16:00.000000,3.533333,59.35788,3.155224,20.254761,66.580783,5.463184
05/01/2022 02:17:00.000000,3.6,59.326843,4.521519,20.265289,74.721762,8.105957
05/01/2022 02:18:00.000000,3.683333,59.261475,2.488889,20.23111,71.8085,11.055664
05/01/2022 02:19:00.000000,3.733333,59.24472,1.989474,20.218903,79.825715,9.805713
05/01/2022 02:20:00.000000,3.9,59.239777,3.0625,20.251099,83.455221,6.172412
05/01/2022 02:21:00.000000,3.95,59.186768,3.451807,20.356232,69.134553,6.941455
05/01/2022 02:22:00.000000,4.15,59.121124,3.1,20.44458,68.860752,7.20498
05/01/2022 02:23:00.000000,4.3,58.955231,3.062025,20.51767,66.929224,6.094141
05/01/2022 02:24:00.000000,4.32,58.800873,2.84878,20.613342,69.063671,8.427588
05/01/2022 02:25:00.000000,4.4,58.675354,3.213514,20.697418,72.529679,8.408788999999999
05/01/2022 02:26:00.000000,4.466667,58.603119,3.388889,20.747467,72.798494,8.320605
05/01/2022 02:27:00.000000,4.533333,58.527588,4.235616,20.789886,66.159847,6.06748
05/01/2022 02:28:00.000000,4.6,58.446838,5.1625,20.867859,71.009112,6.470459
05/01/2022 02:29:00.000000,4.65,58.382294,4.8,20.942169,72.033302,5.519238
05/01/2022 02:30:00.000000,4.983333,58.389709,4.011392,20.972076,90.362375,8.562598000000001
05/01/2022 02:31:00.000000,5.466667,58.354828,3.387952,21.01358,77.569524,6.060645
05/01/2022 02:32:00.000000,6.14,58.304291,3.383333,21.024414,68.637921,6.071582
05/01/2022 02:33:00.000000,6.633333,58.253204,3.894737,21.079956,85.649849,5.957422
05/01/2022 02:34:00.000000,7.08,58.200195,3.3375,21.140686,85.083249,4.4145509999999994
05/01/2022 02:35:00.000000,7.4,58.179871,4.252381,21.22171,94.252732,5.890771
05/01/2022 02:36:00.000000,7.866667,58.220795,4.028205,21.252685,83.878353,5.876074
05/01/2022 02:37:00.000000,8.52,58.222443,4.709524,21.267334,95.288046,5.686377
05/01/2022 02:38:00.000000,9.02,58.197723,3.335714,21.203705,79.461036,6.222314
05/01/2022 02:39:00.000000,9.216667,58.208464,3.548718,21.178062,92.850156,7.842414
05/01/2022 02:40:00.000000,9.883333,58.263367,3.346667,21.164642,83.847017,6.935645
05/01/2022 02:41:00.000000,10.766667,58.209534,4.338462,21.158539,88.613278,4.006787
05/01/2022 02:42:00.000000,11.45,58.155151,4.316216,21.125885,89.542269,7.264453
05/01/2022 02:43:00.000000,11.75,58.102142,2.675,21.130157,80.826355,5.35791
05/01/2022 02:44:00.000000,11.85,58.05188,3.832432,21.151062,89.61193,6.587695
05/01/2022 02:45:00.000000,11.833333,58.039795,3.244156,21.172729,92.680848,5.319287
05/01/2022 02:46:00.000000,11.833333,57.99118,2.248649,21.181274,89.654985,6.015869
05/01/2022 02:47:00.000000,11.55,57.930756,2.571429,21.223694,91.827542,6.384668
05/01/2022 02:48:00.000000,11.016667,57.881042,2.4,21.281982,81.48091,6.920605
05/01/2022 02:49:00.000000,10.483333,57.870331,2.501449,21.309143,100.746106,6.055518
05/01/2022 02:50:00.000000,10.25,57.822266,2.986076,21.230103,84.907192,8.077588
05/01/2022 02:51:00.000000,9.833333,57.743439,2.15,21.303955,81.479238,5.618359
05/01/2022 02:52:00.000000,9.55,57.695648,1.850909,21.247498,88.835878,8.277197000000001
05/01/2022 02:53:00.000000,9.316667,57.65802,2.314754,21.166779,86.776609,6.943506
05/01/2022 02:54:00.000000,9.0,57.587158,2.805405,21.230713,79.408924,7.962744
05/01/2022 02:55:00.000000,8.683333,57.542664,2.225316,21.291748,88.825952,6.606494
05/01/2022 02:56:00.000000,8.416667,57.469055,2.364,21.328674,82.741354,5.184277
05/01/2022 02:57:00.000000,8.0,57.454224,2.112987,21.289307,89.86124,6.487549
05/01/2022 02:58:00.000000,7.616667,57.439941,2.2125,21.326233,94.850855,4.9005860000000006
05/01/2022 02:59:00.000000,7.5,57.362213,2.287805,21.362701,85.505798,5.130957
05/01/2022 03:00:00.000000,7.333333,57.26059,2.333333,21.483398,81.219605,5.442676
05/01/2022 03:01:00.000000,7.166667,57.189558,3.140476,21.485578,67.209681,5.94043
05/01/2022 03:02:00.000000,7.133333,57.124908,2.623077,21.528717,81.555076,4.953564
05/01/2022 03:03:00.000000,7.0,57.096893,2.242857,21.553741,84.687591,5.324756
05/01/2022 03:04:00.000000,7.133333,56.994446,3.423288,21.630798,64.42720700000001,4.411474999999999
05/01/2022 03:05:00.000000,6.966667,56.856018,4.066667,21.753784,85.349893,4.685596
05/01/2022 03:06:00.000000,6.666667,56.769226,3.222222,21.800781,85.497695,6.955127
05/01/2022 03:07:00.000000,6.433333,56.823608,3.992683,21.673981,74.719461,4.1643550000000005
05/01/2022 03:08:00.000000,6.1,56.743683,2.704819,21.794983,76.134088,6.392188
05/01/2022 03:09:00.000000,6.083333,56.662659,4.081579,21.826111,86.391021,8.357178000000001
05/01/2022 03:10:00.000000,6.05,56.658813,3.152,21.832062,68.449084,7.103467
05/01/2022 03:11:00.000000,6.116667,56.574219,2.866667,21.866241,73.981203,6.59248
05/01/2022 03:12:00.000000,6.25,56.48468,3.129114,21.830994,81.646904,7.941211
05/01/2022 03:13:00.000000,6.12,56.460785,1.989873,21.818939,83.587486,6.093115
05/01/2022 03:14:00.000000,6.05,56.455841,3.180952,21.850067,87.531096,8.118604000000001
05/01/2022 03:15:00.000000,6.116667,56.472321,2.262025,21.865784,89.94355,8.549951
05/01/2022 03:16:00.000000,6.32,56.486328,2.059524,21.898132,81.957396,8.529443
05/01/2022 03:17:00.000000,6.216667,56.41629,2.684615,21.904999,79.007618,8.610449
05/01/2022 03:18:00.000000,6.033333,56.338013,4.139474,22.022339,73.473675,7.961719
05/01/2022 03:19:00.000000,5.966667,56.186676,4.280882,22.172791,68.738863,7.509863
05/01/2022 03:20:00.000000,5.883333,55.98233,3.644578,22.313782,63.304534,6.356299
05/01/2022 03:21:00.000000,5.7,55.784851,4.649367,22.479187,66.053803,6.357666
05/01/2022 03:22:00.000000,5.483333,55.538208,4.349383,22.674194,79.640406,10.319092
05/01/2022 03:23:00.000000,4.883333,55.350342,4.946575,22.905212,69.443257,8.396484000000001
05/01/2022 03:24:00.000000,4.383333,55.203125,6.488889,23.119141,69.207945,8.620702999999999
05/01/2022 03:25:00.000000,4.033333,55.193787,4.696154,23.269135,81.75341,9.365137
05/01/2022 03:26:00.000000,3.9,55.234436,3.887654,23.380066,93.687671,8.173632999999999
05/01/2022 03:27:00.000000,4.033333,55.331116,3.787013,23.468109,90.978885,10.122217
05/01/2022 03:28:00.000000,4.166667,55.400055,3.541463,23.491455,99.317324,11.85957
05/01/2022 03:29:00.000000,4.216667,55.440704,2.566667,23.532196,96.910134,10.858447
05/01/2022 03:30:00.000000,4.466667,55.439331,3.801266,23.632904,99.609756,12.559912
05/01/2022 03:31:00.000000,4.566667,55.404724,4.302469,23.720642,98.373242,9.815625
05/01/2022 03:32:00.000000,4.616667,55.326447,2.5,23.79892,89.321169,9.585938
05/01/2022 03:33:00.000000,4.583333,55.276459,2.635802,23.903748,92.296836,8.863037
05/01/2022 03:34:00.000000,4.666667,55.230042,3.896296,23.975922,101.651484,11.188965
05/01/2022 03:35:00.000000,4.533333,55.20285,5.654054,24.037262,88.525853,10.314307
05/01/2022 03:36:00.000000,4.48,55.123749,2.88642,24.108215,95.4678,11.714307
05/01/2022 03:37:00.000000,4.433333,55.040527,3.345238,24.240662,93.531883,13.597607
05/01/2022 03:38:00.000000,4.4,54.985046,2.237037,24.30368,92.343684,13.12251
05/01/2022 03:39:00.000000,4.4,54.976532,2.594118,24.378143,100.132688,9.049316
05/01/2022 03:40:00.000000,4.233333,54.935333,3.171053,24.473053,98.701926,10.675928
05/01/2022 03:41:00.000000,4.05,54.921875,3.653247,24.539581,96.916196,7.86875
05/01/2022 03:42:00.000000,4.016667,54.873261,3.169565,24.586884,100.785086,8.149365
05/01/2022 03:43:00.000000,4.016667,54.83783,2.350617,24.626099,104.188337,7.125
05/01/2022 03:44:00.000000,4.083333,54.787292,2.075949,24.683014,124.359226,8.11792
05/01/2022 03:45:00.000000,4.216667,54.736755,2.69863,24.732147,106.611812,7.849609
05/01/2022 03:46:00.000000,4.32,54.706543,3.438961,24.822937,101.200992,7.591211
05/01/2022 03:47:00.000000,3.766667,54.681,4.469231,24.906555,111.570724,7.725879
05/01/2022 03:48:00.000000,3.0,54.618378,8.758462,24.945465,109.964946,8.805273
05/01/2022 03:49:00.000000,2.266667,54.528015,2.981081,25.041138,107.55374,9.147754
05/01/2022 03:50:00.000000,1.516667,54.432434,3.991429,25.172668,112.366189,12.647412
05/01/2022 03:51:00.000000,0.8,54.348114,7.285714,25.296722,117.157493,9.277637
05/01/2022 03:52:00.000000,0.133333,54.256378,3.972603,25.385376,120.903375,13.742529
05/01/2022 03:53:00.000000,-9999.0,54.120972,5.064198,25.538269,112.640496,13.989307
05/01/2022 03:54:00.000000,-9999.0,53.967987,4.024051,25.710388,100.34918,14.411426
05/01/2022 03:55:00.000000,-9999.0,53.898773,3.487013,25.821777,109.117612,12.110791
05/01/2022 03:56:00.000000,2.2,53.805664,3.221918,25.888763,99.191641,13.349121
05/01/2022 03:57:00.000000,12.533333,53.734528,2.250685,26.01358,96.382931,7.786035
05/01/2022 03:58:00.000000,4.26,53.715302,3.075,26.10376,91.186002,10.934668
05/01/2022 03:59:00.000000,3.083333,53.699646,2.3,26.104065,108.414523,10.747021
05/01/2022 04:00:00.000000,2.883333,53.68866,2.51519,26.145416,105.313636,8.469629000000001
05/01/2022 04:01:00.000000,2.366667,53.638672,4.125,26.235291,112.47639,6.719971
05/01/2022 04:02:00.000000,1.916667,53.585663,4.604478,26.30899,96.532364,6.759619
05/01/2022 04:03:00.000000,1.566667,53.524963,2.862295,26.385437,113.241873,8.02085
05/01/2022 04:04:00.000000,1.283333,53.510406,3.786486,26.436096,112.700157,7.332471
05/01/2022 04:05:00.000000,1.2,53.417023,3.467123,26.503845,117.342309,10.471875
05/01/2022 04:06:00.000000,1.083333,53.374725,2.121622,26.515747,121.593915,12.530176
05/01/2022 04:07:00.000000,1.2,53.347809,2.976364,26.609283,110.782295,8.147998000000001
05/01/2022 04:08:00.000000,1.316667,53.297821,3.567606,26.676117,96.775454,7.710156
05/01/2022 04:09:00.000000,1.483333,,,,,
05/01/2022 04:10:00.000000,1.516667,53.194275,3.366216,26.8461,120.193804,6.116357
05/01/2022 04:11:00.000000,1.633333,53.175598,2.526761,26.890961,116.577325,5.818652
05/01/2022 04:12:00.000000,1.616667,53.108307,3.3,26.888062,107.55373,5.825488
05/01/2022 04:13:00.000000,1.583333,53.074249,3.354795,26.896301,122.669991,5.606055
05/01/2022 04:14:00.000000,1.583333,53.022064,3.710256,27.023865,102.144033,4.512988
05/01/2022 04:15:00.000000,1.6,52.987457,3.137975,27.10321,122.216753,5.247168
05/01/2022 04:16:00.000000,1.35,52.939117,3.273418,27.107941,112.80317,8.380078000000001
05/01/2022 04:17:00.000000,24.85,52.878418,2.411538,27.148987,102.358961,7.386133
05/01/2022 04:18:00.000000,38.466667,52.824007,2.74,27.266158,115.458431,5.590512
05/01/2022 04:19:00.000000,39.716667,,,,,
