InstrumentName, STRIVE-Prep New (AD6C1FJJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-05-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcMass_p,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
05/01/2022 00:14:55.000000,8.08,8.08,1.0,4.88,4.88,1.0,3.77,3.77,1.0,0.19,0.19,1.0,3.47,3.47,1.0,1.58,5.24,5.24,1.0,7.492,3.66,3.66,1.0,18.02,18.02,1.0,19.95,19.95,1.0
05/01/2022 00:32:09.000000,7.4,7.4,1.0,4.12,4.12,1.0,4.1,4.1,1.0,0.19,0.19,1.0,3.9,3.9,1.0,1.19,5.52,5.52,1.0,6.817,4.03,4.03,1.0,18.28,18.28,1.0,19.48,19.48,1.0
05/01/2022 00:49:23.000000,8.94,8.94,1.0,3.88,3.88,1.0,4.25,4.25,1.0,0.38,0.38,1.0,4.07,4.07,1.0,1.38,5.64,5.64,1.0,7.069,4.18,4.18,1.0,18.75,18.75,1.0,19.1,19.1,1.0
05/01/2022 01:06:36.000000,9.41,9.41,1.0,5.23,5.23,1.0,4.7,4.7,1.0,0.19,0.19,1.0,4.42,4.42,1.0,1.77,5.96,5.96,1.0,7.613,4.6,4.6,1.0,19.27,19.27,1.0,18.55,18.55,1.0
05/01/2022 01:23:49.000000,11.84,11.84,1.0,5.31,5.31,1.0,4.69,4.69,1.0,0.58,0.58,1.0,4.45,4.45,1.0,1.81,6.0,6.0,1.0,7.575,4.61,4.61,1.0,20.44,20.44,1.0,17.71,17.71,1.0
05/01/2022 01:41:02.000000,10.66,10.66,1.0,5.76,5.76,1.0,4.93,4.93,1.0,0.95,0.95,1.0,4.6,4.6,1.0,2.9,6.24,6.24,1.0,9.13,4.87,4.87,1.0,21.37,21.37,1.0,16.48,16.48,1.0
05/01/2022 01:58:16.000000,13.94,13.94,1.0,5.29,5.29,1.0,3.63,3.63,1.0,0.81,0.81,1.0,3.37,3.37,1.0,2.57,5.38,5.38,1.0,8.5,3.52,3.52,1.0,22.65,22.65,1.0,15.56,15.56,1.0
05/01/2022 02:15:30.000000,15.6,15.6,1.0,4.73,4.73,1.0,4.05,4.05,1.0,0.81,0.81,1.0,3.83,3.83,1.0,2.04,5.7,5.7,1.0,7.58,3.97,3.97,1.0,23.71,23.71,1.0,14.84,14.84,1.0
05/01/2022 02:32:44.000000,18.15,18.15,1.0,4.05,4.05,1.0,3.48,3.48,1.0,0.57,0.57,1.0,3.21,3.21,1.0,1.76,5.34,5.34,1.0,7.076,3.4,3.4,1.0,24.48,24.48,1.0,14.31,14.31,1.0
05/01/2022 02:49:58.000000,19.01,19.01,1.0,5.62,5.62,1.0,4.01,4.01,1.0,0.81,0.81,1.0,3.72,3.72,1.0,2.38,5.73,5.73,1.0,7.983,3.93,3.93,1.0,25.04,25.04,1.0,13.76,13.76,1.0
05/01/2022 03:07:11.000000,15.57,15.57,1.0,5.0,5.0,1.0,3.35,3.35,1.0,0.38,0.38,1.0,3.07,3.07,1.0,1.95,5.32,5.32,1.0,7.251,3.28,3.28,1.0,25.14,25.14,1.0,13.35,13.35,1.0
05/01/2022 03:24:26.000000,18.67,18.67,1.0,4.35,4.35,1.0,4.11,4.11,1.0,1.04,1.04,1.0,3.92,3.92,1.0,2.04,5.86,5.86,1.0,7.334,4.06,4.06,1.0,26.14,26.14,1.0,12.84,12.84,1.0
05/01/2022 03:41:40.000000,13.31,13.31,1.0,4.05,4.05,1.0,2.93,2.93,1.0,0.57,0.57,1.0,2.76,2.76,1.0,1.57,5.08,5.08,1.0,6.543,2.85,2.85,1.0,26.12,26.12,1.0,12.47,12.47,1.0
05/01/2022 03:58:54.000000,14.97,14.97,1.0,4.57,4.57,1.0,2.91,2.91,1.0,0.19,0.19,1.0,2.68,2.68,1.0,1.52,5.08,5.08,1.0,6.421,2.83,2.83,1.0,26.69,26.69,1.0,12.1,12.1,1.0
05/01/2022 04:16:07.000000,15.66,15.66,1.0,6.76,6.76,1.0,3.56,3.56,1.0,1.0,1.0,1.0,3.33,3.33,1.0,1.95,5.52,5.52,1.0,7.029,3.48,3.48,1.0,28.33,28.33,1.0,11.45,11.45,1.0
05/01/2022 04:33:21.000000,16.92,16.92,1.0,5.1,5.1,1.0,3.46,3.46,1.0,0.81,0.81,1.0,3.18,3.18,1.0,1.86,5.46,5.46,1.0,6.825,3.4,3.4,1.0,29.64,29.64,1.0,10.88,10.88,1.0
05/01/2022 04:50:35.000000,19.29,19.29,1.0,5.67,5.67,1.0,3.6,3.6,1.0,0.81,0.81,1.0,3.38,3.38,1.0,2.0,5.56,5.56,1.0,6.979,3.53,3.53,1.0,30.75,30.75,1.0,10.3,10.3,1.0
05/01/2022 05:07:50.000000,19.13,19.13,1.0,5.52,5.52,1.0,3.3,3.3,1.0,0.81,0.81,1.0,3.08,3.08,1.0,2.05,5.38,5.38,1.0,6.997,3.22,3.22,1.0,31.39,31.39,1.0,9.8,9.8,1.0
05/01/2022 05:25:04.000000,16.3,16.3,1.0,5.33,5.33,1.0,3.43,3.43,1.0,0.81,0.81,1.0,3.19,3.19,1.0,1.81,5.47,5.47,1.0,6.592,3.36,3.36,1.0,31.92,31.92,1.0,9.55,9.55,1.0
05/01/2022 05:42:18.000000,23.64,23.64,1.0,5.92,5.92,1.0,4.34,4.34,1.0,1.62,1.62,1.0,4.1,4.1,1.0,2.85,6.08,6.08,1.0,8.203,4.26,4.26,1.0,32.57,32.57,1.0,9.31,9.31,1.0
05/01/2022 05:59:32.000000,23.65,23.65,1.0,8.04,8.04,1.0,4.63,4.63,1.0,1.77,1.77,1.0,4.28,4.28,1.0,3.58,6.26,6.26,1.0,9.297,4.52,4.52,1.0,33.34,33.34,1.0,8.85,8.85,1.0
05/01/2022 06:16:46.000000,26.71,26.71,1.0,6.52,6.52,1.0,4.43,4.43,1.0,1.38,1.38,1.0,4.15,4.15,1.0,3.05,6.15,6.15,1.0,8.414,4.34,4.34,1.0,34.22,34.22,1.0,8.41,8.41,1.0
05/01/2022 06:34:00.000000,15.34,15.34,1.0,7.0,7.0,1.0,3.92,3.92,1.0,1.19,1.19,1.0,3.66,3.66,1.0,2.76,5.85,5.85,1.0,7.911,3.82,3.82,1.0,33.52,33.52,1.0,8.14,8.14,1.0
05/01/2022 06:51:14.000000,23.96,23.96,1.0,5.62,5.62,1.0,4.52,4.52,1.0,1.57,1.57,1.0,4.23,4.23,1.0,2.95,6.22,6.22,1.0,8.214,4.46,4.46,1.0,35.35,35.35,1.0,8.0,8.0,1.0
05/01/2022 07:08:28.000000,27.75,27.75,1.0,7.48,7.48,1.0,4.3,4.3,1.0,1.24,1.24,1.0,4.05,4.05,1.0,3.05,6.04,6.04,1.0,8.322,4.22,4.22,1.0,37.28,37.28,1.0,7.46,7.46,1.0
05/01/2022 07:25:43.000000,26.98,26.98,1.0,7.85,7.85,1.0,4.97,4.97,1.0,1.81,1.81,1.0,4.67,4.67,1.0,3.94,6.5,6.5,1.0,9.682,4.87,4.87,1.0,37.51,37.51,1.0,7.15,7.15,1.0
05/01/2022 07:42:57.000000,25.23,25.23,1.0,5.95,5.95,1.0,3.78,3.78,1.0,1.24,1.24,1.0,3.55,3.55,1.0,2.48,5.72,5.72,1.0,7.367,3.72,3.72,1.0,37.92,37.92,1.0,6.98,6.98,1.0
05/01/2022 08:00:11.000000,27.35,27.35,1.0,7.57,7.57,1.0,4.15,4.15,1.0,1.0,1.0,1.0,3.91,3.91,1.0,2.62,5.94,5.94,1.0,7.58,4.06,4.06,1.0,38.37,38.37,1.0,6.88,6.88,1.0
05/01/2022 08:17:26.000000,27.53,27.53,1.0,7.19,7.19,1.0,3.67,3.67,1.0,1.0,1.0,1.0,3.37,3.37,1.0,2.62,5.63,5.63,1.0,7.548,3.59,3.59,1.0,39.2,39.2,1.0,6.57,6.57,1.0
05/01/2022 08:34:40.000000,19.97,19.97,1.0,5.14,5.14,1.0,3.36,3.36,1.0,1.0,1.0,1.0,3.12,3.12,1.0,2.19,5.43,5.43,1.0,6.861,3.28,3.28,1.0,39.02,39.02,1.0,6.51,6.51,1.0
05/01/2022 08:51:54.000000,21.73,21.73,1.0,7.33,7.33,1.0,3.63,3.63,1.0,0.81,0.81,1.0,3.39,3.39,1.0,2.33,5.58,5.58,1.0,7.086,3.54,3.54,1.0,39.75,39.75,1.0,6.48,6.48,1.0
05/01/2022 09:09:09.000000,21.97,21.97,1.0,5.12,5.12,1.0,3.45,3.45,1.0,1.0,1.0,1.0,3.25,3.25,1.0,2.0,5.48,5.48,1.0,6.518,3.37,3.37,1.0,40.66,40.66,1.0,6.04,6.04,1.0
05/01/2022 09:26:23.000000,27.37,27.37,1.0,5.38,5.38,1.0,3.61,3.61,1.0,1.04,1.04,1.0,3.43,3.43,1.0,2.38,5.59,5.59,1.0,7.072,3.54,3.54,1.0,41.65,41.65,1.0,5.63,5.63,1.0
05/01/2022 09:43:38.000000,30.45,30.45,1.0,6.73,6.73,1.0,3.88,3.88,1.0,1.19,1.19,1.0,3.62,3.62,1.0,2.31,5.73,5.73,1.0,6.932,3.8,3.8,1.0,43.39,43.39,1.0,5.25,5.25,1.0
05/01/2022 10:00:53.000000,27.89,27.89,1.0,6.69,6.69,1.0,3.3,3.3,1.0,1.0,1.0,1.0,2.98,2.98,1.0,2.23,5.39,5.39,1.0,6.753,3.24,3.24,1.0,43.5,43.5,1.0,4.86,4.86,1.0
