InstrumentName, La Casa Collo (A4KRV265),,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-05-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
05/01/2022 00:15:11.000000,-10.88,-10.88,1.0,2.23,2.23,1.0,2.24,2.24,1.0,0.19,0.19,1.0,2.13,2.13,1.0,0.62,4.34,4.34,1.0,2.19,2.19,1.0,17.9,17.9,1.0,19.03,19.03,1.0
05/01/2022 00:32:43.000000,-6.19,-6.19,1.0,3.35,3.35,1.0,2.87,2.87,1.0,0.58,0.58,1.0,2.7,2.7,1.0,1.58,4.77,4.77,1.0,2.8,2.8,1.0,18.21,18.21,1.0,18.76,18.76,1.0
05/01/2022 00:50:15.000000,-7.39,-7.39,1.0,1.92,1.92,1.0,1.82,1.82,1.0,0.19,0.19,1.0,1.73,1.73,1.0,0.58,4.1,4.1,1.0,1.78,1.78,1.0,18.68,18.68,1.0,18.4,18.4,1.0
05/01/2022 01:07:47.000000,-3.93,-3.93,1.0,2.15,2.15,1.0,2.14,2.14,1.0,0.04,0.04,1.0,2.0,2.0,1.0,0.62,4.33,4.33,1.0,2.1,2.1,1.0,19.29,19.29,1.0,17.95,17.95,1.0
05/01/2022 01:25:20.000000,-2.93,-2.93,1.0,1.92,1.92,1.0,1.84,1.84,1.0,0.0,0.0,1.0,1.71,1.71,1.0,0.58,4.14,4.14,1.0,1.79,1.79,1.0,20.1,20.1,1.0,17.46,17.46,1.0
05/01/2022 01:42:53.000000,-0.31,-0.31,1.0,2.15,2.15,1.0,2.1,2.1,1.0,0.19,0.19,1.0,1.99,1.99,1.0,0.81,4.35,4.35,1.0,2.06,2.06,1.0,20.74,20.74,1.0,16.84,16.84,1.0
05/01/2022 02:00:25.000000,0.3,0.3,1.0,2.35,2.35,1.0,2.17,2.17,1.0,0.0,0.0,1.0,2.03,2.03,1.0,0.81,4.42,4.42,1.0,2.13,2.13,1.0,21.66,21.66,1.0,16.2,16.2,1.0
05/01/2022 02:17:58.000000,1.94,1.94,1.0,2.19,2.19,1.0,1.98,1.98,1.0,0.23,0.23,1.0,1.86,1.86,1.0,0.65,4.33,4.33,1.0,1.95,1.95,1.0,22.16,22.16,1.0,15.69,15.69,1.0
05/01/2022 02:35:31.000000,4.08,4.08,1.0,3.08,3.08,1.0,2.66,2.66,1.0,0.38,0.38,1.0,2.51,2.51,1.0,1.35,4.78,4.78,1.0,2.6,2.6,1.0,22.76,22.76,1.0,15.25,15.25,1.0
05/01/2022 02:53:03.000000,3.27,3.27,1.0,2.54,2.54,1.0,2.62,2.62,1.0,0.58,0.58,1.0,2.48,2.48,1.0,1.19,4.8,4.8,1.0,2.58,2.58,1.0,23.04,23.04,1.0,14.74,14.74,1.0
