InstrumentName, CAMP,,,,,,,
StartTime, 2022-05-01 00:00:00,,,,,,,
EndTime, 2022-05-31 23:59:59,,,,,,,
Date,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Wind Direction,Wind Speed
05/01/2022 02:16:00.000000,0.353741,8.80475,59.235107,0.051775,11.573684,3.289474,76.166698,5.982878
05/01/2022 02:17:00.000000,0.250544,8.147,59.180754,0.05235,7.192105,3.857895,78.385237,3.972412
05/01/2022 02:18:00.000000,0.252861,7.822,59.227966,0.05065,10.644186,4.344186,102.477943,4.390045000000001
05/01/2022 02:19:00.000000,0.330087,7.26775,59.340576,0.05115,19.715,3.89,74.747782,3.637329
05/01/2022 02:20:00.000000,0.362248,7.062,59.079651,0.049625,10.960465,3.8,72.411719,1.998688
05/01/2022 02:21:00.000000,0.411103,6.6495,59.074432,0.048125,18.226316,5.989474,72.751478,5.817505
05/01/2022 02:22:00.000000,0.329836,6.583,58.980499,0.050775,5.302439,3.414634,76.87557,5.398193
05/01/2022 02:23:00.000000,0.237404,6.5745,59.079275,0.052,5.542857,3.657143,75.262266,6.087923
05/01/2022 02:24:00.000000,0.220787,6.528,58.895355,0.051725,11.075,4.65,68.476333,5.51889
05/01/2022 02:25:00.000000,0.224692,6.59775,59.029114,0.051125,5.063636,3.418182,91.723978,5.286346
05/01/2022 02:26:00.000000,0.258207,6.30925,59.111786,0.05155,6.781395,3.544186,81.547011,4.563385
05/01/2022 02:27:00.000000,0.311285,6.46975,58.828339,0.050025,9.2125,4.45,67.151753,6.216064
05/01/2022 02:28:00.000000,0.301401,5.1255,58.818726,0.04945,3.942105,3.084211,80.404802,5.601746
05/01/2022 02:29:00.000000,0.279414,6.44775,58.917328,0.049625,9.3,3.889189,61.099217,4.125
05/01/2022 02:30:00.000000,0.266729,7.09775,58.996429,0.0494,3.5625,2.825,89.214154,5.499512
05/01/2022 02:31:00.000000,0.249402,5.653,58.8591,0.050275,12.372973,3.724324,91.23558,4.934937
05/01/2022 02:32:00.000000,0.252385,6.7185,58.825592,0.049675,4.973684,3.394737,52.611832,4.838196
05/01/2022 02:33:00.000000,0.32668,6.83025,58.64624,0.047825,19.631707,9.104878,75.441959,3.975464
05/01/2022 02:34:00.000000,0.439113,6.96225,58.779175,0.047275,17.081395,4.490698,71.888561,4.376465
05/01/2022 02:35:00.000000,0.468634,6.92975,58.586365,0.0488,17.65,5.15,83.810063,2.654663
05/01/2022 02:36:00.000000,0.345969,7.00825,58.540771,0.048275,7.872727,3.845455,80.29087,1.9529109999999998
05/01/2022 02:37:00.000000,0.373165,7.20625,58.353729,0.0477,3.780952,3.342857,84.263251,3.305603
05/01/2022 02:38:00.000000,0.414688,11.688,58.324066,0.04495,7.530233,3.048837,71.657403,2.2251279999999998
05/01/2022 02:39:00.000000,0.351503,13.4365,58.237549,0.04225,9.73,4.19,45.390687,6.326233
05/01/2022 02:40:00.000000,0.391656,9.19225,58.19223,0.043125,16.063158,3.473684,42.935449,6.201111
05/01/2022 02:41:00.000000,0.368448,5.6215,58.318024,0.048,19.163415,4.153659,55.486077,7.302032
05/01/2022 02:42:00.000000,0.275434,6.95675,58.340546,0.0489,5.434884,2.960465,57.282852,6.108643
05/01/2022 02:43:00.000000,0.243244,7.96175,58.364716,0.047475,14.565854,3.72439,64.623223,4.962708
05/01/2022 02:44:00.000000,0.297836,8.143,58.265564,0.04585,9.685366,3.302439,72.313549,2.0568239999999998
05/01/2022 02:45:00.000000,0.31406,8.626,58.137573,0.043225,16.557143,4.116667,44.315234,4.285216999999999
05/01/2022 02:46:00.000000,0.341263,9.31125,58.161194,0.041525,11.535897,4.910256,73.53797,3.750549
05/01/2022 02:47:00.000000,0.499139,10.92475,58.350708,0.04205,4.541463,3.804878,103.513128,4.486022999999999
05/01/2022 02:48:00.000000,0.460787,10.917,58.155975,0.04435,9.526087,4.023913,67.302258,7.644897
05/01/2022 02:49:00.000000,0.329524,10.13375,58.18042,0.044625,8.334884,4.1,53.611219,6.977478
05/01/2022 02:50:00.000000,0.266773,7.7845,58.144165,0.045925,9.944186,4.54186,68.338006,7.962891
05/01/2022 02:51:00.000000,0.245357,6.08475,58.039795,0.0487,8.228571,4.942857,85.404891,5.401703
05/01/2022 02:52:00.000000,0.297295,6.162,58.138397,0.0474,15.21,4.66,59.513257,5.761047
05/01/2022 02:53:00.000000,0.449529,6.233,57.984401,0.0467,7.866667,4.085714,47.277492,4.937892
05/01/2022 02:54:00.000000,0.412101,6.18475,57.917905,0.047575,10.75,4.325,81.360335,4.60766
05/01/2022 02:55:00.000000,0.258315,6.15875,57.762665,0.047825,25.403448,2.565517,34.196726,2.500549
05/01/2022 02:56:00.000000,0.22981,6.4125,57.783539,0.046025,15.438462,4.615385,59.790876,4.8020320000000005
05/01/2022 02:57:00.000000,0.332113,6.98225,57.665161,0.0441,5.004545,3.790909,54.456915,5.022675
05/01/2022 02:58:00.000000,0.321994,7.3045,57.561615,0.0451,3.007692,2.923077,49.08898,2.244049
