InstrumentName, CAMP,,,,
StartTime, 2020-02-01 00:00:00,,,,
EndTime, 2020-02-29 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
02/01/2020 00:00:00.000000,0.3,19.0,27.0,16.2,0.0
02/01/2020 01:00:00.000000,0.4,20.0,24.0,19.0,0.0
02/01/2020 02:00:00.000000,0.4,24.0,20.0,21.8,0.0
02/01/2020 03:00:00.000000,0.4,22.0,21.0,16.4,0.0
02/01/2020 04:00:00.000000,0.4,25.0,18.0,22.7,0.0
02/01/2020 05:00:00.000000,0.5,,5.0,20.3,0.0
02/01/2020 06:00:00.000000,0.3,24.0,12.0,8.9,0.0
02/01/2020 07:00:00.000000,0.2,18.0,16.0,6.1,0.0
02/01/2020 08:00:00.000000,0.3,22.0,16.0,6.7,0.0
02/01/2020 09:00:00.000000,0.3,23.0,16.0,7.9,0.0
02/01/2020 10:00:00.000000,0.2,16.0,22.0,3.7,0.0
02/01/2020 11:00:00.000000,0.2,13.0,23.0,1.9,0.0
02/01/2020 12:00:00.000000,0.2,19.0,19.0,3.3,0.0
02/01/2020 13:00:00.000000,0.4,15.0,27.0,8.3,0.0
02/01/2020 14:00:00.000000,0.3,14.0,30.0,10.5,0.0
02/01/2020 15:00:00.000000,0.3,17.0,27.0,15.8,0.0
02/01/2020 16:00:00.000000,0.2,18.0,28.0,15.5,0.0
02/01/2020 17:00:00.000000,0.2,10.0,38.0,12.7,0.0
02/01/2020 18:00:00.000000,0.2,7.0,45.0,19.9,0.0
02/01/2020 19:00:00.000000,0.1,4.0,46.0,14.4,0.0
02/01/2020 20:00:00.000000,0.1,5.0,46.0,6.6,0.0
02/01/2020 21:00:00.000000,0.1,5.0,46.0,4.8,0.0
02/01/2020 22:00:00.000000,0.2,6.0,46.0,10.2,0.0
02/01/2020 23:00:00.000000,0.2,6.0,,7.1,0.0
02/02/2020 00:00:00.000000,0.1,5.0,48.0,7.4,0.0
02/02/2020 01:00:00.000000,0.1,5.0,49.0,6.5,0.0
02/02/2020 02:00:00.000000,0.2,8.0,45.0,3.0,0.0
02/02/2020 03:00:00.000000,0.1,6.0,48.0,2.5,0.0
02/02/2020 04:00:00.000000,0.2,10.0,42.0,4.9,0.0
02/02/2020 05:00:00.000000,0.3,,33.0,5.1,0.0
02/02/2020 06:00:00.000000,0.2,12.0,35.0,4.7,0.0
02/02/2020 07:00:00.000000,0.1,7.0,34.0,2.4,0.0
02/02/2020 08:00:00.000000,0.1,6.0,41.0,1.5,0.0
02/02/2020 09:00:00.000000,0.1,5.0,42.0,1.4,0.0
02/02/2020 10:00:00.000000,0.1,4.0,44.0,1.8,0.0
02/02/2020 11:00:00.000000,0.1,5.0,44.0,1.7,0.0
02/02/2020 12:00:00.000000,0.1,7.0,42.0,1.8,0.0
02/02/2020 13:00:00.000000,0.1,8.0,42.0,6.6,0.0
02/02/2020 14:00:00.000000,0.1,8.0,42.0,2.4,0.0
02/02/2020 15:00:00.000000,0.1,8.0,41.0,7.5,0.0
02/02/2020 16:00:00.000000,0.1,6.0,43.0,6.6,0.0
02/02/2020 17:00:00.000000,0.1,5.0,45.0,9.7,0.0
02/02/2020 18:00:00.000000,0.1,4.0,47.0,8.2,0.0
02/02/2020 19:00:00.000000,0.1,4.0,48.0,4.7,0.0
02/02/2020 20:00:00.000000,0.1,3.0,49.0,3.5,0.0
02/02/2020 21:00:00.000000,0.2,3.0,49.0,4.1,0.0
02/02/2020 22:00:00.000000,0.2,5.0,48.0,2.9,0.0
02/02/2020 23:00:00.000000,0.2,5.0,48.0,3.3,0.0
02/03/2020 00:00:00.000000,0.2,10.0,41.0,5.6,0.0
02/03/2020 01:00:00.000000,0.3,24.0,28.0,8.8,0.0
02/03/2020 02:00:00.000000,0.2,15.0,33.0,5.1,0.0
02/03/2020 03:00:00.000000,0.2,11.0,35.0,4.0,0.0
02/03/2020 04:00:00.000000,0.3,23.0,22.0,34.9,0.0
02/03/2020 05:00:00.000000,0.1,,28.0,23.6,0.0
02/03/2020 06:00:00.000000,0.1,3.0,32.0,7.8,0.0
02/03/2020 07:00:00.000000,0.1,5.0,25.0,4.8,0.0
02/03/2020 08:00:00.000000,0.1,4.0,34.0,3.0,0.0
02/03/2020 09:00:00.000000,0.1,4.0,33.0,4.3,0.0
02/03/2020 10:00:00.000000,0.1,5.0,29.0,4.4,0.0
02/03/2020 11:00:00.000000,0.1,8.0,25.0,5.1,0.0
02/03/2020 12:00:00.000000,0.2,11.0,22.0,3.2,0.0
02/03/2020 13:00:00.000000,0.2,8.0,25.0,1.2,0.0
02/03/2020 14:00:00.000000,0.2,9.0,21.0,1.7,0.0
02/03/2020 15:00:00.000000,0.3,11.0,20.0,,0.0
02/03/2020 16:00:00.000000,0.3,11.0,20.0,2.8,0.0
02/03/2020 17:00:00.000000,0.2,,,3.7,0.0
02/03/2020 18:00:00.000000,0.2,,,,0.0
02/03/2020 19:00:00.000000,0.2,,,4.1,0.0
02/03/2020 20:00:00.000000,0.3,,24.0,4.5,0.0
02/03/2020 21:00:00.000000,0.3,,25.0,3.8,0.0
02/03/2020 22:00:00.000000,0.2,11.0,25.0,4.4,0.0
02/03/2020 23:00:00.000000,0.3,12.0,24.0,6.8,0.0
02/04/2020 00:00:00.000000,0.3,13.0,23.0,3.1,0.0
02/04/2020 01:00:00.000000,0.2,13.0,23.0,5.5,0.0
02/04/2020 02:00:00.000000,0.2,11.0,25.0,10.3,0.0
02/04/2020 03:00:00.000000,0.1,9.0,27.0,4.5,0.0
02/04/2020 04:00:00.000000,0.1,8.0,28.0,4.7,0.0
02/04/2020 05:00:00.000000,0.1,,29.0,4.2,0.0
02/04/2020 06:00:00.000000,0.1,8.0,28.0,1.7,0.0
02/04/2020 07:00:00.000000,0.1,11.0,20.0,2.2,0.0
02/04/2020 08:00:00.000000,0.1,8.0,27.0,1.9,0.0
02/04/2020 09:00:00.000000,0.1,11.0,23.0,2.1,0.0
02/04/2020 10:00:00.000000,0.1,16.0,19.0,2.6,0.0
02/04/2020 11:00:00.000000,0.2,16.0,20.0,4.5,0.0
02/04/2020 12:00:00.000000,0.2,21.0,15.0,3.8,0.0
02/04/2020 13:00:00.000000,0.3,33.0,7.0,5.7,0.0
02/04/2020 14:00:00.000000,0.2,18.0,19.0,3.9,0.0
02/04/2020 15:00:00.000000,0.3,17.0,20.0,5.4,0.0
02/04/2020 16:00:00.000000,,11.0,25.0,12.1,0.0
02/04/2020 17:00:00.000000,0.2,14.0,21.0,25.4,0.0
02/04/2020 18:00:00.000000,0.2,12.0,27.0,27.7,0.0
02/04/2020 19:00:00.000000,0.2,9.0,31.0,16.4,0.0
02/04/2020 20:00:00.000000,0.2,10.0,31.0,6.6,0.0
02/04/2020 21:00:00.000000,0.2,10.0,30.0,6.5,
02/04/2020 22:00:00.000000,0.2,10.0,30.0,4.7,
02/04/2020 23:00:00.000000,0.3,15.0,26.0,3.4,0.0
02/05/2020 00:00:00.000000,0.3,15.0,26.0,7.0,0.0
02/05/2020 01:00:00.000000,0.3,17.0,24.0,3.5,0.0
02/05/2020 02:00:00.000000,0.3,21.0,19.0,5.4,0.0
02/05/2020 03:00:00.000000,0.3,25.0,15.0,5.9,0.0
02/05/2020 04:00:00.000000,0.2,20.0,20.0,10.2,0.0
02/05/2020 05:00:00.000000,0.3,,20.0,12.0,0.0
02/05/2020 06:00:00.000000,0.4,18.0,21.0,5.7,0.0
02/05/2020 07:00:00.000000,0.3,29.0,6.0,7.8,0.0
02/05/2020 08:00:00.000000,0.2,30.0,8.0,8.1,0.0
02/05/2020 09:00:00.000000,0.2,21.0,16.0,8.3,0.0
02/05/2020 10:00:00.000000,0.2,14.0,22.0,9.9,0.0
02/05/2020 11:00:00.000000,0.2,23.0,14.0,12.1,0.0
