InstrumentName, I-25 Denver,,
StartTime, 2020-02-01 00:00:00,,
EndTime, 2020-02-29 23:59:59,,
Date,CO,NO2,PM2.5
02/01/2020 00:00:00.000000,0.6,30.0,4.0
02/01/2020 01:00:00.000000,0.7,38.0,5.2
02/01/2020 02:00:00.000000,0.5,26.0,4.4
02/01/2020 03:00:00.000000,0.4,23.0,3.3
02/01/2020 04:00:00.000000,0.7,26.0,5.2
02/01/2020 05:00:00.000000,0.6,,4.6
02/01/2020 06:00:00.000000,0.4,29.0,2.3
02/01/2020 07:00:00.000000,0.4,27.0,1.9
02/01/2020 08:00:00.000000,0.4,32.0,2.0
02/01/2020 09:00:00.000000,0.4,34.0,2.9
02/01/2020 10:00:00.000000,0.2,26.0,1.3
02/01/2020 11:00:00.000000,0.2,22.0,1.2
02/01/2020 12:00:00.000000,0.3,33.0,3.1
02/01/2020 13:00:00.000000,0.3,26.0,2.0
02/01/2020 14:00:00.000000,0.3,22.0,2.3
02/01/2020 15:00:00.000000,0.4,27.0,3.4
02/01/2020 16:00:00.000000,0.3,15.0,2.4
02/01/2020 17:00:00.000000,0.3,13.0,1.9
02/01/2020 18:00:00.000000,0.3,10.0,2.1
02/01/2020 19:00:00.000000,0.3,15.0,2.3
02/01/2020 20:00:00.000000,0.4,15.0,1.5
02/01/2020 21:00:00.000000,0.3,11.0,1.6
02/01/2020 22:00:00.000000,0.3,15.0,1.9
02/01/2020 23:00:00.000000,0.4,19.0,1.5
02/02/2020 00:00:00.000000,0.3,12.0,2.0
02/02/2020 01:00:00.000000,0.3,12.0,1.5
02/02/2020 02:00:00.000000,0.3,13.0,1.3
02/02/2020 03:00:00.000000,0.3,14.0,1.8
02/02/2020 04:00:00.000000,0.4,24.0,2.4
02/02/2020 05:00:00.000000,0.4,,2.8
02/02/2020 06:00:00.000000,0.4,29.0,3.0
02/02/2020 07:00:00.000000,0.3,29.0,2.7
02/02/2020 08:00:00.000000,0.5,28.0,2.7
02/02/2020 09:00:00.000000,0.4,26.0,2.3
02/02/2020 10:00:00.000000,0.4,28.0,2.5
02/02/2020 11:00:00.000000,0.4,35.0,2.5
02/02/2020 12:00:00.000000,0.5,39.0,3.1
02/02/2020 13:00:00.000000,0.4,29.0,2.7
02/02/2020 14:00:00.000000,0.2,22.0,1.4
02/02/2020 15:00:00.000000,0.2,8.0,1.1
02/02/2020 16:00:00.000000,0.2,11.0,1.7
02/02/2020 17:00:00.000000,0.2,11.0,1.5
02/02/2020 18:00:00.000000,0.2,11.0,1.3
02/02/2020 19:00:00.000000,0.2,9.0,1.9
02/02/2020 20:00:00.000000,0.2,11.0,0.8
02/02/2020 21:00:00.000000,0.3,13.0,1.2
02/02/2020 22:00:00.000000,0.3,14.0,0.9
02/02/2020 23:00:00.000000,0.4,18.0,1.3
02/03/2020 00:00:00.000000,0.4,25.0,1.9
02/03/2020 01:00:00.000000,0.6,47.0,4.0
02/03/2020 02:00:00.000000,0.5,32.0,5.2
02/03/2020 03:00:00.000000,0.3,26.0,3.7
02/03/2020 04:00:00.000000,0.5,32.0,4.5
02/03/2020 05:00:00.000000,0.2,,2.3
02/03/2020 06:00:00.000000,0.2,7.0,1.4
02/03/2020 07:00:00.000000,0.2,8.0,1.2
02/03/2020 08:00:00.000000,0.1,7.0,1.1
02/03/2020 09:00:00.000000,0.2,8.0,1.6
02/03/2020 10:00:00.000000,0.2,8.0,1.7
02/03/2020 11:00:00.000000,0.2,13.0,1.6
02/03/2020 12:00:00.000000,0.4,18.0,1.8
02/03/2020 13:00:00.000000,0.2,9.0,0.8
02/03/2020 14:00:00.000000,0.2,15.0,1.4
02/03/2020 15:00:00.000000,0.3,18.0,2.2
02/03/2020 16:00:00.000000,0.1,18.0,1.7
02/03/2020 17:00:00.000000,0.2,17.0,3.1
02/03/2020 18:00:00.000000,0.1,11.0,2.4
02/03/2020 19:00:00.000000,0.1,12.0,2.3
02/03/2020 20:00:00.000000,0.2,17.0,2.3
02/03/2020 21:00:00.000000,0.2,14.0,3.4
02/03/2020 22:00:00.000000,0.2,11.0,1.6
02/03/2020 23:00:00.000000,0.2,13.0,1.8
02/04/2020 00:00:00.000000,0.2,11.0,2.2
02/04/2020 01:00:00.000000,0.2,12.0,1.3
02/04/2020 02:00:00.000000,0.1,9.0,1.3
02/04/2020 03:00:00.000000,0.1,7.0,1.1
02/04/2020 04:00:00.000000,0.1,8.0,1.5
02/04/2020 05:00:00.000000,0.1,,1.0
02/04/2020 06:00:00.000000,0.1,11.0,1.0
02/04/2020 07:00:00.000000,0.1,9.0,1.0
02/04/2020 08:00:00.000000,0.1,15.0,1.6
02/04/2020 09:00:00.000000,0.1,16.0,1.4
02/04/2020 10:00:00.000000,0.1,12.0,1.1
02/04/2020 11:00:00.000000,0.1,16.0,1.8
02/04/2020 12:00:00.000000,0.2,23.0,3.5
02/04/2020 13:00:00.000000,0.3,27.0,3.7
02/04/2020 14:00:00.000000,0.2,24.0,2.8
02/04/2020 15:00:00.000000,0.2,19.0,34.3
02/04/2020 16:00:00.000000,,13.0,12.1
02/04/2020 17:00:00.000000,,21.0,20.4
02/04/2020 18:00:00.000000,0.4,20.0,13.6
02/04/2020 19:00:00.000000,0.3,17.0,4.8
02/04/2020 20:00:00.000000,0.3,16.0,3.6
02/04/2020 21:00:00.000000,0.3,,2.7
02/04/2020 22:00:00.000000,0.5,,2.7
02/04/2020 23:00:00.000000,0.6,24.0,5.7
02/05/2020 00:00:00.000000,0.5,28.0,2.9
02/05/2020 01:00:00.000000,0.4,24.0,2.7
02/05/2020 02:00:00.000000,0.4,25.0,3.2
02/05/2020 03:00:00.000000,0.5,29.0,5.3
02/05/2020 04:00:00.000000,0.2,23.0,4.4
02/05/2020 05:00:00.000000,0.2,,5.4
02/05/2020 06:00:00.000000,0.2,19.0,4.3
02/05/2020 07:00:00.000000,0.2,24.0,5.3
02/05/2020 08:00:00.000000,0.2,28.0,6.0
02/05/2020 09:00:00.000000,0.2,25.0,6.6
02/05/2020 10:00:00.000000,0.3,27.0,6.1
02/05/2020 11:00:00.000000,0.3,35.0,5.6
02/05/2020 12:00:00.000000,0.4,38.0,6.8
02/05/2020 13:00:00.000000,0.7,40.0,8.1
02/05/2020 14:00:00.000000,1.0,40.0,8.4
02/05/2020 15:00:00.000000,1.0,35.0,8.1
02/05/2020 16:00:00.000000,0.7,29.0,7.8
02/05/2020 17:00:00.000000,0.7,32.0,12.6
02/05/2020 18:00:00.000000,0.5,24.0,9.9
02/05/2020 19:00:00.000000,0.3,21.0,9.0
02/05/2020 20:00:00.000000,0.4,22.0,9.8
02/05/2020 21:00:00.000000,0.4,24.0,8.1
02/05/2020 22:00:00.000000,0.4,22.0,7.4
02/05/2020 23:00:00.000000,0.4,29.0,5.2
02/06/2020 00:00:00.000000,0.5,35.0,4.9
02/06/2020 01:00:00.000000,0.4,27.0,3.6
02/06/2020 02:00:00.000000,0.7,47.0,6.7
02/06/2020 03:00:00.000000,0.5,38.0,5.7
02/06/2020 04:00:00.000000,0.4,32.0,4.3
02/06/2020 05:00:00.000000,0.3,,3.5
02/06/2020 06:00:00.000000,0.3,43.0,3.7
02/06/2020 07:00:00.000000,0.3,42.0,3.5
02/06/2020 08:00:00.000000,0.4,42.0,3.2
02/06/2020 09:00:00.000000,0.3,41.0,2.7
02/06/2020 10:00:00.000000,0.3,40.0,2.4
02/06/2020 11:00:00.000000,0.4,45.0,2.9
02/06/2020 12:00:00.000000,0.5,45.0,3.2
02/06/2020 13:00:00.000000,0.6,44.0,3.9
02/06/2020 14:00:00.000000,0.6,43.0,5.1
02/06/2020 15:00:00.000000,1.3,50.0,11.1
02/06/2020 16:00:00.000000,1.1,51.0,13.7
02/06/2020 17:00:00.000000,0.6,25.0,6.9
