InstrumentName, JFK High School (AKLZ678D_3.2),,,,,,,,
StartTime, 2020-02-01 00:00:00,,,,,,,,
EndTime, 2020-02-29 23:59:59,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,relHumid,temperature
02/01/2020 00:04:35.535000,11.036398,0.235294,0.995294,0.0,0.942941,0.235294,0.983529,19.414053,10.711071
02/01/2020 00:12:13.828000,11.461845,1.705882,1.702353,0.0,1.608235,0.764706,1.68,19.896238,10.524147
02/01/2020 00:19:51.896000,16.245974,1.176471,1.575294,0.0,1.508235,0.235294,1.563529,20.55085,10.270466
02/01/2020 00:27:27.275000,13.907433,0.705882,1.683529,0.0,1.592941,0.705882,1.658824,20.857557,10.019455
02/01/2020 00:35:02.391000,15.784531,1.705882,2.438823,0.235294,2.373529,1.176471,2.407647,21.364157,9.763103
02/01/2020 00:42:40.647000,11.954996,0.761905,1.608572,0.0,1.488572,0.761905,1.591905,21.35195,9.57885
02/01/2020 00:50:15.881000,13.782478,1.882353,2.378824,0.235294,2.261765,1.647059,2.338824,21.739529,9.466698
02/01/2020 00:57:51.133000,8.188828,0.235294,1.392353,0.0,1.335294,0.235294,1.380588,22.14847,9.298466
02/01/2020 01:05:26.357000,10.850178,1.235294,1.898823,0.0,1.809412,1.235294,1.874706,23.007553,9.130238
02/01/2020 01:13:04.483000,6.093136,1.411765,2.438823,0.470588,2.314706,1.411765,2.429412,23.598078,8.945984
02/01/2020 01:20:42.527000,16.570145,0.529412,1.732941,0.0,1.669412,0.529412,1.711177,23.773556,8.876556
02/01/2020 01:28:20.709000,15.380175,1.0,2.004706,0.0,1.922941,1.0,1.978235,23.996338,8.649578
02/01/2020 01:35:59.024000,16.505104,3.235294,4.435294,1.294118,4.247647,2.529412,4.418235,24.611277,8.451973
02/01/2020 01:43:37.253000,18.057407,2.529412,2.738824,0.823529,2.61,1.823529,2.719412,25.438316,8.18494
02/01/2020 01:51:15.707000,14.262705,1.647059,2.212941,0.058824,2.117647,0.882353,2.179412,26.414892,7.960632
02/01/2020 01:58:53.817000,17.835745,2.0,2.643529,0.235294,2.512941,1.705882,2.597647,27.177843,7.832455
02/01/2020 02:06:32.074000,25.058949,4.476191,4.722857,2.047619,4.467144,3.52381,4.681905,28.209354,7.690929
02/01/2020 02:14:10.211000,27.301699,5.117647,5.789412,2.176471,5.498235,4.588235,5.768823,28.958572,7.776379
02/01/2020 02:21:48.392000,11.5084,1.235294,2.594118,0.529412,2.50353,1.235294,2.574706,29.713894,7.776379
02/01/2020 02:29:26.516000,21.191771,2.941176,3.144706,1.0,2.954706,2.470588,3.098824,30.681314,7.632183
02/01/2020 02:37:04.898000,15.501163,2.470588,3.589412,1.235294,3.452353,2.470588,3.567647,31.586176,7.365147
02/01/2020 02:44:43.064000,10.931084,1.941176,2.132941,0.0,2.021177,0.764706,2.099412,32.169071,7.196918
02/01/2020 02:52:21.229000,20.303391,4.058824,3.908235,1.058824,3.785294,2.529412,3.878824,33.119705,7.028687
02/01/2020 02:59:56.382000,31.516197,3.52381,3.857619,1.285714,3.710476,2.761905,3.831429,33.423363,6.887161
02/01/2020 03:07:31.534000,22.005362,6.294117,4.244706,1.294118,4.002941,3.470588,4.19,33.595787,6.804379
02/01/2020 03:15:09.754000,25.69191,7.764706,6.767647,3.764706,6.436471,6.235294,6.718235,34.048981,6.761654
02/01/2020 03:22:48.225000,23.344036,5.0,4.358824,1.411765,4.142353,4.058824,4.303529,34.000153,6.761654
02/01/2020 03:30:26.606000,17.687595,2.235294,2.775294,0.529412,2.647059,1.529412,2.751765,33.920807,6.929886
02/01/2020 03:38:01.762000,17.353308,2.0,3.007059,0.764706,2.852941,2.0,2.981764,33.95285,7.154194
02/01/2020 03:45:39.962000,18.418524,4.0,4.185882,1.235294,3.997059,3.529412,4.13647,34.013885,7.183567
02/01/2020 03:53:15.236000,20.273035,2.058824,2.774706,0.294118,2.690588,1.705882,2.750588,34.644085,6.985962
02/01/2020 04:00:53.595000,21.68787,2.529412,3.095294,0.764706,2.954118,2.470588,3.061176,35.024033,6.887161
02/01/2020 04:08:31.963000,32.491028,6.235294,5.707059,2.0,5.468235,5.176471,5.648235,35.991455,6.676205
02/01/2020 04:16:07.343000,34.394268,6.470588,6.0,3.0,5.712941,5.764706,5.948823,36.713207,6.449226
02/01/2020 04:23:45.788000,28.932997,6.470588,5.404706,2.176471,5.134118,5.764706,5.348235,36.806286,6.307697
