InstrumentName, La Casa,,,,
StartTime, 2020-02-01 00:00:00,,,,
EndTime, 2020-02-29 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
02/01/2020 00:00:00.000000,0.2,18.0,27.0,12.5,0.0
02/01/2020 01:00:00.000000,0.2,20.0,24.0,14.3,0.0
02/01/2020 02:00:00.000000,0.3,26.0,17.0,15.5,0.0
02/01/2020 03:00:00.000000,0.5,36.0,3.0,23.0,0.0
02/01/2020 04:00:00.000000,0.7,,0.0,29.6,1.0
02/01/2020 05:00:00.000000,0.7,37.0,0.0,23.7,1.0
02/01/2020 06:00:00.000000,0.2,26.0,7.0,13.9,0.0
02/01/2020 07:00:00.000000,0.2,21.0,13.0,9.8,
02/01/2020 08:00:00.000000,0.3,26.0,9.0,10.3,0.0
02/01/2020 09:00:00.000000,0.3,32.0,3.0,11.9,0.0
02/01/2020 10:00:00.000000,0.1,9.0,30.0,4.6,0.0
02/01/2020 11:00:00.000000,0.1,18.0,18.0,6.5,0.0
02/01/2020 12:00:00.000000,0.2,27.0,9.0,6.8,0.0
02/01/2020 13:00:00.000000,0.4,36.0,1.0,11.2,0.0
02/01/2020 14:00:00.000000,0.6,38.0,3.0,16.8,1.0
02/01/2020 15:00:00.000000,0.4,33.0,12.0,19.2,0.0
02/01/2020 16:00:00.000000,0.6,41.0,9.0,32.7,1.0
02/01/2020 17:00:00.000000,0.4,29.0,24.0,30.1,1.0
02/01/2020 18:00:00.000000,0.1,3.0,46.0,14.8,0.0
02/01/2020 19:00:00.000000,0.1,4.0,46.0,12.2,0.0
02/01/2020 20:00:00.000000,0.1,3.0,46.0,8.8,0.0
02/01/2020 21:00:00.000000,0.1,3.0,47.0,7.4,0.0
02/01/2020 22:00:00.000000,0.1,3.0,48.0,8.2,0.0
02/01/2020 23:00:00.000000,0.2,5.0,47.0,9.8,0.0
02/02/2020 00:00:00.000000,0.1,4.0,50.0,8.0,0.0
02/02/2020 01:00:00.000000,0.1,3.0,51.0,6.5,0.0
02/02/2020 02:00:00.000000,0.1,5.0,49.0,5.4,0.0
02/02/2020 03:00:00.000000,0.1,5.0,49.0,5.7,0.0
02/02/2020 04:00:00.000000,0.1,,45.0,6.3,0.0
02/02/2020 05:00:00.000000,0.2,19.0,31.0,9.3,0.0
02/02/2020 06:00:00.000000,0.2,14.0,34.0,9.6,0.0
02/02/2020 07:00:00.000000,0.2,19.0,26.0,10.2,
02/02/2020 08:00:00.000000,0.2,12.0,33.0,7.5,0.0
02/02/2020 09:00:00.000000,0.2,12.0,33.0,6.7,0.0
02/02/2020 10:00:00.000000,0.1,13.0,33.0,7.6,0.0
02/02/2020 11:00:00.000000,0.1,11.0,35.0,7.4,0.0
02/02/2020 12:00:00.000000,0.1,13.0,35.0,6.7,0.0
02/02/2020 13:00:00.000000,0.1,12.0,37.0,9.0,0.0
02/02/2020 14:00:00.000000,0.1,11.0,39.0,7.7,0.0
02/02/2020 15:00:00.000000,0.1,7.0,43.0,9.0,0.0
02/02/2020 16:00:00.000000,0.1,6.0,44.0,7.1,0.0
02/02/2020 17:00:00.000000,0.1,5.0,46.0,8.9,0.0
02/02/2020 18:00:00.000000,0.1,3.0,49.0,9.6,0.0
02/02/2020 19:00:00.000000,0.1,3.0,50.0,6.2,0.0
02/02/2020 20:00:00.000000,0.1,2.0,51.0,9.4,0.0
02/02/2020 21:00:00.000000,0.1,3.0,51.0,7.8,0.0
02/02/2020 22:00:00.000000,0.1,3.0,50.0,5.8,0.0
02/02/2020 23:00:00.000000,0.2,4.0,49.0,8.4,0.0
02/03/2020 00:00:00.000000,0.2,9.0,43.0,9.8,0.0
02/03/2020 01:00:00.000000,0.4,32.0,19.0,14.2,0.0
02/03/2020 02:00:00.000000,0.4,21.0,27.0,25.8,0.0
02/03/2020 03:00:00.000000,0.3,19.0,26.0,22.0,0.0
02/03/2020 04:00:00.000000,0.2,,23.0,35.1,0.0
02/03/2020 05:00:00.000000,0.1,3.0,31.0,21.5,0.0
02/03/2020 06:00:00.000000,0.1,4.0,33.0,14.2,0.0
02/03/2020 07:00:00.000000,0.1,4.0,35.0,10.0,
02/03/2020 08:00:00.000000,0.1,9.0,31.0,11.6,0.0
02/03/2020 09:00:00.000000,0.1,9.0,31.0,8.7,0.0
02/03/2020 10:00:00.000000,0.1,8.0,28.0,10.2,0.0
02/03/2020 11:00:00.000000,0.1,13.0,22.0,10.0,0.0
02/03/2020 12:00:00.000000,0.1,10.0,25.0,10.0,0.0
02/03/2020 13:00:00.000000,0.1,9.0,25.0,3.2,0.0
02/03/2020 14:00:00.000000,0.2,9.0,23.0,6.5,0.0
02/03/2020 15:00:00.000000,0.2,16.0,18.0,8.7,0.0
02/03/2020 16:00:00.000000,0.1,11.0,21.0,10.0,0.0
02/03/2020 17:00:00.000000,0.1,9.0,24.0,10.3,0.0
02/03/2020 18:00:00.000000,0.1,11.0,26.0,11.1,0.0
02/03/2020 19:00:00.000000,0.1,11.0,27.0,9.6,0.0
02/03/2020 20:00:00.000000,0.1,14.0,25.0,10.9,0.0
02/03/2020 21:00:00.000000,0.1,12.0,26.0,10.6,0.0
02/03/2020 22:00:00.000000,0.1,10.0,27.0,9.5,0.0
02/03/2020 23:00:00.000000,0.2,10.0,27.0,9.4,0.0
02/04/2020 00:00:00.000000,0.2,13.0,24.0,10.0,0.0
02/04/2020 01:00:00.000000,0.1,11.0,25.0,8.2,0.0
02/04/2020 02:00:00.000000,0.1,11.0,26.0,7.0,0.0
02/04/2020 03:00:00.000000,0.1,11.0,27.0,8.1,0.0
02/04/2020 04:00:00.000000,0.1,,27.0,6.7,0.0
02/04/2020 05:00:00.000000,0.1,10.0,27.0,7.9,0.0
02/04/2020 06:00:00.000000,0.1,10.0,29.0,6.9,0.0
02/04/2020 07:00:00.000000,0.1,17.0,21.0,8.5,
02/04/2020 08:00:00.000000,0.1,15.0,22.0,8.5,0.0
02/04/2020 09:00:00.000000,0.1,20.0,17.0,10.4,0.0
02/04/2020 10:00:00.000000,0.1,21.0,16.0,9.3,0.0
02/04/2020 11:00:00.000000,0.2,24.0,14.0,9.0,0.0
02/04/2020 12:00:00.000000,0.1,20.0,17.0,10.2,0.0
02/04/2020 13:00:00.000000,0.2,16.0,20.0,11.7,0.0
02/04/2020 14:00:00.000000,0.1,17.0,21.0,10.0,0.0
02/04/2020 15:00:00.000000,0.1,14.0,25.0,8.1,0.0
02/04/2020 16:00:00.000000,0.2,15.0,26.0,9.0,0.0
02/04/2020 17:00:00.000000,,14.0,,12.4,0.0
02/04/2020 18:00:00.000000,0.1,12.0,,11.9,0.0
02/04/2020 19:00:00.000000,0.1,9.0,,11.2,0.0
02/04/2020 20:00:00.000000,0.2,10.0,,9.4,0.0
02/04/2020 21:00:00.000000,0.2,14.0,,9.1,
02/04/2020 22:00:00.000000,0.2,,,8.6,0.0
02/04/2020 23:00:00.000000,0.2,14.0,,7.4,0.0
02/05/2020 00:00:00.000000,0.2,20.0,,8.1,0.0
02/05/2020 01:00:00.000000,0.2,22.0,,8.6,0.0
02/05/2020 02:00:00.000000,0.3,30.0,,10.4,0.0
02/05/2020 03:00:00.000000,0.4,38.0,,13.7,0.0
02/05/2020 04:00:00.000000,0.4,,,15.5,0.0
02/05/2020 05:00:00.000000,0.3,26.0,,13.0,0.0
02/05/2020 06:00:00.000000,0.2,26.0,,9.9,0.0
02/05/2020 07:00:00.000000,0.3,26.0,,10.8,
02/05/2020 08:00:00.000000,0.2,26.0,,11.0,0.0
02/05/2020 09:00:00.000000,0.2,28.0,,12.3,0.0
02/05/2020 10:00:00.000000,0.2,27.0,,13.8,0.0
02/05/2020 16:00:00.000000,0.4,20.0,22.0,15.9,
02/05/2020 17:00:00.000000,0.4,23.0,24.0,20.6,
