InstrumentName, AUL Denver New (A06KSDHR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-07-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcMass_p,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
07/01/2022 00:06:22.000000,31.87,31.87,1.0,2.92,2.92,1.0,3.24,3.24,1.0,0.38,0.38,1.0,3.0,3.0,1.0,1.0,3.33,3.33,1.0,4.969,3.18,3.18,1.0,58.33,58.33,1.0,20.84,20.84,1.0
07/01/2022 00:23:23.000000,22.05,22.05,1.0,2.69,2.69,1.0,2.45,2.45,1.0,0.0,0.0,1.0,2.25,2.25,1.0,0.58,2.83,2.83,1.0,3.788,2.36,2.36,1.0,56.79,56.79,1.0,20.9,20.9,1.0
07/01/2022 00:40:24.000000,28.09,28.09,1.0,3.12,3.12,1.0,2.95,2.95,1.0,0.38,0.38,1.0,2.73,2.73,1.0,0.81,3.17,3.17,1.0,4.415,2.88,2.88,1.0,57.39,57.39,1.0,20.79,20.79,1.0
07/01/2022 00:57:25.000000,21.6,21.6,1.0,2.33,2.33,1.0,2.8,2.8,1.0,0.39,0.39,1.0,2.65,2.65,1.0,0.39,3.07,3.07,1.0,3.029,2.73,2.73,1.0,57.84,57.84,1.0,20.62,20.62,1.0
07/01/2022 01:14:26.000000,25.83,25.83,1.0,2.69,2.69,1.0,2.56,2.56,1.0,0.19,0.19,1.0,2.41,2.41,1.0,0.58,2.89,2.89,1.0,3.599,2.49,2.49,1.0,58.16,58.16,1.0,20.63,20.63,1.0
07/01/2022 01:31:27.000000,19.1,19.1,1.0,2.54,2.54,1.0,2.39,2.39,1.0,0.19,0.19,1.0,2.22,2.22,1.0,0.58,2.81,2.81,1.0,3.64,2.32,2.32,1.0,57.33,57.33,1.0,20.62,20.62,1.0
07/01/2022 01:48:28.000000,20.37,20.37,1.0,2.69,2.69,1.0,2.19,2.19,1.0,0.0,0.0,1.0,2.05,2.05,1.0,0.38,2.72,2.72,1.0,3.143,2.14,2.14,1.0,56.17,56.17,1.0,20.75,20.75,1.0
07/01/2022 02:05:29.000000,8.41,8.41,1.0,2.88,2.88,1.0,2.43,2.43,1.0,0.0,0.0,1.0,2.25,2.25,1.0,0.19,2.91,2.91,1.0,2.654,2.34,2.34,1.0,54.73,54.73,1.0,20.79,20.79,1.0
07/01/2022 02:22:29.000000,1.75,1.75,1.0,2.5,2.5,1.0,2.25,2.25,1.0,0.38,0.38,1.0,2.09,2.09,1.0,0.38,2.87,2.87,1.0,3.377,2.18,2.18,1.0,52.7,52.7,1.0,20.86,20.86,1.0
07/01/2022 02:39:29.000000,-0.16,-0.16,1.0,2.55,2.55,1.0,1.65,1.65,1.0,0.0,0.0,1.0,1.51,1.51,1.0,0.19,2.52,2.52,1.0,2.989,1.59,1.59,1.0,50.88,50.88,1.0,21.09,21.09,1.0
