InstrumentName, College View New(ASMNSDJ8),,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-07-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcMass_p,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
07/01/2022 00:11:38.000000,30.03,30.03,1.0,1.73,1.73,1.0,3.2,3.2,1.0,0.19,0.19,1.0,3.12,3.12,1.0,0.19,3.18,3.18,1.0,1.398,3.16,3.16,1.0,65.95,65.95,1.0,19.25,19.25,1.0
07/01/2022 00:29:12.000000,33.6,33.6,1.0,3.15,3.15,1.0,3.13,3.13,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.19,3.11,3.11,1.0,1.083,3.07,3.07,1.0,67.55,67.55,1.0,18.71,18.71,1.0
07/01/2022 00:46:47.000000,34.65,34.65,1.0,2.92,2.92,1.0,3.2,3.2,1.0,0.19,0.19,1.0,3.05,3.05,1.0,0.19,3.16,3.16,1.0,1.039,3.15,3.15,1.0,67.83,67.83,1.0,18.64,18.64,1.0
07/01/2022 01:04:21.000000,30.09,30.09,1.0,1.92,1.92,1.0,2.88,2.88,1.0,0.19,0.19,1.0,2.78,2.78,1.0,0.19,3.0,3.0,1.0,1.122,2.85,2.85,1.0,66.52,66.52,1.0,18.67,18.67,1.0
07/01/2022 01:21:55.000000,21.69,21.69,1.0,1.35,1.35,1.0,2.37,2.37,1.0,0.0,0.0,1.0,2.31,2.31,1.0,0.0,2.72,2.72,1.0,0.738,2.35,2.35,1.0,64.47,64.47,1.0,18.88,18.88,1.0
07/01/2022 01:39:30.000000,15.11,15.11,1.0,2.31,2.31,1.0,2.61,2.61,1.0,0.0,0.0,1.0,2.5,2.5,1.0,0.19,2.94,2.94,1.0,1.612,2.55,2.55,1.0,61.51,61.51,1.0,19.19,19.19,1.0
07/01/2022 01:57:04.000000,11.61,11.61,1.0,1.73,1.73,1.0,2.23,2.23,1.0,0.0,0.0,1.0,2.16,2.16,1.0,0.0,2.74,2.74,1.0,1.267,2.19,2.19,1.0,59.6,59.6,1.0,19.51,19.51,1.0
07/01/2022 02:14:38.000000,9.67,9.67,1.0,1.54,1.54,1.0,2.13,2.13,1.0,0.0,0.0,1.0,2.04,2.04,1.0,0.19,2.74,2.74,1.0,2.039,2.1,2.1,1.0,57.43,57.43,1.0,19.68,19.68,1.0
07/01/2022 02:32:12.000000,17.59,17.59,1.0,1.73,1.73,1.0,2.62,2.62,1.0,0.0,0.0,1.0,2.54,2.54,1.0,0.19,3.01,3.01,1.0,1.946,2.59,2.59,1.0,59.07,59.07,1.0,19.67,19.67,1.0
07/01/2022 02:49:45.000000,17.6,17.6,1.0,1.54,1.54,1.0,2.41,2.41,1.0,0.0,0.0,1.0,2.31,2.31,1.0,0.19,2.89,2.89,1.0,1.991,2.37,2.37,1.0,58.33,58.33,1.0,19.68,19.68,1.0
