InstrumentName, West Denver PA-II B,,
StartTime, 2022-07-01 00:00:00,,
EndTime, 2022-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2022 00:07:31.000000,0.6,40.0,79.0
07/01/2022 00:40:02.000000,0.6,40.0,79.0
07/01/2022 00:46:02.000000,0.6,40.0,79.0
07/01/2022 00:54:01.000000,0.8,40.0,79.0
07/01/2022 01:04:02.000000,0.1,40.0,79.0
07/01/2022 01:20:02.000000,0.7,39.0,79.0
07/01/2022 01:22:01.000000,0.7,39.0,79.0
07/01/2022 01:30:02.000000,0.5,39.0,79.0
07/01/2022 01:32:04.000000,0.4,39.0,79.0
07/01/2022 01:50:02.000000,0.3,39.0,79.0
07/01/2022 02:18:31.000000,0.3,37.0,79.0
07/01/2022 02:20:49.000000,0.6,36.0,79.0
07/01/2022 02:28:31.000000,0.0,35.0,79.0
07/01/2022 02:38:49.000000,0.4,35.0,80.0
07/01/2022 02:46:31.000000,0.0,34.0,80.0
07/01/2022 03:02:31.000000,0.7,34.0,80.0
07/01/2022 03:14:47.000000,1.2,35.0,79.0
07/01/2022 03:22:35.000000,1.1,34.0,78.0
07/01/2022 04:18:13.000000,0.5,35.0,77.0
07/01/2022 04:20:07.000000,0.4,35.0,77.0
07/01/2022 04:24:06.000000,0.3,35.0,77.0
07/01/2022 04:26:07.000000,0.2,35.0,77.0
07/01/2022 04:28:06.000000,0.2,35.0,77.0
07/01/2022 04:30:06.000000,0.4,35.0,77.0
07/01/2022 04:32:06.000000,0.4,35.0,77.0
07/01/2022 04:34:06.000000,0.0,35.0,77.0
07/01/2022 04:36:07.000000,0.1,35.0,77.0
07/01/2022 04:38:07.000000,0.1,35.0,77.0
07/01/2022 04:40:06.000000,0.0,35.0,77.0
07/01/2022 04:44:06.000000,0.0,35.0,77.0
07/01/2022 04:46:07.000000,0.1,35.0,77.0
07/01/2022 04:48:06.000000,0.2,36.0,77.0
07/01/2022 04:50:06.000000,0.0,36.0,77.0
07/01/2022 04:52:07.000000,0.2,36.0,77.0
07/01/2022 04:54:07.000000,0.0,36.0,76.0
07/01/2022 04:56:07.000000,0.1,36.0,76.0
07/01/2022 04:58:09.000000,0.0,37.0,76.0
07/01/2022 05:00:07.000000,0.2,37.0,76.0
07/01/2022 05:02:07.000000,0.1,36.0,76.0
07/01/2022 05:04:07.000000,0.0,36.0,76.0
07/01/2022 05:06:07.000000,0.0,36.0,76.0
07/01/2022 05:08:07.000000,0.0,36.0,76.0
07/01/2022 05:10:07.000000,0.1,36.0,76.0
07/01/2022 05:12:07.000000,0.3,37.0,76.0
07/01/2022 05:14:07.000000,0.4,37.0,76.0
07/01/2022 05:16:07.000000,0.2,37.0,76.0
07/01/2022 05:18:06.000000,0.3,37.0,76.0
07/01/2022 05:20:07.000000,0.2,37.0,76.0
07/01/2022 05:22:07.000000,0.2,37.0,76.0
07/01/2022 05:24:07.000000,0.5,37.0,76.0
07/01/2022 05:26:07.000000,0.6,37.0,76.0
07/01/2022 05:28:07.000000,0.4,37.0,76.0
07/01/2022 05:30:07.000000,0.5,37.0,76.0
07/01/2022 05:32:07.000000,0.4,38.0,76.0
07/01/2022 05:34:07.000000,0.7,38.0,76.0
07/01/2022 05:36:07.000000,0.0,38.0,75.0
07/01/2022 05:38:07.000000,0.6,37.0,75.0
07/01/2022 05:42:07.000000,0.2,37.0,75.0
07/01/2022 05:44:08.000000,0.5,37.0,75.0
