InstrumentName, The GrowHaus,,
StartTime, 2018-10-01 00:00:00,,
EndTime, 2018-10-31 23:59:59,,
Date,PM2.5,humidity,temp_f
10/01/2018 00:01:26.353333,5.05,40.0,89.33333333333333
10/01/2018 00:02:46.350000,5.5,41.0,89.33333333333333
10/01/2018 00:05:26.340000,5.9,41.0,89.33333333333333
10/01/2018 00:06:46.396666,4.48,41.0,89.33333333333333
10/01/2018 00:09:26.376666,4.63,41.0,89.33333333333333
10/01/2018 00:10:46.356666,6.02,41.0,89.33333333333333
10/01/2018 00:13:26.473333,4.52,41.0,89.33333333333333
10/01/2018 00:16:06.416666,3.51,41.0,89.33333333333333
10/01/2018 00:17:26.466666,4.4,41.0,88.0
10/01/2018 00:18:46.413333,4.45,42.0,88.0
10/01/2018 00:21:26.370000,3.63,42.0,88.0
10/01/2018 00:22:46.463333,3.49,42.0,88.0
10/01/2018 00:25:26.366666,3.88,42.0,88.0
10/01/2018 00:26:46.366666,3.46,42.0,88.0
10/01/2018 00:29:26.366666,3.39,43.0,88.0
10/01/2018 00:30:46.383333,4.57,43.0,88.0
10/01/2018 00:33:26.413333,3.62,43.0,88.0
10/01/2018 00:34:46.393333,4.2,43.0,86.66666666666667
10/01/2018 00:37:26.383333,4.71,43.0,86.66666666666667
10/01/2018 00:38:46.380000,4.36,44.0,86.66666666666667
10/01/2018 00:41:26.420000,4.23,44.0,86.66666666666667
10/01/2018 00:42:46.410000,3.83,44.0,86.66666666666667
10/01/2018 00:45:26.400000,5.05,44.0,86.66666666666667
10/01/2018 00:46:46.396666,4.95,45.0,86.66666666666667
10/01/2018 00:49:26.396666,6.12,45.0,85.33333333333333
10/01/2018 00:50:46.420000,6.05,45.0,85.33333333333333
10/01/2018 00:53:26.560000,6.07,45.0,85.33333333333333
10/01/2018 00:54:46.436666,6.29,45.0,85.33333333333333
10/01/2018 00:57:26.396666,6.12,46.0,85.33333333333333
10/01/2018 00:58:46.900000,6.43,46.0,85.33333333333333
10/01/2018 01:01:26.490000,6.36,46.0,84.0
10/01/2018 01:02:46.400000,6.2,46.0,84.0
10/01/2018 01:05:26.446666,6.67,46.0,84.0
10/01/2018 01:06:46.506666,6.95,47.0,84.0
10/01/2018 01:09:26.540000,6.88,47.0,84.0
10/01/2018 01:10:46.446666,6.9,47.0,84.0
10/01/2018 01:13:26.413333,7.63,47.0,84.0
10/01/2018 01:14:46.426666,6.49,47.0,84.0
10/01/2018 01:17:26.480000,5.73,48.0,84.0
10/01/2018 01:18:46.446666,7.14,48.0,84.0
10/01/2018 01:21:26.423333,6.78,48.0,82.66666666666667
10/01/2018 01:22:46.440000,6.5,48.0,82.66666666666667
10/01/2018 01:25:26.450000,7.32,49.0,82.66666666666667
10/01/2018 01:26:46.416666,7.27,49.0,82.66666666666667
10/01/2018 01:29:26.420000,8.34,49.0,82.66666666666667
10/01/2018 01:30:46.410000,8.38,49.0,82.66666666666667
10/01/2018 01:33:26.426666,6.0,49.0,82.66666666666667
10/01/2018 01:34:46.453333,6.24,49.0,82.66666666666667
10/01/2018 01:37:26.483333,7.95,49.0,82.66666666666667
10/01/2018 01:38:46.423333,8.85,49.0,82.66666666666667
10/01/2018 01:41:26.496666,8.68,50.0,81.33333333333333
10/01/2018 01:42:46.450000,7.93,50.0,81.33333333333333
10/01/2018 01:45:26.456666,8.43,50.0,81.33333333333333
10/01/2018 01:46:46.480000,7.83,50.0,81.33333333333333
10/01/2018 01:49:26.466666,8.6,50.0,81.33333333333333
10/01/2018 01:50:46.456666,8.29,50.0,81.33333333333333
10/01/2018 01:53:26.456666,8.73,50.0,81.33333333333333
10/01/2018 01:54:46.450000,7.0,50.0,81.33333333333333
10/01/2018 01:57:26.430000,9.18,51.0,81.33333333333333
10/01/2018 01:58:46.460000,8.33,51.0,80.0
10/01/2018 02:01:26.473333,8.32,51.0,80.0
10/01/2018 02:02:46.460000,7.91,51.0,80.0
10/01/2018 02:05:26.490000,5.88,51.0,80.0
10/01/2018 02:06:46.893333,6.45,51.0,80.0
10/01/2018 02:09:26.443333,6.98,51.0,80.0
10/01/2018 02:10:46.503333,5.17,51.0,80.0
10/01/2018 02:13:26.440000,5.82,51.0,80.0
10/01/2018 02:14:46.476666,5.13,52.0,80.0
10/01/2018 02:17:26.490000,4.95,52.0,80.0
10/01/2018 02:18:46.460000,5.87,52.0,80.0
10/01/2018 02:21:26.486666,5.93,52.0,78.66666666666667
10/01/2018 02:22:46.466666,5.07,52.0,78.66666666666667
10/01/2018 02:25:26.470000,5.29,52.0,78.66666666666667
10/01/2018 02:26:46.473333,5.34,52.0,78.66666666666667
10/01/2018 02:29:26.486666,5.63,52.0,78.66666666666667
10/01/2018 02:30:46.463333,5.05,52.0,78.66666666666667
10/01/2018 02:33:26.493333,5.18,52.0,78.66666666666667
10/01/2018 02:34:46.480000,5.9,53.0,78.66666666666667
10/01/2018 02:37:26.486666,5.44,53.0,78.66666666666667
10/01/2018 02:38:46.476666,6.1,53.0,78.66666666666667
10/01/2018 02:41:26.496666,5.74,53.0,78.66666666666667
10/01/2018 02:42:46.486666,6.49,53.0,78.66666666666667
10/01/2018 02:45:26.490000,8.6,53.0,78.66666666666667
