InstrumentName, APCD B,,
StartTime, 2018-10-01 00:00:00,,
EndTime, 2018-10-31 23:59:59,,
Date,PM2.5,humidity,temp_f
10/01/2018 00:01:54.503333,9.32,42.0,65.0
10/01/2018 00:03:14.183333,9.26,42.0,65.0
10/01/2018 00:05:54.256666,8.83,43.0,65.0
10/01/2018 00:07:14.210000,9.2,43.0,65.0
10/01/2018 00:09:54.323333,7.95,43.0,65.0
10/01/2018 00:11:14.360000,8.1,43.0,65.0
10/01/2018 00:13:54.500000,7.37,43.0,65.0
10/01/2018 00:15:14.283333,8.68,43.0,65.0
10/01/2018 00:17:54.473333,9.61,43.0,65.0
10/01/2018 00:19:14.410000,8.7,43.0,65.0
10/01/2018 00:21:54.250000,8.98,43.0,65.0
10/01/2018 00:23:14.226666,8.07,43.0,65.0
10/01/2018 00:25:54.266666,7.76,43.0,64.0
10/01/2018 00:27:15.020000,9.3,44.0,64.0
10/01/2018 00:29:54.290000,8.61,44.0,63.0
10/01/2018 00:31:14.300000,8.74,45.0,63.0
10/01/2018 00:33:54.553333,7.48,45.0,63.0
10/01/2018 00:35:14.300000,7.21,45.0,63.0
10/01/2018 00:37:54.273333,8.1,46.0,63.0
10/01/2018 00:39:14.296666,8.98,46.0,62.0
10/01/2018 00:41:54.286666,8.93,46.0,62.0
10/01/2018 00:43:14.266666,9.39,47.0,62.0
10/01/2018 00:45:55.043333,9.02,47.0,61.0
10/01/2018 00:47:14.180000,7.95,47.0,61.0
10/01/2018 00:49:54.393333,9.02,48.0,61.0
10/01/2018 00:51:15.076666,8.74,48.0,61.0
10/01/2018 00:53:54.296666,8.67,49.0,60.0
10/01/2018 00:55:14.166666,9.26,49.0,60.0
10/01/2018 00:57:55.033333,9.24,50.0,60.0
10/01/2018 00:59:14.440000,8.32,50.0,60.0
10/01/2018 01:01:54.200000,7.79,50.0,60.0
10/01/2018 01:03:15.340000,8.02,50.0,60.0
10/01/2018 01:05:54.250000,7.54,50.0,60.0
10/01/2018 01:07:14.200000,7.36,50.0,60.0
10/01/2018 01:09:55.086666,7.74,50.0,60.0
10/01/2018 01:11:14.440000,7.71,50.0,60.0
10/01/2018 01:13:54.183333,7.63,50.0,60.0
10/01/2018 01:15:14.246666,8.54,50.0,60.0
10/01/2018 01:17:54.293333,8.91,51.0,59.0
10/01/2018 01:19:14.180000,7.69,51.0,59.0
10/01/2018 01:21:54.400000,8.12,51.0,59.0
10/01/2018 01:23:14.310000,8.46,51.0,59.0
10/01/2018 01:25:54.270000,9.2,52.0,59.0
10/01/2018 01:27:15.103333,8.63,52.0,59.0
10/01/2018 01:29:54.616666,9.1,52.0,59.0
10/01/2018 01:31:14.333333,9.93,52.0,59.0
10/01/2018 01:33:54.226666,8.95,52.0,59.0
10/01/2018 01:35:14.296666,9.51,52.0,59.0
10/01/2018 01:37:54.246666,11.07,52.0,59.0
10/01/2018 01:39:14.676666,10.49,52.0,59.0
10/01/2018 01:41:54.263333,10.27,53.0,58.0
10/01/2018 01:43:14.480000,9.88,53.0,58.0
10/01/2018 01:45:54.286666,10.43,53.0,58.0
10/01/2018 01:47:15.050000,10.39,53.0,58.0
10/01/2018 01:49:54.293333,11.07,54.0,58.0
10/01/2018 01:51:15.033333,11.8,54.0,58.0
10/01/2018 01:53:54.403333,10.32,54.0,58.0
10/01/2018 01:55:14.226666,10.34,54.0,57.0
10/01/2018 01:57:54.480000,9.48,55.0,57.0
10/01/2018 01:59:14.246666,9.33,55.0,57.0
10/01/2018 02:01:54.526666,8.9,56.0,57.0
10/01/2018 02:03:15.420000,8.02,56.0,57.0
10/01/2018 02:05:54.220000,7.14,57.0,57.0
10/01/2018 02:07:14.303333,7.7,57.0,57.0
10/01/2018 02:09:54.250000,8.27,57.0,57.0
10/01/2018 02:11:14.240000,7.4,57.0,57.0
10/01/2018 02:13:55.220000,8.24,57.0,56.0
10/01/2018 02:15:14.433333,8.26,57.0,56.0
10/01/2018 02:17:54.636666,8.2,57.0,56.0
10/01/2018 02:19:14.373333,9.07,57.0,56.0
10/01/2018 02:21:54.346666,7.61,57.0,56.0
10/01/2018 02:23:14.426666,8.69,57.0,56.0
10/01/2018 02:25:54.403333,9.1,58.0,56.0
10/01/2018 02:27:14.506666,7.43,58.0,56.0
10/01/2018 02:29:54.310000,8.88,58.0,56.0
10/01/2018 02:31:14.310000,7.76,58.0,56.0
10/01/2018 02:33:54.316666,7.27,58.0,56.0
10/01/2018 02:35:14.410000,7.71,58.0,56.0
10/01/2018 02:37:54.560000,7.24,58.0,56.0
10/01/2018 02:39:14.476666,7.73,58.0,56.0
10/01/2018 02:41:54.426666,7.41,58.0,56.0
10/01/2018 02:43:14.366666,7.39,58.0,56.0
10/01/2018 02:45:54.426666,7.34,58.0,56.0
10/01/2018 02:47:14.370000,6.74,58.0,56.0
10/01/2018 02:49:54.300000,7.46,58.0,55.0
10/01/2018 02:51:14.280000,6.74,58.0,55.0
10/01/2018 02:53:54.386666,7.35,59.0,55.0
10/01/2018 02:55:14.323333,7.4,59.0,55.0
10/01/2018 02:57:54.720000,7.27,59.0,55.0
10/01/2018 02:59:14.376666,8.05,59.0,55.0
10/01/2018 03:01:54.290000,7.0,59.0,55.0
