InstrumentName, 26th and Williams B,,
StartTime, 2018-10-01 00:00:00,,
EndTime, 2018-10-31 23:59:59,,
Date,PM2.5,humidity,temp_f
10/01/2018 00:00:09.776666,6.4,43.0,66.0
10/01/2018 00:02:49.763333,6.35,42.0,67.0
10/01/2018 00:04:09.780000,5.6,42.0,67.0
10/01/2018 00:06:50.080000,6.57,42.0,67.0
10/01/2018 00:08:09.773333,6.43,42.0,67.0
10/01/2018 00:10:49.773333,6.23,43.0,66.0
10/01/2018 00:12:09.786666,6.26,42.0,67.0
10/01/2018 00:14:49.926666,4.53,42.0,68.0
10/01/2018 00:16:10.776666,4.58,41.0,68.0
10/01/2018 00:18:49.833333,6.0,41.0,68.0
10/01/2018 00:20:09.786666,6.62,40.0,68.0
10/01/2018 00:22:49.796666,6.14,40.0,68.0
10/01/2018 00:24:09.776666,6.23,41.0,68.0
10/01/2018 00:26:49.776666,9.64,41.0,68.0
10/01/2018 00:28:09.786666,13.7,41.0,69.0
10/01/2018 00:30:50.310000,8.1,41.0,68.0
10/01/2018 00:32:09.783333,61.07,41.0,68.0
10/01/2018 00:34:51.606666,8.31,41.0,68.0
10/01/2018 00:36:09.803333,12.07,41.0,68.0
10/01/2018 00:38:49.796666,86.2,41.0,68.0
10/01/2018 00:41:29.766666,8.23,41.0,68.0
10/01/2018 00:42:49.776666,5.12,41.0,68.0
10/01/2018 00:45:29.776666,5.17,41.0,68.0
10/01/2018 00:46:49.786666,6.4,41.0,68.0
10/01/2018 00:49:29.790000,5.63,41.0,68.0
10/01/2018 00:50:49.793333,4.65,41.0,68.0
10/01/2018 00:53:29.770000,5.0,41.0,68.0
10/01/2018 00:54:49.793333,4.55,41.0,68.0
10/01/2018 00:57:29.766666,5.09,41.0,68.0
10/01/2018 00:58:49.773333,8.8,41.0,68.0
10/01/2018 01:01:30.686666,5.59,41.0,67.0
10/01/2018 01:02:49.790000,7.6,41.0,67.0
10/01/2018 01:05:29.780000,6.52,42.0,67.0
10/01/2018 01:06:49.783333,8.62,42.0,67.0
10/01/2018 01:09:31.390000,8.88,42.0,67.0
10/01/2018 01:10:50.773333,7.9,42.0,67.0
10/01/2018 01:13:29.783333,9.48,42.0,67.0
10/01/2018 01:14:49.780000,8.02,42.0,67.0
10/01/2018 01:17:29.793333,8.81,42.0,67.0
10/01/2018 01:18:49.786666,8.24,43.0,67.0
10/01/2018 01:21:29.790000,8.82,43.0,67.0
10/01/2018 01:22:49.806666,8.86,43.0,67.0
10/01/2018 01:25:29.783333,8.56,43.0,66.0
10/01/2018 01:26:49.793333,7.48,43.0,66.0
10/01/2018 01:29:30.003333,8.81,43.0,66.0
10/01/2018 01:30:49.803333,8.1,43.0,66.0
10/01/2018 01:33:29.806666,8.34,43.0,66.0
10/01/2018 01:34:49.806666,8.47,44.0,66.0
10/01/2018 01:37:29.806666,8.32,44.0,66.0
10/01/2018 01:38:49.806666,8.81,44.0,66.0
10/01/2018 01:41:29.786666,8.14,44.0,66.0
10/01/2018 01:42:49.786666,8.53,44.0,66.0
10/01/2018 01:45:30.126666,9.05,44.0,66.0
10/01/2018 01:46:51.300000,8.18,44.0,66.0
10/01/2018 01:49:29.796666,9.21,44.0,66.0
10/01/2018 01:50:49.803333,8.23,44.0,65.0
10/01/2018 01:53:29.790000,9.07,45.0,65.0
10/01/2018 01:54:49.793333,9.45,45.0,65.0
10/01/2018 01:57:29.813333,9.05,45.0,65.0
10/01/2018 01:58:49.780000,8.81,45.0,65.0
10/01/2018 02:01:29.796666,9.51,45.0,65.0
10/01/2018 02:02:49.786666,8.83,45.0,65.0
10/01/2018 02:05:29.790000,9.65,45.0,65.0
10/01/2018 02:06:49.806666,10.51,45.0,65.0
10/01/2018 02:09:29.793333,10.75,45.0,65.0
10/01/2018 02:10:49.796666,9.67,44.0,65.0
10/01/2018 02:13:29.896666,8.78,45.0,65.0
10/01/2018 02:14:49.796666,8.23,45.0,65.0
10/01/2018 02:17:29.820000,8.33,45.0,65.0
10/01/2018 02:18:49.806666,6.95,45.0,65.0
10/01/2018 02:21:30.420000,8.37,45.0,65.0
10/01/2018 02:22:49.820000,7.37,45.0,65.0
10/01/2018 02:25:30.613333,9.81,45.0,64.0
10/01/2018 02:26:51.816666,9.62,45.0,64.0
10/01/2018 02:28:10.130000,9.12,45.0,64.0
10/01/2018 02:30:50.130000,8.26,45.0,64.0
10/01/2018 02:32:09.803333,8.68,45.0,64.0
10/01/2018 02:34:51.820000,7.59,45.0,64.0
10/01/2018 02:36:09.806666,7.43,46.0,64.0
10/01/2018 02:38:49.806666,8.4,46.0,64.0
10/01/2018 02:40:09.810000,7.45,46.0,64.0
10/01/2018 02:42:50.593333,7.53,46.0,64.0
10/01/2018 02:44:09.816666,6.95,46.0,64.0
10/01/2018 02:46:49.806666,6.86,46.0,64.0
10/01/2018 02:48:09.806666,7.72,46.0,63.0
10/01/2018 02:50:49.810000,7.17,46.0,63.0
10/01/2018 02:52:09.810000,6.93,46.0,63.0
10/01/2018 02:54:49.806666,7.37,46.0,63.0
10/01/2018 02:56:09.820000,6.59,46.0,63.0
10/01/2018 02:58:49.796666,6.88,47.0,63.0
10/01/2018 03:00:09.806666,7.72,47.0,63.0
