InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/06/2018 22:00:00.000000,20.0,14.3
10/06/2018 23:00:00.000000,23.0,13.7
10/07/2018 00:00:00.000000,24.0,13.1
10/07/2018 01:00:00.000000,18.0,12.6
10/07/2018 02:00:00.000000,15.0,10.0
10/07/2018 03:00:00.000000,23.0,8.6
10/07/2018 04:00:00.000000,28.0,12.0
10/07/2018 05:00:00.000000,,10.0
10/07/2018 06:00:00.000000,20.0,8.4
10/07/2018 07:00:00.000000,20.0,7.8
10/07/2018 08:00:00.000000,18.0,7.6
10/07/2018 09:00:00.000000,17.0,7.4
10/07/2018 10:00:00.000000,9.0,6.4
10/07/2018 11:00:00.000000,9.0,6.3
10/07/2018 12:00:00.000000,7.0,6.6
10/07/2018 13:00:00.000000,11.0,7.2
10/07/2018 14:00:00.000000,12.0,8.4
10/07/2018 15:00:00.000000,9.0,9.4
10/07/2018 16:00:00.000000,9.0,9.7
10/07/2018 17:00:00.000000,6.0,10.5
10/07/2018 18:00:00.000000,13.0,11.8
10/07/2018 19:00:00.000000,15.0,12.7
10/07/2018 20:00:00.000000,18.0,14.3
10/07/2018 21:00:00.000000,18.0,16.0
10/07/2018 22:00:00.000000,18.0,16.6
10/07/2018 23:00:00.000000,16.0,13.7
10/08/2018 00:00:00.000000,13.0,10.8
10/08/2018 01:00:00.000000,11.0,9.0
10/08/2018 02:00:00.000000,9.0,6.5
10/08/2018 03:00:00.000000,6.0,3.7
10/08/2018 04:00:00.000000,4.0,2.1
10/08/2018 05:00:00.000000,,1.3
10/08/2018 06:00:00.000000,4.0,0.9
10/08/2018 07:00:00.000000,3.0,0.5
10/08/2018 08:00:00.000000,3.0,0.3
10/08/2018 09:00:00.000000,3.0,0.2
10/08/2018 10:00:00.000000,4.0,0.2
10/08/2018 11:00:00.000000,6.0,0.6
10/08/2018 12:00:00.000000,10.0,1.9
10/08/2018 13:00:00.000000,10.0,2.1
10/08/2018 14:00:00.000000,9.0,2.2
10/08/2018 15:00:00.000000,6.0,2.4
10/08/2018 16:00:00.000000,10.0,2.5
10/08/2018 17:00:00.000000,9.0,2.9
10/08/2018 18:00:00.000000,9.0,2.9
10/08/2018 19:00:00.000000,8.0,3.2
10/08/2018 20:00:00.000000,9.0,2.9
10/08/2018 21:00:00.000000,7.0,3.2
10/08/2018 22:00:00.000000,9.0,3.7
10/08/2018 23:00:00.000000,12.0,3.8
10/09/2018 00:00:00.000000,7.0,4.0
10/09/2018 01:00:00.000000,10.0,4.6
10/09/2018 02:00:00.000000,9.0,4.5
10/09/2018 03:00:00.000000,15.0,4.9
10/09/2018 04:00:00.000000,13.0,5.2
10/09/2018 05:00:00.000000,,4.7
10/09/2018 06:00:00.000000,6.0,4.4
10/09/2018 07:00:00.000000,7.0,4.7
10/09/2018 08:00:00.000000,7.0,4.6
10/09/2018 09:00:00.000000,5.0,3.2
10/09/2018 10:00:00.000000,5.0,2.1
10/09/2018 11:00:00.000000,6.0,1.6
10/09/2018 12:00:00.000000,8.0,1.7
10/09/2018 13:00:00.000000,10.0,2.4
10/09/2018 14:00:00.000000,13.0,4.2
10/09/2018 15:00:00.000000,,4.2
10/09/2018 18:00:00.000000,10.0,
10/09/2018 19:00:00.000000,12.0,6.1
10/09/2018 20:00:00.000000,11.0,5.4
10/09/2018 21:00:00.000000,14.0,5.0
