"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.humidity","val.pm10","val.pm25_p","val.pm25_r","val.temperature","val.pm25_r2"
"1","2018-05-25 08:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"2","2018-05-25 08:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"3","2018-05-25 08:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"4","2018-05-25 08:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"5","2018-05-25 08:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"6","2018-05-25 09:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"7","2018-05-25 09:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"8","2018-05-25 09:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"9","2018-05-25 09:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"10","2018-05-25 09:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"11","2018-05-25 10:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"12","2018-05-25 10:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"13","2018-05-25 10:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"14","2018-05-25 10:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"15","2018-05-25 10:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"16","2018-05-25 11:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.2,1.88,NA,1.68,98.8,NA
"17","2018-05-25 11:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.2,1.88,NA,1.68,98.8,NA
"18","2018-05-25 11:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.2,1.88,NA,1.68,98.8,NA
"19","2018-05-25 11:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.2,1.88,NA,1.68,98.8,NA
"20","2018-05-25 11:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.2,1.88,NA,1.68,98.8,NA
"21","2018-05-25 12:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.3,1.9,NA,1.65,95.6,NA
"22","2018-05-25 12:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.3,1.9,NA,1.65,95.6,NA
"23","2018-05-25 12:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.3,1.9,NA,1.65,95.6,NA
"24","2018-05-25 12:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.3,1.9,NA,1.65,95.6,NA
"25","2018-05-25 12:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,12.3,1.9,NA,1.65,95.6,NA
"26","2018-05-25 13:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"27","2018-05-25 13:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"28","2018-05-25 13:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"29","2018-05-25 13:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"30","2018-05-25 13:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"31","2018-05-25 14:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"32","2018-05-25 14:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"33","2018-05-25 14:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"34","2018-05-25 14:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"35","2018-05-25 14:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"36","2018-05-25 15:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"37","2018-05-25 15:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
"38","2018-05-25 15:00:00","39th Ave (CS6)",NA,NA,NA,2018-05-25,2018-05-25,0,0,NA,NA,NA,NA,NA,NA
